"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C10,C11","4","1u","","","","Capacitor_SMD:C_0402_1005Metric",""
"C3,C12,C13,C15,C16,C17,C20,C21,C22,C23,C24,C25,C26,C27,C29,C31,C40,C41","18","0.1u","","","","Capacitor_SMD:C_0402_1005Metric",""
"C4,C42","2","47p","","","","Capacitor_SMD:C_0402_1005Metric",""
"C5","1","10n","","","","Capacitor_SMD:C_0402_1005Metric",""
"C7,C9","2","12p","","","","Capacitor_SMD:C_0402_1005Metric",""
"C18,C36,C39","3","10p","","","","Capacitor_SMD:C_0402_1005Metric",""
"C19,C43","2","330p","","","","Capacitor_SMD:C_0402_1005Metric",""
"C28","1","0.1p","","","","Capacitor_SMD:C_0402_1005Metric",""
"C30,C34","2","1.2p","","","","Capacitor_SMD:C_0402_1005Metric",""
"C32","1","820p","","","","Capacitor_SMD:C_0402_1005Metric",""
"C33","1","27p","","","","Capacitor_SMD:C_0402_1005Metric",""
"C35","1","47u","","","","Capacitor_SMD:C_0402_1005Metric",""
"C37","1","2200p","","","","Capacitor_SMD:C_0402_1005Metric",""
"IC1","1","MAAL-011078-TR1000","","","","MAAL-011078:SON50P200X200X100-9N","http://cdn.macom.com/datasheets/MAAL-011078.pdf"
"J1","1","SMA","","","","SMA_Conn:CONN_SMA-J-P-H-ST-EM1_SAI","SMA-J-P-H-ST-EM1"
"J2,J3,J4","3","5-146280-5","","","","Header_Conn_5:TE_5-146280-5",""
"L1","1","2.4n","","","","Inductor_SMD:L_0402_1005Metric",""
"L2","1","1.5n","","","","Inductor_SMD:L_0402_1005Metric",""
"L3","1","1.0n","","","","Inductor_SMD:L_0402_1005Metric",""
"R1,R2,R3","3","11K","","","","Resistor_SMD:R_0402_1005Metric",""
"R4","1","16K","","","","Resistor_SMD:R_0402_1005Metric",""
"R5","1","270R","","","","Resistor_SMD:R_0402_1005Metric",""
"R6","1","470R","","","","Resistor_SMD:R_0402_1005Metric",""
"U1","1","DW1000","","","","Package_DFN_QFN:QFN-48-1EP_6x6mm_P0.4mm_EP4.2x4.2mm","https://www.decawave.com/wp-content/uploads/2020/04/DW1000_Datasheet.pdf"
"U2","1","HHM1595A1","","","","HHM1595A1:HHM-6_2P0X1P25","HHM1595A1"
"U4","1","LP5907MFX-3.3","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lp5907.pdf"
"U5","1","LP5907MFX-3.0","","","","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/lp5907.pdf"
"Y1","1","TG2016SMN_38.4000M-ECGNNM0","","","","TG2016SMN_38_4000M_ECGNNM0:OSC_TG2016SMN_38.4000M-ECGNNM0",""
