sample,real,imag,amplitude,amplitude_norm
730,-174,146,227.14,0.25811
731,-272,-48,276.2,0.31387
732,-186,-161,246,0.27955
733,37,-229,231.97,0.2636
734,301,12,301.24,0.34232
735,190,144,238.4,0.27091
736,148,-36,152.32,0.17309
737,220,-39,223.43,0.2539
738,274,197,337.47,0.38349
739,52,114,125.3,0.14239
740,27,44,51.62,0.05866
741,59,33,67.6,0.07682
742,172,120,209.72,0.23832
743,187,237,301.89,0.34306
744,28,118,121.28,0.13781
745,26,-5,26.48,0.03009
746,35,3,35.13,0.03992
747,101,101,142.84,0.16231
748,-72,229,240.05,0.27279
749,-1606,1194,2001.22,2.27411
750,-4948,7291,8811.43,10.01299
751,-4254,14818,15416.54,17.51879
752,377,16405,16409.33,18.64697
753,4882,12278,13212.99,15.01476
754,3519,-4197,5477.06,6.22393
755,-968,-10413,10457.9,11.88397
756,-987,-1016,1416.48,1.60964
757,1420,5420,5602.93,6.36696
758,1892,2740,3329.75,3.78381
759,69,-454,459.21,0.52183
760,-2465,-924,2632.49,2.99147
761,-5838,-6470,8714.54,9.90288
762,-2450,-15197,15393.22,17.4923
763,5066,-15838,16628.49,18.89601
764,11456,-11968,16567.22,18.82639
765,15110,-1634,15198.09,17.27056
766,7236,9694,12096.83,13.7464
767,3859,3825,5433.46,6.17439
768,11649,-932,11686.22,13.2798
769,12482,4299,13201.58,15.0018
770,3707,8574,9341.06,10.61484
771,-2623,3256,4181.11,4.75126
772,-1776,-145,1781.91,2.0249
773,-503,94,511.71,0.58149
774,-363,1918,1952.05,2.21824
775,-61,3619,3619.51,4.11308
776,260,1106,1136.15,1.29108
777,1,-2260,2260,2.56818
778,-991,-3608,3741.62,4.25184
779,-2378,-335,2401.48,2.72896
780,-4493,2462,5123.33,5.82196
781,-3611,1560,3933.56,4.46996
782,-1282,-1082,1677.57,1.90633
783,-824,-1083,1360.83,1.5464
784,-1852,-159,1858.81,2.11229
785,-3536,1761,3950.24,4.48891
786,-3104,3941,5016.6,5.70068
787,-784,2134,2273.46,2.58348
788,611,-342,700.2,0.79569
789,955,-1140,1487.15,1.68995
790,-174,705,726.15,0.82518
791,-1694,1879,2529.88,2.87486
792,-1733,1051,2026.79,2.30317
793,-176,-31,178.71,0.20308
794,391,-174,427.97,0.48633
795,-200,-142,245.28,0.27873
796,-365,-297,470.57,0.53474
