FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,n_samples,csv_file
1,1979406452,746.6562,746,909,-55.79,726,200,frame_0001.csv
2,8369196861,749.2969,749,884,-55.69,729,200,frame_0002.csv
3,14758987308,753.2812,753,861,-54.78,733,200,frame_0003.csv
4,21148777755,748.1406,748,897,-55.86,728,200,frame_0004.csv
5,27538564614,751.9375,751,868,-54.77,731,200,frame_0005.csv
6,33928358127,747.7031,747,863,-56.9,727,200,frame_0006.csv
7,40318148572,752.1562,752,902,-55.62,732,200,frame_0007.csv
8,46707938962,746.625,746,951,-55.01,726,200,frame_0008.csv
9,53097729370,749.375,749,946,-55.76,729,200,frame_0009.csv
10,59487519247,752.9531,752,888,-56.3,732,200,frame_0010.csv
11,65877309630,746.6875,746,892,-57.29,726,200,frame_0011.csv
12,72267099999,749.5781,749,914,-56.65,729,200,frame_0012.csv
13,78656890354,751.75,751,949,-56.04,731,200,frame_0013.csv
14,85046680717,746.4219,746,903,-56.26,726,193,frame_0014.csv
15,91436471083,748.2656,748,907,-56.18,728,200,frame_0015.csv
16,97826261441,751.6094,751,889,-56.43,731,200,frame_0016.csv
17,104216051793,753.9844,753,928,-56.29,733,200,frame_0017.csv
18,110605841624,747.4687,747,892,-56.84,727,200,frame_0018.csv
19,116995631953,750.1094,750,882,-57,730,200,frame_0019.csv
20,123385422333,751.9219,751,922,-57.17,731,200,frame_0020.csv
21,129775212707,746.2656,746,923,-56.65,726,200,frame_0021.csv
22,136165003061,749.7969,749,908,-56.79,729,200,frame_0022.csv
23,142554793453,751.4219,751,912,-56.6,731,200,frame_0023.csv
24,148944583818,746.125,746,862,-56.36,726,200,frame_0024.csv
25,155334374207,749.3281,749,869,-56.67,729,200,frame_0025.csv
26,161724164606,752.1875,752,940,-56.43,732,200,frame_0026.csv
27,168113951418,747.125,747,907,-56.63,727,200,frame_0027.csv
28,174503744891,750.7656,750,895,-56.83,730,200,frame_0028.csv
29,180893535314,753.375,753,900,-56.78,733,200,frame_0029.csv
30,187283325725,748.2969,748,898,-56.73,728,200,frame_0030.csv
31,193673116156,752.2812,752,941,-56.47,732,200,frame_0031.csv
32,200062906556,747.5312,747,892,-56.44,727,178,frame_0032.csv
33,206452693390,750.0625,750,886,-56.99,730,200,frame_0033.csv
34,212842486863,745.8281,745,911,-56.65,725,200,frame_0034.csv
35,219232277289,748.9844,748,932,-57.08,728,200,frame_0035.csv
36,225622067720,751.8437,751,894,-57.19,731,200,frame_0036.csv
37,232011858123,747.2656,747,914,-56.79,727,200,frame_0037.csv
38,238401648021,750.1719,750,884,-57.2,730,200,frame_0038.csv
39,244791438416,753.4687,753,878,-56.83,733,149,frame_0039.csv
40,251181228816,748.7187,748,897,-57.17,728,200,frame_0040.csv
41,257571019203,751.5156,751,892,-56.79,731,200,frame_0041.csv
42,263960809602,746.25,746,943,-56.71,726,200,frame_0042.csv
43,270350599976,749.2187,749,893,-56.77,729,200,frame_0043.csv
44,276740389876,752.1562,752,869,-56.83,732,200,frame_0044.csv
45,283130180281,747.1094,747,876,-56.65,727,200,frame_0045.csv
46,289519970684,750.1562,750,912,-57.26,730,200,frame_0046.csv
47,295909761087,753.0781,753,873,-56.74,733,200,frame_0047.csv
48,302299551491,748.5156,748,864,-56.48,728,200,frame_0048.csv
49,308689341926,751.5625,751,882,-56.17,731,395,frame_0049.csv
51,321468922196,749.1562,749,878,-57.37,729,200,frame_0051.csv
52,327858712605,753.0469,753,914,-56.68,733,200,frame_0052.csv
53,334248503040,748.4687,748,942,-57.2,728,183,frame_0053.csv
54,340638293366,750.0625,750,880,-55.65,730,200,frame_0054.csv
55,347028083757,752.5469,752,968,-55.72,732,200,frame_0055.csv
56,353417870551,747.4531,747,911,-55.41,727,200,frame_0056.csv
57,359807664018,750.75,750,899,-56.05,730,200,frame_0057.csv
58,366197454459,745.8906,745,897,-55.39,725,200,frame_0058.csv
59,372587244935,750.4531,750,999,-56.39,730,200,frame_0059.csv
60,378977035383,745.3281,745,908,-56,725,200,frame_0060.csv
61,385366825819,749.3906,749,1007,-55.96,729,200,frame_0061.csv
62,391756616261,752.7969,752,943,-55.87,732,200,frame_0062.csv
63,398146403110,748.3125,748,943,-55.56,728,200,frame_0063.csv
64,404536196605,752.6719,752,919,-55.09,732,200,frame_0064.csv
65,410925986982,746.6875,746,884,-55.65,726,200,frame_0065.csv
66,417315777376,750.2187,750,894,-55.38,730,200,frame_0066.csv
67,423705567733,752.4219,752,879,-55.46,732,200,frame_0067.csv
68,430095358084,746.5312,746,879,-55.68,726,200,frame_0068.csv
69,436485148457,748.2344,748,889,-55.59,728,200,frame_0069.csv
70,442874938788,751.0312,751,907,-56.08,731,200,frame_0070.csv
71,449264729154,752.5,752,886,-55.67,732,200,frame_0071.csv
72,455654519479,746.5781,746,1001,-55.87,726,200,frame_0072.csv
73,462044309804,748.6562,748,930,-55.46,728,200,frame_0073.csv
74,468434100144,751.2187,751,913,-56.07,731,200,frame_0074.csv
75,474823889985,752.8594,752,864,-55.61,732,200,frame_0075.csv
76,481213680308,747.1562,747,945,-55.94,727,200,frame_0076.csv
77,487603470661,748.9219,748,882,-55.6,728,200,frame_0077.csv
78,493993261009,751.2344,751,902,-55.71,731,200,frame_0078.csv
79,500383051361,745.4844,745,923,-55.64,725,200,frame_0079.csv
80,506772841699,747.7656,747,867,-55.95,727,200,frame_0080.csv
81,513162632052,750.4062,750,902,-56.12,730,200,frame_0081.csv
82,519552422380,751.7812,751,880,-55.61,731,200,frame_0082.csv
83,525942212718,745.8125,745,896,-55.95,725,200,frame_0083.csv
84,532332003061,748.5469,748,896,-55.07,728,200,frame_0084.csv
85,538721793382,750.0625,750,902,-55.84,730,200,frame_0085.csv
86,545111583696,751.2187,751,968,-55.27,731,200,frame_0086.csv
87,551501374029,753.5469,753,880,-55.57,733,200,frame_0087.csv
88,557891164341,747.4219,747,930,-55.48,727,200,frame_0088.csv
89,564280954645,748.6719,748,906,-55.38,728,200,frame_0089.csv
90,570670744962,750,750,929,-55.95,730,200,frame_0090.csv
91,577060535257,751.4844,751,881,-55.28,731,200,frame_0091.csv
92,583450325035,753.1406,753,872,-55.73,733,200,frame_0092.csv
93,589840115321,745.8594,745,943,-55.14,725,200,frame_0093.csv
94,596229905610,747.5,747,888,-55.24,727,200,frame_0094.csv
95,602619695896,748.3437,748,935,-55.55,728,200,frame_0095.csv
96,609009486154,749.5,749,914,-55.41,729,200,frame_0096.csv
97,615399276453,751.0469,751,958,-55.19,731,200,frame_0097.csv
98,621789066730,751.375,751,898,-55.24,731,200,frame_0098.csv
99,628178857023,753.3281,753,948,-55.45,733,200,frame_0099.csv
100,634568647298,746.75,746,879,-55.4,726,200,frame_0100.csv
101,640958437586,747.75,747,932,-55.19,727,200,frame_0101.csv
102,647348227888,749.5937,749,933,-55.53,729,200,frame_0102.csv
103,653738018165,749.6719,749,892,-55.53,729,200,frame_0103.csv
104,660127808448,750.7187,750,891,-56.01,730,200,frame_0104.csv
105,666517598733,752.9219,752,903,-55.73,732,200,frame_0105.csv
106,672907389003,745.2656,745,946,-55.91,725,200,frame_0106.csv
107,679297179273,746.2344,746,918,-56.35,726,200,frame_0107.csv
108,685686969527,747.2031,747,947,-56.09,727,200,frame_0108.csv
109,692076756195,747.8906,747,924,-56.11,727,200,frame_0109.csv
110,698466546451,749.1406,749,971,-55.34,729,200,frame_0110.csv
