sample,real,imag,amplitude,amplitude_norm,excess_path_m,reflector_off_m
697,269,-134,300.53,0.3392,-15.300196868,NaN
698,-233,-51,238.52,0.26921,-14.999916868,NaN
699,-356,-71,363.01,0.40972,-14.699636868,NaN
700,217,357,417.78,0.47153,-14.399356868,NaN
701,604,808,1008.8,1.1386,-14.099076868,NaN
702,211,217,302.67,0.34162,-13.798796868,NaN
703,-274,-332,430.46,0.48585,-13.498516868,NaN
704,-259,8,259.12,0.29246,-13.198236868,NaN
705,-30,456,456.99,0.51579,-12.897956868,NaN
706,194,351,401.04,0.45265,-12.597676868,NaN
707,90,31,95.19,0.10744,-12.297396868,NaN
708,59,-128,140.94,0.15908,-11.997116868,NaN
709,31,9,32.28,0.03643,-11.696836868,NaN
710,38,188,191.8,0.21648,-11.396556868,NaN
711,-9,195,195.21,0.22032,-11.096276868,NaN
712,-72,55,90.6,0.10226,-10.795996868,NaN
713,-91,-120,150.6,0.16998,-10.495716868,NaN
714,-180,-81,197.39,0.22278,-10.195436868,NaN
715,-95,22,97.51,0.11006,-9.89515686799998,NaN
716,100,-177,203.3,0.22945,-9.59487686799998,NaN
717,-209,-219,302.72,0.34168,-9.29459686799999,NaN
718,-302,-350,462.28,0.52176,-8.99431686799998,NaN
719,-401,-522,658.24,0.74294,-8.69403686799999,NaN
720,-283,-536,606.12,0.68411,-8.39375686799998,NaN
721,295,-91,308.72,0.34844,-8.09347686799998,NaN
722,278,265,384.07,0.43349,-7.79319686799998,NaN
723,98,-152,180.85,0.20412,-7.49291686799998,NaN
724,240,-449,509.12,0.57463,-7.19263686799999,NaN
725,417,-383,566.2,0.63905,-6.89235686799998,NaN
726,289,-180,340.47,0.38428,-6.59207686799998,NaN
727,-15,10,18.03,0.02035,-6.29179686799998,NaN
728,-236,-58,243.02,0.27429,-5.99151686799998,NaN
729,-83,91,123.17,0.13901,-5.69123686799998,NaN
730,156,239,285.41,0.32213,-5.39095686799998,NaN
731,202,276,342.02,0.38603,-5.09067686799998,NaN
732,6,-14,15.23,0.01719,-4.79039686799999,NaN
733,105,-322,338.69,0.38227,-4.49011686799998,NaN
734,186,-103,212.61,0.23997,-4.18983686799998,NaN
735,198,80,213.55,0.24103,-3.88955686799998,NaN
736,46,-16,48.7,0.05497,-3.58927686799998,NaN
737,20,-250,250.8,0.28307,-3.28899686799998,NaN
738,7,-225,225.11,0.25407,-2.98871686799998,NaN
739,80,4,80.1,0.09041,-2.68843686799998,NaN
740,77,9,77.52,0.0875,-2.38815686799998,NaN
741,-31,68,74.73,0.08435,-2.08787686799998,NaN
742,-91,70,114.81,0.12958,-1.78759686799998,NaN
743,61,32,68.88,0.07775,-1.48731686799998,NaN
744,153,46,159.77,0.18032,-1.18703686799998,NaN
745,84,137,160.7,0.18138,-0.886756867999985,NaN
746,75,7,75.33,0.08502,-0.586476867999985,NaN
747,598,-1330,1458.25,1.64588,-0.286196867999985,NaN
748,3687,-6572,7535.59,8.50518,0.0140831320000152,0.0842089642006127
749,10741,-10375,14933.51,16.85498,0.314363132000015,0.426482837509579
750,14852,-7643,16703.21,18.85238,0.614643132000015,0.633851805179022
751,16346,-4494,16952.51,19.13376,0.914923132000015,0.816536986527363
752,16415,-932,16441.44,18.55693,1.21520313200002,0.988322431702159
753,4333,4048,5929.69,6.69265,1.51548313200002,1.15408571901924
754,-11915,2887,12259.77,13.83721,1.81576313200002,1.31610429065581
755,-3652,-1429,3921.63,4.42621,2.11604313200002,1.47561214420359
756,9495,952,9542.61,10.77044,2.41632313200002,1.63334501424518
757,12000,5157,13061.19,14.74175,2.71660313200002,1.78977225092973
758,1211,5228,5366.42,6.05691,3.01688313200001,1.94520886385924
759,-6939,314,6946.1,7.83984,3.31716313200002,2.09987484795524
760,-5518,-4071,6857.21,7.73952,3.61744313200002,2.25392885187477
761,-2290,-3542,4217.8,4.7605,3.91772313200001,2.40748835942191
762,-3165,-257,3175.42,3.58399,4.21800313200001,2.56064233570221
763,-4737,1437,4950.17,5.58709,4.51828313200001,2.7134594489745
764,1596,-2762,3189.96,3.60041,4.81856313200001,2.86599358517556
765,7222,-6051,9421.88,10.63418,5.11884313200002,3.01828764674707
