FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,csv_file
1,52407277988,750.1562,750,853,-55.78,700,0.3,150,frame_0001.csv
2,161097788481,754.3594,754,868,-56.36,704,0.3,150,frame_0002.csv
3,269788180727,748.4531,748,976,-55.38,698,0.3,150,frame_0003.csv
4,378478652250,750.375,750,860,-55.04,700,0.3,150,frame_0004.csv
5,487169114097,753.7344,753,880,-54.88,703,0.3,150,frame_0005.csv
6,595859450471,746.9531,746,865,-55.62,696,0.3,150,frame_0006.csv
7,704549880935,747.2031,747,893,-56.46,697,0.3,150,frame_0007.csv
8,813240138416,748.4687,748,875,-55.08,698,0.3,150,frame_0008.csv
9,921930589386,749.875,749,862,-56.2,699,0.3,150,frame_0009.csv
10,1030620819725,751.0469,751,899,-55.3,701,0.3,150,frame_0010.csv
11,39799618974,753.4375,753,882,-55.86,703,0.3,150,frame_0011.csv
12,148489827601,752.2344,752,877,-57.06,702,0.3,150,frame_0012.csv
13,257180235036,751.0312,751,948,-54.91,701,0.3,150,frame_0013.csv
14,365870424840,752.9687,752,884,-53.77,702,0.3,150,frame_0014.csv
