sample,taps_from_fp,excess_path_m,reflector_off_m,amplitude,amplitude_norm
697,-50.8125,-15.2579775,NaN,461.38,0.46888
698,-49.8125,-14.9576975,NaN,357.14,0.36295
699,-48.8125,-14.6574175,NaN,828.58,0.84205
700,-47.8125,-14.3571375,NaN,1072.08,1.08951
701,-46.8125,-14.0568575,NaN,870.22,0.88437
702,-45.8125,-13.7565775,NaN,231.25,0.23501
703,-44.8125,-13.4562975,NaN,421.23,0.42808
704,-43.8125,-13.1560175,NaN,663.87,0.67467
705,-42.8125,-12.8557375,NaN,236.78,0.24063
706,-41.8125,-12.5554575,NaN,304.22,0.30916
707,-40.8125,-12.2551775,NaN,173.36,0.17618
708,-39.8125,-11.9548975,NaN,620.71,0.6308
709,-38.8125,-11.6546175,NaN,610.32,0.62024
710,-37.8125,-11.3543375,NaN,254.4,0.25854
711,-36.8125,-11.0540575,NaN,260,0.26423
712,-35.8125,-10.7537775,NaN,434.13,0.44118
713,-34.8125,-10.4534975,NaN,580.65,0.5901
714,-33.8125,-10.1532175,NaN,663.09,0.67387
715,-32.8125,-9.8529375,NaN,601.61,0.61139
716,-31.8125,-9.5526575,NaN,625.86,0.63604
717,-30.8125,-9.2523775,NaN,894.42,0.90896
718,-29.8125,-8.9520975,NaN,979.72,0.99565
719,-28.8125,-8.6518175,NaN,920.46,0.93543
720,-27.8125,-8.3515375,NaN,678.33,0.68935
721,-26.8125,-8.0512575,NaN,253.81,0.25793
722,-25.8125,-7.7509775,NaN,693.88,0.70517
723,-24.8125,-7.4506975,NaN,704.31,0.71577
724,-23.8125,-7.1504175,NaN,564.32,0.5735
725,-22.8125,-6.8501375,NaN,55.32,0.05622
726,-21.8125,-6.5498575,NaN,354.27,0.36003
727,-20.8125,-6.2495775,NaN,481.13,0.48896
728,-19.8125,-5.9492975,NaN,385.56,0.39183
729,-18.8125,-5.6490175,NaN,374.67,0.38076
730,-17.8125,-5.3487375,NaN,306.31,0.31129
731,-16.8125,-5.0484575,NaN,267.87,0.27222
732,-15.8125,-4.7481775,NaN,367.77,0.37375
733,-14.8125,-4.4478975,NaN,361.94,0.36782
734,-13.8125,-4.1476175,NaN,206.04,0.20939
735,-12.8125,-3.8473375,NaN,586.8,0.59635
736,-11.8125,-3.5470575,NaN,750.87,0.76308
737,-10.8125,-3.2467775,NaN,370.62,0.37665
738,-9.8125,-2.9464975,NaN,208.04,0.21142
739,-8.8125,-2.6462175,NaN,230.6,0.23435
740,-7.8125,-2.3459375,NaN,120.83,0.1228
741,-6.8125,-2.0456575,NaN,90.14,0.0916
742,-5.8125,-1.7453775,NaN,252.86,0.25697
743,-4.8125,-1.4450975,NaN,237.54,0.2414
744,-3.8125,-1.1448175,NaN,125.77,0.12781
745,-2.8125,-0.8445375,NaN,119.22,0.12116
746,-1.8125,-0.5442575,NaN,152.88,0.15537
747,-0.8125,-0.2439775,NaN,875.05,0.88927
748,0.1875,0.0563025,0.0961138277073725,11765.86,11.95717
749,1.1875,0.3565825,0.292019082983565,18641.47,18.94458
750,2.1875,0.6568625,0.454308772726834,18878.13,19.1851
751,3.1875,0.9571425,0.610411186272469,18832.86,19.13908
752,4.1875,1.2574225,0.764127745129414,18401.86,18.70108
753,5.1875,1.5577025,0.916659503101649,13203.41,13.4181
754,6.1875,1.8579825,1.06851397631316,17659.02,17.94616
755,7.1875,2.1582625,1.21994410926344,13470.63,13.68966
756,8.1875,2.4585425,1.37109050798135,14219.73,14.45095
757,9.1875,2.7588225,1.52203770374671,7349.1,7.4686
758,10.1875,3.0591025,1.67283962213255,14638.36,14.87638
759,11.1875,3.3593825,1.82353230580831,13741.8,13.96525
760,12.1875,3.6596625,1.97414076967084,2302.39,2.33983
761,13.1875,3.9599425,2.12468292359744,197.7,0.20091
762,14.1875,4.2602225,2.27517193028935,550.58,0.55953
763,15.1875,4.5605025,2.42561768177233,6233.68,6.33504
764,16.1875,4.8607825,2.5760277566588,11454.46,11.64071
765,17.1875,5.1610625,2.72640805955869,7575.18,7.69835
766,18.1875,5.4613425,2.87676325939007,1586.26,1.61205
767,19.1875,5.7616225,3.02709709674575,11531.48,11.71898
768,20.1875,6.0619025,3.17741260381408,14989.68,15.23342
769,21.1875,6.3621825,3.32771226457856,7970.71,8.10032
770,22.1875,6.6624625,3.47799813340614,1490.38,1.51462
771,23.1875,6.9627425,3.62827192411574,380.92,0.38711
772,24.1875,7.2630225,3.77853507776183,1601.75,1.62779
773,25.1875,7.5633025,3.92878881484187,3181.76,3.2335
774,26.1875,7.8635825,4.07903417595104,3857.77,3.92049
775,27.1875,8.1638625,4.22927205376133,2383.05,2.4218
776,28.1875,8.4641425,4.37950321841149,1096.5,1.11433
777,29.1875,8.7644225,4.52972833783954,1396.12,1.41882
778,30.1875,9.0647025,4.67994799419572,2162.78,2.19795
779,31.1875,9.3649825,4.83016269719008,2555.95,2.59751
780,32.1875,9.6652625,4.98037289502268,2765.19,2.81015
781,33.1875,9.9655425,5.13057898339228,2092.87,2.1269
782,34.1875,10.2658225,5.28078131296654,1836.5,1.86636
783,35.1875,10.5661025,5.43098019561171,1463.45,1.48724
784,36.1875,10.8663825,5.58117590961587,815.01,0.82826
785,37.1875,11.1666625,5.73136870409037,260.02,0.26425
786,38.1875,11.4669425,5.88155880269649,508.51,0.51678
787,39.1875,11.7672225,6.03174640681507,1872.45,1.9029
788,40.1875,12.0675025,6.18193169825392,2830.33,2.87635
789,41.1875,12.3677825,6.33211484156964,3128.31,3.17918
790,42.1875,12.6680625,6.48229598606671,2057.6,2.09106
791,43.1875,12.9683425,6.63247526752468,2026.05,2.059
792,44.1875,13.2686225,6.78265280969597,1639.4,1.66605
793,45.1875,13.5689025,6.9328287256088,683.45,0.69456
794,46.1875,13.8691825,7.08300311870442,613.81,0.62379
795,47.1875,14.1694625,7.23317608383251,1411.2,1.43415
796,48.1875,14.4697425,7.38334770812513,1520.19,1.5449
797,49.1875,14.7700225,7.53351807176611,1927.74,1.95909
798,50.1875,15.0703025,7.68368724867017,1855.21,1.88537
799,51.1875,15.3705825,7.8338553070839,2211.27,2.24722
800,52.1875,15.6708625,7.98402231011891,1538.42,1.56343
801,53.1875,15.9711425,8.13418831622594,2635.28,2.67813
802,54.1875,16.2714225,8.2843533796173,1354.97,1.377
803,55.1875,16.5717025,8.43451755064429,644.92,0.65541
804,56.1875,16.8719825,8.58468087613492,1202.82,1.22238
805,57.1875,17.1722625,8.73484339969679,1863.1,1.8934
806,58.1875,17.4725425,8.8850051619893,1869.9,1.9003
807,59.1875,17.7728225,9.03516620096867,1299.46,1.32059
808,60.1875,18.0731025,9.18532655210889,895.06,0.90961
809,61.1875,18.3733825,9.33548624860144,1156.8,1.17561
810,62.1875,18.6736625,9.48564532153593,1414.93,1.43793
811,63.1875,18.9739425,9.63580380006393,1331.39,1.35304
812,64.1875,19.2742225,9.78596171154765,1248.58,1.26888
813,65.1875,19.5745025,9.93611908169515,853.94,0.86782
814,66.1875,19.8747825,10.0862759346836,990.75,1.00685
815,67.1875,20.1750625,10.2364322932713,1178.69,1.19786
816,68.1875,20.4753425,10.3865881789005,1438.56,1.46195
817,69.1875,20.7756225,10.5367436117914,1754.83,1.78336
818,70.1875,21.0759025,10.6868986110273,1623.61,1.65001
819,71.1875,21.3761825,10.837053194634,1048.55,1.0656
820,72.1875,21.6764625,10.9872073796519,749.15,0.76134
821,73.1875,21.9767425,11.1373611822023,2144.59,2.17946
822,74.1875,22.2770225,11.2875146175487,2581.96,2.62394
823,75.1875,22.5773025,11.4376677001531,2344.38,2.3825
824,76.1875,22.8775825,11.5878204437278,1470.18,1.49409
825,77.1875,23.1778625,11.7379728612834,508.35,0.51662
826,78.1875,23.4781425,11.8881249651733,547.46,0.55636
827,79.1875,23.7784225,12.0382767671343,1546.54,1.57169
828,80.1875,24.0787025,12.1884282783252,2256.2,2.29289
829,81.1875,24.3789825,12.3385795093611,2141.92,2.17675
830,82.1875,24.6792625,12.4887304703471,1738.06,1.76632
831,83.1875,24.9795425,12.6388811709078,2630.3,2.67307
832,84.1875,25.2798225,12.7890316202157,2462.89,2.50294
833,85.1875,25.5801025,12.9391818270178,2695.57,2.7394
834,86.1875,25.8803825,13.0893317996595,1368.58,1.39083
835,87.1875,26.1806625,13.2394815461077,630.45,0.64071
836,88.1875,26.4809425,13.389631073972,1343.04,1.36487
837,89.1875,26.7812225,13.5397803905243,2102.27,2.13645
838,90.1875,27.0815025,13.6899295027176,2338.96,2.37699
839,91.1875,27.3817825,13.8400784172029,1729.64,1.75776
840,92.1875,27.6820625,13.9902271403461,1029.2,1.04594
841,93.1875,27.9823425,14.1403756782423,1155.74,1.17453
842,94.1875,28.2826225,14.2905240367307,1534.52,1.55947
843,95.1875,28.5829025,14.4406722214074,1717.93,1.74587
844,96.1875,28.8831825,14.5908202376383,1262.17,1.2827
845,97.1875,29.1834625,14.7409680905708,988.59,1.00467
846,98.1875,29.4837425,14.8911157851444,1146.2,1.16484
