taps_from_fp,excess_path_m,reflector_off_m,amplitude_norm_mean,amplitude_norm_sd,n_frames
-50,-15.014,NaN,NaN,NaN,0
-49.5,-14.86386,NaN,NaN,NaN,0
-49,-14.71372,NaN,NaN,NaN,0
-48.5,-14.56358,NaN,NaN,NaN,0
-48,-14.41344,NaN,NaN,NaN,0
-47.5,-14.2633,NaN,NaN,NaN,0
-47,-14.11316,NaN,NaN,NaN,0
-46.5,-13.96302,NaN,NaN,NaN,0
-46,-13.81288,NaN,NaN,NaN,0
-45.5,-13.66274,NaN,NaN,NaN,0
-45,-13.5126,NaN,NaN,NaN,0
-44.5,-13.36246,NaN,NaN,NaN,0
-44,-13.21232,NaN,NaN,NaN,0
-43.5,-13.06218,NaN,NaN,NaN,0
-43,-12.91204,NaN,NaN,NaN,0
-42.5,-12.7619,NaN,NaN,NaN,0
-42,-12.61176,NaN,NaN,NaN,0
-41.5,-12.46162,NaN,NaN,NaN,0
-41,-12.31148,NaN,NaN,NaN,0
-40.5,-12.16134,NaN,NaN,NaN,0
-40,-12.0112,NaN,NaN,NaN,0
-39.5,-11.86106,NaN,NaN,NaN,0
-39,-11.71092,NaN,NaN,NaN,0
-38.5,-11.56078,NaN,NaN,NaN,0
-38,-11.41064,NaN,NaN,NaN,0
-37.5,-11.2605,NaN,NaN,NaN,0
-37,-11.11036,NaN,NaN,NaN,0
-36.5,-10.96022,NaN,NaN,NaN,0
-36,-10.81008,NaN,NaN,NaN,0
-35.5,-10.65994,NaN,NaN,NaN,0
-35,-10.5098,NaN,NaN,NaN,0
-34.5,-10.35966,NaN,NaN,NaN,0
-34,-10.20952,NaN,NaN,NaN,0
-33.5,-10.05938,NaN,NaN,NaN,0
-33,-9.90924,NaN,NaN,NaN,0
-32.5,-9.7591,NaN,NaN,NaN,0
-32,-9.60896,NaN,NaN,NaN,0
-31.5,-9.45882,NaN,NaN,NaN,0
-31,-9.30868,NaN,NaN,NaN,0
-30.5,-9.15854,NaN,NaN,NaN,0
-30,-9.0084,NaN,NaN,NaN,0
-29.5,-8.85826,NaN,NaN,NaN,0
-29,-8.70812,NaN,NaN,NaN,0
-28.5,-8.55798,NaN,NaN,NaN,0
-28,-8.40784,NaN,NaN,NaN,0
-27.5,-8.2577,NaN,NaN,NaN,0
-27,-8.10756,NaN,NaN,NaN,0
-26.5,-7.95742,NaN,NaN,NaN,0
-26,-7.80728,NaN,NaN,NaN,0
-25.5,-7.65714,NaN,NaN,NaN,0
-25,-7.507,NaN,NaN,NaN,0
-24.5,-7.35686,NaN,NaN,NaN,0
-24,-7.20672,NaN,NaN,NaN,0
-23.5,-7.05658,NaN,NaN,NaN,0
-23,-6.90644,NaN,NaN,NaN,0
-22.5,-6.7563,NaN,NaN,NaN,0
-22,-6.60616,NaN,NaN,NaN,0
-21.5,-6.45602,NaN,NaN,NaN,0
-21,-6.30588,NaN,NaN,NaN,0
-20.5,-6.15574,NaN,0.230897995333337,0.0777636234982949,6
-20,-6.0056,NaN,0.368338203277778,0.127785876744829,18
-19.5,-5.85546,NaN,0.34321804722222,0.103713200447405,18
-19,-5.70532,NaN,0.256890845222221,0.0816981276595448,18
-18.5,-5.55518,NaN,0.177441256333331,0.0639732225671597,18
-18,-5.40504,NaN,0.176278778833333,0.0489368324371833,18
-17.5,-5.2549,NaN,0.236768839666668,0.0913155153774915,18
-17,-5.10476,NaN,0.30426195388889,0.0991934237805284,18
-16.5,-4.95462,NaN,0.363570307333335,0.094325477170499,18
-16,-4.80448,NaN,0.440135023444444,0.087063809083786,18
-15.5,-4.65434,NaN,0.520077501555555,0.0973754639723171,18
-15,-4.5042,NaN,0.531851362888889,0.0933638049751047,18
-14.5,-4.35406,NaN,0.468994800722221,0.107243354600312,18
-14,-4.20392,NaN,0.321283286277778,0.0897394538096014,18
-13.5,-4.05378,NaN,0.206363257833335,0.0725625129648142,18
-13,-3.90364,NaN,0.224867122944444,0.072648922179238,18
-12.5,-3.7535,NaN,0.257911995111111,0.0935662159887105,18
-12,-3.60336,NaN,0.225669275055555,0.0846606908933819,18
-11.5,-3.45322,NaN,0.1659046515,0.0771482866230196,18
-11,-3.30308,NaN,0.145081171833334,0.0451560565620865,18
-10.5,-3.15294,NaN,0.167766269777778,0.069343477658006,18
-10,-3.0028,NaN,0.189546383944444,0.0761112501884392,18
-9.5,-2.85266,NaN,0.186097605166666,0.0774970153897953,18
-9,-2.70252,NaN,0.160013444333333,0.0725181930019159,18
-8.5,-2.55238,NaN,0.1313073335,0.0606746628847712,18
