FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv
1,4194587380,754.0312,754,897,-56.61,734,0.3,200,01_raw_frames\frame_0001.csv,02_lde_aligned\frame_0001_aligned.csv
2,112885030184,746.4687,746,1016,-58.29,726,0.3,200,01_raw_frames\frame_0002.csv,02_lde_aligned\frame_0002_aligned.csv
3,221575566356,750.4062,750,970,-57.47,730,0.3,200,01_raw_frames\frame_0003.csv,02_lde_aligned\frame_0003_aligned.csv
4,330265964731,754.5156,754,870,-57.38,734,0.3,200,01_raw_frames\frame_0004.csv,02_lde_aligned\frame_0004_aligned.csv
5,438956402380,746.1562,746,974,-58.73,726,0.3,200,01_raw_frames\frame_0005.csv,02_lde_aligned\frame_0005_aligned.csv
6,547646819261,750.1719,750,979,-57.73,730,0.3,200,01_raw_frames\frame_0006.csv,02_lde_aligned\frame_0006_aligned.csv
7,656337283385,749.7344,749,859,-57.23,729,0.3,200,01_raw_frames\frame_0007.csv,02_lde_aligned\frame_0007_aligned.csv
8,765027620716,750.5312,750,893,-57.2,730,0.3,200,01_raw_frames\frame_0008.csv,02_lde_aligned\frame_0008_aligned.csv
9,873718045170,753,753,973,-57.69,733,0.3,200,01_raw_frames\frame_0009.csv,02_lde_aligned\frame_0009_aligned.csv
10,982408347574,752.3125,752,960,-56.54,732,0.3,200,01_raw_frames\frame_0010.csv,02_lde_aligned\frame_0010_aligned.csv
11,1091098690820,749.6562,749,985,-58.36,729,0.3,200,01_raw_frames\frame_0011.csv,02_lde_aligned\frame_0011_aligned.csv
12,100277406852,746.5312,746,880,-56.97,726,0.3,200,01_raw_frames\frame_0012.csv,02_lde_aligned\frame_0012_aligned.csv
13,208967722535,754.3281,754,855,-57.88,734,0.3,200,01_raw_frames\frame_0013.csv,02_lde_aligned\frame_0013_aligned.csv
14,317658033175,754.4531,754,855,-57.72,734,0.3,200,01_raw_frames\frame_0014.csv,02_lde_aligned\frame_0014_aligned.csv
15,426348330050,746.125,746,990,-59.1,726,0.3,200,01_raw_frames\frame_0015.csv,02_lde_aligned\frame_0015_aligned.csv
16,535038680229,749.0469,749,866,-56.98,729,0.3,200,01_raw_frames\frame_0016.csv,02_lde_aligned\frame_0016_aligned.csv
17,643728834715,748.3906,748,963,-57.81,728,0.3,200,01_raw_frames\frame_0017.csv,02_lde_aligned\frame_0017_aligned.csv
18,752419168112,752.7187,752,898,-57.27,732,0.3,200,01_raw_frames\frame_0018.csv,02_lde_aligned\frame_0018_aligned.csv
