sample,real,imag,amplitude,amplitude_norm
731,404,481,628.15,0.63837
732,178,221,283.77,0.28838
733,-66,274,281.84,0.28642
734,128,342,365.17,0.37111
735,209,214,299.13,0.30399
736,80,144,164.73,0.16741
737,27,-77,81.6,0.08292
738,-14,-94,95.04,0.09658
739,89,99,133.12,0.13529
740,206,178,272.25,0.27668
741,181,149,234.44,0.23825
742,165,-142,217.69,0.22123
743,130,-202,240.22,0.24412
744,168,89,190.12,0.19321
745,150,196,246.81,0.25082
746,65,220,229.4,0.23313
747,-43,110,118.11,0.12003
748,61,-145,157.31,0.15987
749,835,-1133,1407.45,1.43033
750,1640,-2220,2760.07,2.80495
751,162,-632,652.43,0.66304
752,-4675,2795,5446.8,5.53537
753,-7527,3988,8518.21,8.65672
754,-6265,2208,6642.7,6.75071
755,-6645,315,6652.46,6.76063
756,-9196,527,9211.09,9.36086
757,-5844,2587,6391,6.49492
758,2462,2757,3696.28,3.75638
759,5525,126,5526.44,5.6163
760,-2934,-2611,3927.55,3.99142
761,-14750,-1383,14814.7,15.05558
762,-16400,2319,16563.14,16.83246
763,-9146,3750,9884.93,10.04566
764,4292,-470,4317.66,4.38786
765,7017,-5330,8811.76,8.95505
766,-2087,-2937,3602.99,3.66158
767,-8912,6798,11208.77,11.39103
768,-6969,14174,15794.59,16.05142
769,-1707,12908,13020.38,13.23209
770,2838,5033,5778,5.87196
771,2903,596,2963.55,3.01174
772,685,-577,895.63,0.91019
773,-88,-2322,2323.67,2.36145
774,799,-4155,4231.13,4.29992
775,1053,-2416,2635.5,2.67835
776,-45,2105,2105.48,2.13972
777,-1726,5620,5879.07,5.97467
778,-636,3373,3432.44,3.48825
779,3369,-535,3411.21,3.46668
780,5608,-1329,5763.32,5.85704
781,3620,739,3694.66,3.75474
782,2040,993,2268.84,2.30573
783,3730,-1621,4067.01,4.13314
784,5825,-3779,6943.45,7.05635
785,3678,-2168,4269.42,4.33884
786,-782,-86,786.71,0.79951
787,-2213,-535,2276.75,2.31377
788,1593,-1932,2504.05,2.54477
789,5689,-2110,6067.69,6.16635
790,5081,-1087,5195.97,5.28046
791,1372,-336,1412.54,1.43551
792,-736,-937,1191.5,1.21087
793,1180,-2556,2815.23,2.86101
794,3971,-2623,4759.09,4.83648
795,6140,-282,6146.47,6.24642
796,3499,1985,4022.84,4.08825
797,855,2053,2223.92,2.26008
798,1348,1073,1722.91,1.75093
799,1769,109,1772.35,1.80117
800,894,-296,941.73,0.95704
801,255,-558,613.51,0.62348
802,79,-417,424.42,0.43132
803,904,-125,912.6,0.92744
804,1357,-127,1362.93,1.38509
805,486,-700,852.17,0.86603
806,-1431,-1749,2259.81,2.29656
807,-2403,-2085,3181.45,3.23318
808,-1650,-1917,2529.31,2.57043
809,-1137,-1323,1744.45,1.77281
810,-1212,393,1274.12,1.29484
811,-696,1373,1539.33,1.56436
812,561,734,923.84,0.93886
813,1377,-327,1415.29,1.43831
814,1013,-402,1089.85,1.10757
815,91,-2,91.02,0.0925
816,-100,-496,505.98,0.51421
817,1138,-1641,1996.98,2.02945
818,2077,-2486,3239.46,3.29214
819,1856,-3135,3643.21,3.70245
820,1173,-2865,3095.83,3.14617
821,1049,-1332,1695.47,1.72304
822,1667,268,1688.41,1.71586
823,1742,286,1765.32,1.79403
824,359,-1166,1220.02,1.23985
825,-645,-2411,2495.79,2.53637
826,-1036,-1912,2174.64,2.21
827,-631,36,632.03,0.6423
828,653,1256,1415.61,1.43863
829,960,439,1055.61,1.07278
830,452,-865,975.98,0.99185
831,341,-360,495.86,0.50393
832,598,1001,1166.02,1.18498
833,1001,1571,1862.8,1.89309
834,1528,776,1713.76,1.74162
835,1531,-467,1600.64,1.62667
836,573,-896,1063.55,1.08085
837,-801,-1173,1420.4,1.44349
838,-1557,-1242,1991.69,2.02407
839,-638,-716,959.01,0.9746
840,707,-360,793.38,0.80628
841,1595,-1235,2017.24,2.05004
842,1771,-1884,2585.71,2.62775
843,1417,-1525,2081.71,2.11556
844,526,-342,627.41,0.63761
845,-642,1326,1473.24,1.4972
846,-591,1954,2041.42,2.07461
847,481,838,966.23,0.98194
848,1350,-730,1534.73,1.55969
849,536,-1167,1284.21,1.30509
850,-565,-612,832.93,0.84647
851,-123,-26,125.72,0.12776
852,1065,438,1151.55,1.17028
853,1265,517,1366.57,1.38879
854,343,93,355.38,0.36116
855,-384,-396,551.61,0.56058
856,-447,-836,948,0.96342
857,-140,-912,922.68,0.93769
858,-619,-626,880.36,0.89468
859,-1634,-371,1675.59,1.70283
860,-1375,-119,1380.14,1.40258
861,-764,92,769.52,0.78203
862,-267,-197,331.81,0.33721
863,-127,67,143.59,0.14592
864,312,292,427.33,0.43427
865,952,282,992.89,1.00903
866,1228,476,1317.03,1.33844
867,486,714,863.71,0.87775
868,-425,701,819.77,0.8331
869,-335,-435,549.04,0.55797
870,466,-1156,1246.39,1.26666
