FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
1,2370948968,747.0937,747,980,-58.4,136,13,1768,748,16856,697,0.3919746,1.5,150,02_lde_aligned\frame_0001_aligned.csv
2,8760742738,747.625,747,984,-57.76,116,13,1508,771,17788,697,0.5027254,1.5,150,02_lde_aligned\frame_0002_aligned.csv
3,15150536528,713.8125,713,978,-65.84,144,13,1872,737,17303,663,0.5987087,1.5,150,02_lde_aligned\frame_0003_aligned.csv
4,21540330308,746.7812,746,932,-58.3,128,13,1664,748,16351,696,0.7029552,1.5,150,02_lde_aligned\frame_0004_aligned.csv
5,27930123521,753.3594,753,1027,-58.12,148,13,1924,755,18257,703,0.7975808,1.5,150,02_lde_aligned\frame_0005_aligned.csv
6,34319917216,752.0937,752,995,-58.34,108,13,1404,754,16994,702,0.9010981,1.5,150,02_lde_aligned\frame_0006_aligned.csv
7,40709710890,749.875,749,944,-58.54,144,13,1872,773,16538,699,0.9964793,1.5,150,02_lde_aligned\frame_0007_aligned.csv
8,47099504495,747.5781,747,948,-58.69,140,13,1820,771,16915,697,1.0920121,1.5,150,02_lde_aligned\frame_0008_aligned.csv
9,53489298075,751.5156,751,960,-58.94,148,13,1924,753,17484,701,1.1881767,1.5,150,02_lde_aligned\frame_0009_aligned.csv
10,59879091610,748.125,748,989,-58.37,140,13,1820,772,17451,698,1.2989476,1.5,150,02_lde_aligned\frame_0010_aligned.csv
11,66268885133,751.4219,751,951,-58.77,144,13,1872,753,16744,701,1.3936322,1.5,150,02_lde_aligned\frame_0011_aligned.csv
12,72658678603,746.5156,746,979,-58.71,148,13,1924,748,17752,696,1.4901571,1.5,150,02_lde_aligned\frame_0012_aligned.csv
13,79048471546,749.75,749,1000,-58.38,164,13,2132,773,17800,699,1.6012217,1.5,150,02_lde_aligned\frame_0013_aligned.csv
14,85438264943,751.7031,751,1019,-58.41,120,13,1560,753,17768,701,1.6980383,1.5,150,02_lde_aligned\frame_0014_aligned.csv
15,91828058351,752.7031,752,949,-58.57,144,13,1872,776,17254,702,1.7930489,1.5,150,02_lde_aligned\frame_0015_aligned.csv
16,98217851672,746.4687,746,931,-57.95,128,13,1664,770,17250,696,1.8876396,1.5,150,02_lde_aligned\frame_0016_aligned.csv
17,104607645018,746.75,746,936,-58.07,144,13,1872,770,17135,696,2.0046717,1.5,150,02_lde_aligned\frame_0017_aligned.csv
18,110997438319,746.7031,746,914,-58.2,140,13,1820,770,16551,696,2.0928555,1.5,150,02_lde_aligned\frame_0018_aligned.csv
19,117387231595,747.3906,747,935,-58.07,104,13,1352,771,16714,697,2.1999387,1.5,150,02_lde_aligned\frame_0019_aligned.csv
20,123777024834,746,746,1036,-58.72,152,13,1976,747,18005,696,2.2944153,1.5,150,02_lde_aligned\frame_0020_aligned.csv
21,130166818064,753.0937,753,1005,-59.04,144,13,1872,755,17359,703,2.4032858,1.5,150,02_lde_aligned\frame_0021_aligned.csv
22,136556610738,751.875,751,968,-58.18,140,13,1820,775,17400,701,2.4972912,1.5,150,02_lde_aligned\frame_0022_aligned.csv
23,142946403899,750.0156,750,966,-58.85,144,13,1872,752,16567,700,2.5918604,1.5,150,02_lde_aligned\frame_0023_aligned.csv
24,149336197045,748.6719,748,934,-58.74,140,13,1820,750,16679,698,2.6910223,1.5,150,02_lde_aligned\frame_0024_aligned.csv
25,155725990177,745.8594,745,942,-58.54,136,13,1768,747,16515,695,2.8028916,1.5,150,02_lde_aligned\frame_0025_aligned.csv
26,162115783283,751.0156,751,981,-58.82,128,13,1664,752,17076,701,2.8906127,1.5,150,02_lde_aligned\frame_0026_aligned.csv
27,168505576332,748.1562,748,955,-58.11,132,13,1716,750,16822,698,3.0021921,1.5,150,02_lde_aligned\frame_0027_aligned.csv
28,174895369397,751.7969,751,935,-58.11,136,13,1768,753,16876,701,3.0973939,1.5,150,02_lde_aligned\frame_0028_aligned.csv
29,181285162407,748.0781,748,1068,-58.5,148,13,1924,749,18019,698,3.1919295,1.5,150,02_lde_aligned\frame_0029_aligned.csv
30,187674955405,752.4219,752,920,-58,112,13,1456,776,16963,702,3.2976916,1.5,150,02_lde_aligned\frame_0030_aligned.csv
31,194064748407,747.9531,747,969,-58.42,124,13,1612,771,17064,697,3.3944358,1.5,150,02_lde_aligned\frame_0031_aligned.csv
32,200454541361,749.8594,749,953,-58.37,120,13,1560,773,16935,699,3.4892925,1.5,150,02_lde_aligned\frame_0032_aligned.csv
33,206844333785,752.7344,752,928,-58.05,120,13,1560,754,16904,702,3.6009631,1.5,150,02_lde_aligned\frame_0033_aligned.csv
34,213234126680,746.7187,746,1009,-58.83,144,13,1872,748,18086,696,3.6951991,1.5,150,02_lde_aligned\frame_0034_aligned.csv
35,219623919570,749.375,749,1066,-58.45,140,13,1820,773,18852,699,3.7988852,1.5,150,02_lde_aligned\frame_0035_aligned.csv
36,226013712444,750.2812,750,1026,-58.73,140,13,1820,752,18123,700,3.8938963,1.5,150,02_lde_aligned\frame_0036_aligned.csv
37,232403505280,751.8437,751,1064,-58.5,152,13,1976,775,17806,701,4.0057424,1.5,150,02_lde_aligned\frame_0037_aligned.csv
38,238793298118,752.1875,752,1023,-58.53,128,13,1664,776,18157,702,4.0940593,1.5,150,02_lde_aligned\frame_0038_aligned.csv
39,245183090911,753.5781,753,917,-58.02,124,13,1612,755,16710,703,4.189278,1.5,150,02_lde_aligned\frame_0039_aligned.csv
40,251572883686,752.9375,752,1034,-58.34,136,13,1768,777,17562,702,4.2986419,1.5,150,02_lde_aligned\frame_0040_aligned.csv
41,257962676429,753.1719,753,1109,-58.32,132,13,1716,755,18391,703,4.4042706,1.5,150,02_lde_aligned\frame_0041_aligned.csv
42,264352469169,752.8594,752,959,-58.47,124,13,1612,754,17220,702,4.4979982,1.5,150,02_lde_aligned\frame_0042_aligned.csv
43,270742261368,751.0937,751,1095,-58.45,156,13,2028,775,18346,701,4.5952249,1.5,150,02_lde_aligned\frame_0043_aligned.csv
44,277132054082,750.75,750,983,-58.34,144,13,1872,752,17100,700,4.6889696,1.5,150,02_lde_aligned\frame_0044_aligned.csv
45,283521846729,749.7344,749,1017,-58.2,140,13,1820,751,17617,699,4.7998594,1.5,150,02_lde_aligned\frame_0045_aligned.csv
46,289911639396,746.7812,746,944,-58.63,132,13,1716,748,16880,696,4.8889744,1.5,150,02_lde_aligned\frame_0046_aligned.csv
47,296301432026,752.75,752,991,-58.23,132,13,1716,754,17855,702,4.9999334,1.5,150,02_lde_aligned\frame_0047_aligned.csv
48,302691224621,750.9219,750,1014,-58.2,148,13,1924,753,16801,700,5.0939061,1.5,150,02_lde_aligned\frame_0048_aligned.csv
49,309081017213,747.6719,747,954,-58.04,132,13,1716,749,17041,697,5.1906848,1.5,150,02_lde_aligned\frame_0049_aligned.csv
50,315470809781,752.6719,752,942,-58.04,124,13,1612,754,16901,702,5.3033954,1.5,150,02_lde_aligned\frame_0050_aligned.csv
51,321860602325,749.0469,749,974,-58.41,132,13,1716,750,16933,699,5.4058102,1.5,150,02_lde_aligned\frame_0051_aligned.csv
52,328250394835,752.7656,752,929,-58.49,124,13,1612,754,16583,702,5.5006938,1.5,150,02_lde_aligned\frame_0052_aligned.csv
53,334640187340,748.5312,748,1013,-58.33,132,13,1716,772,17869,698,5.5966525,1.5,150,02_lde_aligned\frame_0053_aligned.csv
54,341029979304,751.9687,751,964,-58.51,124,13,1612,753,16983,701,5.69086,1.5,150,02_lde_aligned\frame_0054_aligned.csv
55,347419771765,747.6719,747,989,-58.5,124,13,1612,749,17935,697,5.7881424,1.5,150,02_lde_aligned\frame_0055_aligned.csv
56,353809564218,750.875,750,945,-58.59,124,13,1612,752,16922,700,5.9008018,1.5,150,02_lde_aligned\frame_0056_aligned.csv
57,360199356637,753.0469,753,961,-58.03,128,13,1664,754,16894,703,5.9967351,1.5,150,02_lde_aligned\frame_0057_aligned.csv
58,366589149031,747.4531,747,1039,-58.39,136,13,1768,771,18454,697,6.0919226,1.5,150,02_lde_aligned\frame_0058_aligned.csv
59,372978941402,749.25,749,988,-58.38,124,13,1612,773,17708,699,6.2031137,1.5,150,02_lde_aligned\frame_0059_aligned.csv
60,379368733746,750.375,750,1044,-58.46,132,13,1716,774,18515,700,6.2982008,1.5,150,02_lde_aligned\frame_0060_aligned.csv
61,385758526094,752.3125,752,948,-58.14,116,13,1508,776,17023,702,6.4034898,1.5,150,02_lde_aligned\frame_0061_aligned.csv
62,392148318397,752.4219,752,1013,-58.7,132,13,1716,754,18215,702,6.4968579,1.5,150,02_lde_aligned\frame_0062_aligned.csv
63,398538110698,753.75,753,930,-58.26,124,13,1612,755,16832,703,6.5912731,1.5,150,02_lde_aligned\frame_0063_aligned.csv
64,404927902458,746.25,746,952,-58.23,128,13,1664,748,17104,696,6.7022221,1.5,150,02_lde_aligned\frame_0064_aligned.csv
65,411317694692,753.4062,753,1014,-58.66,124,13,1612,755,18185,703,6.7969304,1.5,150,02_lde_aligned\frame_0065_aligned.csv
66,417707486924,752.9062,752,1010,-58.53,132,13,1716,754,17894,702,6.8920047,1.5,150,02_lde_aligned\frame_0066_aligned.csv
67,424097279141,751.9219,751,972,-58.15,120,13,1560,775,17238,701,7.0068227,1.5,150,02_lde_aligned\frame_0067_aligned.csv
68,430487071319,751.3281,751,1030,-58.52,116,13,1508,753,18342,701,7.1101163,1.5,150,02_lde_aligned\frame_0068_aligned.csv
69,436876863506,749.75,749,1007,-58.67,124,13,1612,751,18043,699,7.2050991,1.5,150,02_lde_aligned\frame_0069_aligned.csv
70,443266655649,748.3594,748,975,-58.92,112,13,1456,750,17536,698,7.3008484,1.5,150,02_lde_aligned\frame_0070_aligned.csv
71,449656447788,745.9062,745,959,-58.39,120,13,1560,769,16963,695,7.3953964,1.5,150,02_lde_aligned\frame_0071_aligned.csv
72,456046239884,751.4062,751,963,-58.58,124,13,1612,775,17519,701,7.5012536,1.5,150,02_lde_aligned\frame_0072_aligned.csv
73,462436031975,749.2031,749,969,-58.45,124,13,1612,773,17215,699,7.5977293,1.5,150,02_lde_aligned\frame_0073_aligned.csv
74,468825823515,746.7656,746,950,-58.37,124,13,1612,770,16784,696,7.6952736,1.5,150,02_lde_aligned\frame_0074_aligned.csv
75,475215615572,751.0312,751,1007,-58.49,132,13,1716,752,17457,701,7.8053201,1.5,150,02_lde_aligned\frame_0075_aligned.csv
76,481605407599,748.0781,748,972,-58.39,128,13,1664,772,17201,698,7.9008954,1.5,150,02_lde_aligned\frame_0076_aligned.csv
77,487995199585,751.3594,751,931,-58.24,112,13,1456,775,17089,701,7.9949264,1.5,150,02_lde_aligned\frame_0077_aligned.csv
78,494385005913,746.9844,746,971,-58.48,136,13,1768,748,17114,696,8.0998926,1.5,150,02_lde_aligned\frame_0078_aligned.csv
79,500774797878,750.5625,750,948,-58.55,128,13,1664,774,17133,700,8.1951819,1.5,150,02_lde_aligned\frame_0079_aligned.csv
80,507164589816,745.9687,745,1033,-58.25,140,13,1820,747,17978,695,8.3007186,1.5,150,02_lde_aligned\frame_0080_aligned.csv
81,513554367423,748.7031,748,935,-58.71,128,13,1664,750,16801,698,8.3951642,1.5,150,02_lde_aligned\frame_0081_aligned.csv
82,519944158795,750.6406,750,955,-58.28,132,13,1716,774,17014,700,8.505325,1.5,150,02_lde_aligned\frame_0082_aligned.csv
