sample,taps_from_fp,amplitude,amplitude_norm
696,-50.5937,147.11,0.15468
697,-49.5937,504.5,0.5305
698,-48.5937,565.8,0.59495
699,-47.5937,155.19,0.16319
700,-46.5937,238.32,0.2506
701,-45.5937,251.68,0.26464
702,-44.5937,279.52,0.29392
703,-43.5937,387.46,0.40742
704,-42.5937,391.77,0.41196
705,-41.5937,725.62,0.76301
706,-40.5937,971.27,1.02131
707,-39.5937,507.77,0.53394
708,-38.5937,301.01,0.31652
709,-37.5937,575.46,0.60511
710,-36.5937,311.51,0.32756
711,-35.5937,399.04,0.4196
712,-34.5937,559.45,0.58828
713,-33.5937,251.96,0.26494
714,-32.5937,278.73,0.29309
715,-31.5937,205.94,0.21655
716,-30.5937,367.24,0.38616
717,-29.5937,576.04,0.60572
718,-28.5937,397.1,0.41756
719,-27.5937,649.97,0.68346
720,-26.5937,519.46,0.54622
721,-25.5937,323.19,0.33984
722,-24.5937,397.57,0.41806
723,-23.5937,151.03,0.15881
724,-22.5937,73.76,0.07756
725,-21.5937,154.56,0.16252
726,-20.5937,182.32,0.19172
727,-19.5937,433.08,0.4554
728,-18.5937,359.03,0.37753
729,-17.5937,410.33,0.43147
730,-16.5937,331.65,0.34874
731,-15.5937,68.07,0.07157
732,-14.5937,165.19,0.17371
733,-13.5937,135.67,0.14266
734,-12.5937,228.32,0.24008
735,-11.5937,365.66,0.3845
736,-10.5937,326.5,0.34332
737,-9.59370000000001,137.03,0.14409
738,-8.59370000000001,309.08,0.325
739,-7.59370000000001,203.98,0.21449
740,-6.59370000000001,361.55,0.38018
741,-5.59370000000001,523.72,0.5507
742,-4.59370000000001,253.51,0.26657
743,-3.59370000000001,18.44,0.01939
744,-2.59370000000001,220.62,0.23199
745,-1.59370000000001,757.34,0.79637
746,-0.593700000000013,3809.55,4.00584
747,0.406299999999987,13032.57,13.70407
748,1.40629999999999,17029.44,17.90687
749,2.40629999999999,14457.87,15.20281
750,3.40629999999999,13521.73,14.21844
751,4.40629999999999,16137.59,16.96907
752,5.40629999999999,9599.23,10.09383
753,6.40629999999999,2334.88,2.45518
754,7.40629999999999,2724.68,2.86507
755,8.40629999999999,379.93,0.39951
756,9.40629999999999,1475.37,1.55139
757,10.4063,2000.02,2.10307
758,11.4063,5292.19,5.56487
759,12.4063,5855.14,6.15682
760,13.4063,2684.99,2.82334
761,14.4063,9245.87,9.72226
762,15.4063,9517.12,10.00749
763,16.4063,1904.31,2.00243
764,17.4063,3129.77,3.29103
765,18.4063,4862.43,5.11297
766,19.4063,7796.62,8.19834
767,20.4063,6977.93,7.33747
768,21.4063,6453.24,6.78574
769,22.4063,11306.85,11.88944
770,23.4063,15356.27,16.14749
771,24.4063,6685.94,7.03043
772,25.4063,6067.13,6.37973
773,26.4063,10810.32,11.36732
774,27.4063,6701.83,7.04714
775,28.4063,7583.45,7.97419
776,29.4063,10873.44,11.43369
777,30.4063,5956.97,6.2639
778,31.4063,3078.75,3.23739
779,32.4063,2956,3.1083
780,33.4063,1346.09,1.41545
781,34.4063,2416.17,2.54067
782,35.4063,1327.19,1.39557
783,36.4063,2893.43,3.04252
784,37.4063,4038.86,4.24696
785,38.4063,2885.58,3.03426
786,39.4063,4592.97,4.82962
787,40.4063,3501.84,3.68227
788,41.4063,592.63,0.62316
789,42.4063,1810.78,1.90408
790,43.4063,2616.18,2.75098
791,44.4063,2682.2,2.8204
792,45.4063,1357.58,1.42753
793,46.4063,259.92,0.27332
794,47.4063,1092.99,1.14931
795,48.4063,893.77,0.93982
796,49.4063,970.39,1.02039
797,50.4063,1169.2,1.22944
798,51.4063,438.37,0.46096
799,52.4063,1437.36,1.51142
800,53.4063,1455.83,1.53084
801,54.4063,446.58,0.46959
802,55.4063,1258.33,1.32317
803,56.4063,622.04,0.65409
804,57.4063,2302.4,2.42103
805,58.4063,2970.43,3.12348
806,59.4063,1339.88,1.40892
807,60.4063,1098.34,1.15493
808,61.4063,156.63,0.1647
809,62.4063,2614,2.74869
810,63.4063,4391.36,4.61762
811,64.4063,4352.52,4.57678
812,65.4063,2336.07,2.45643
813,66.4063,1317.58,1.38547
814,67.4063,841.22,0.88457
815,68.4063,750.94,0.78963
816,69.4063,773.75,0.81362
817,70.4063,1144.33,1.20329
818,71.4063,1669.59,1.75561
819,72.4063,1094.25,1.15063
820,73.4063,827.38,0.87001
821,74.4063,761.73,0.80098
822,75.4063,714.79,0.75162
823,76.4063,413.83,0.43515
824,77.4063,509.17,0.5354
825,78.4063,854.64,0.89867
826,79.4063,670.61,0.70517
827,80.4063,245.62,0.25827
828,81.4063,294.27,0.30943
829,82.4063,469.57,0.49376
830,83.4063,239.06,0.25138
831,84.4063,675.62,0.71044
832,85.4063,938.34,0.98668
833,86.4063,723,0.76025
834,87.4063,1206.52,1.26869
835,88.4063,620.14,0.65209
836,89.4063,434.5,0.45688
837,90.4063,656.83,0.69067
838,91.4063,211.48,0.22238
839,92.4063,532.62,0.56006
840,93.4063,553.69,0.58222
841,94.4063,566.79,0.596
842,95.4063,444.16,0.46705
843,96.4063,955.65,1.00489
844,97.4063,1338.9,1.40789
845,98.4063,1258.18,1.323
