sample,taps_from_fp,amplitude,amplitude_norm
695,-50.375,200,0.12829
696,-49.375,273.47,0.17541
697,-48.375,200.3,0.12848
698,-47.375,235.99,0.15137
699,-46.375,154.98,0.09941
700,-45.375,197.23,0.12651
701,-44.375,168.57,0.10813
702,-43.375,185.95,0.11928
703,-42.375,159.82,0.10251
704,-41.375,158.32,0.10155
705,-40.375,91.22,0.05851
706,-39.375,78.55,0.05038
707,-38.375,158.93,0.10194
708,-37.375,216.83,0.13909
709,-36.375,184.81,0.11854
710,-35.375,186.64,0.11972
711,-34.375,108.81,0.0698
712,-33.375,83.82,0.05376
713,-32.375,114.16,0.07323
714,-31.375,292.03,0.18732
715,-30.375,333.49,0.21392
716,-29.375,186.03,0.11933
717,-28.375,204.02,0.13087
718,-27.375,520.1,0.33361
719,-26.375,613.54,0.39355
720,-25.375,448.56,0.28772
721,-24.375,188.18,0.1207
722,-23.375,202.12,0.12965
723,-22.375,237.35,0.15224
724,-21.375,274.61,0.17615
725,-20.375,241.85,0.15513
726,-19.375,169.19,0.10852
727,-18.375,158,0.10135
728,-17.375,115.1,0.07383
729,-16.375,105.48,0.06766
730,-15.375,140.01,0.08981
731,-14.375,192.67,0.12358
732,-13.375,250,0.16036
733,-12.375,191.85,0.12306
734,-11.375,219.78,0.14098
735,-10.375,181.11,0.11617
736,-9.375,297.02,0.19052
737,-8.375,307.3,0.19712
738,-7.375,216.92,0.13914
739,-6.375,87.05,0.05584
740,-5.375,56.3,0.03611
741,-4.375,77.32,0.04959
742,-3.375,163.47,0.10485
743,-2.375,384.68,0.24675
744,-1.375,1868.41,1.19847
745,-0.375,6432.68,4.12616
746,0.625,13709.16,8.79356
747,1.625,16986.7,10.89589
748,2.625,13989.15,8.97315
749,3.625,8789.94,5.63819
750,4.625,13699.55,8.7874
751,5.625,17433.93,11.18276
752,6.625,12059.62,7.73548
753,7.625,3410.68,2.18774
754,8.625,1719.24,1.10279
755,9.625,3874.08,2.48498
756,10.625,4111.15,2.63704
757,11.625,2028.01,1.30084
758,12.625,1552.61,0.9959
759,13.625,1169.78,0.75034
760,14.625,940.83,0.60349
761,15.625,1360.38,0.8726
762,16.625,1691.05,1.0847
763,17.625,1281.08,0.82173
764,18.625,648.59,0.41603
765,19.625,1365.52,0.87589
766,20.625,1164.03,0.74665
767,21.625,679.65,0.43595
768,22.625,1087.7,0.69769
769,23.625,2606.88,1.67215
770,24.625,1598.02,1.02503
771,25.625,2452.8,1.57331
772,26.625,5444.13,3.49207
773,27.625,4224.38,2.70967
774,28.625,1857.28,1.19133
775,29.625,1848.64,1.18578
776,30.625,282.89,0.18146
777,31.625,2297.48,1.47369
778,32.625,1976.59,1.26785
779,33.625,609.12,0.39071
780,34.625,1629.44,1.04518
781,35.625,3182.17,2.04116
782,36.625,5764.98,3.69787
783,37.625,7246.52,4.64819
784,38.625,6184.76,3.96713
785,39.625,3331.04,2.13665
786,40.625,1699.08,1.08985
787,41.625,1689.08,1.08344
788,42.625,3002.54,1.92594
789,43.625,4611.9,2.95824
790,44.625,5040.91,3.23342
791,45.625,3346.18,2.14636
792,46.625,781.55,0.50132
793,47.625,1380.31,0.88538
794,48.625,1628.02,1.04427
795,49.625,2280.75,1.46296
796,50.625,2250.2,1.44336
797,51.625,2137.2,1.37088
798,52.625,913.69,0.58608
799,53.625,1209.82,0.77602
800,54.625,2834.11,1.8179
801,55.625,3075.53,1.97276
802,56.625,2119.55,1.35956
803,57.625,2063.08,1.32333
804,58.625,2136.44,1.37039
805,59.625,1271.84,0.8158
806,60.625,1547.01,0.99231
807,61.625,1841.57,1.18125
808,62.625,1411.17,0.90518
809,63.625,1083.69,0.69512
810,64.625,1146.03,0.73511
811,65.625,883.81,0.56691
812,66.625,323.82,0.20771
813,67.625,777.27,0.49857
814,68.625,1334.17,0.85578
815,69.625,1883.85,1.20837
816,70.625,2177.58,1.39678
817,71.625,1855.29,1.19005
818,72.625,2057.99,1.32007
819,73.625,2505.76,1.60729
820,74.625,3103.82,1.9909
821,75.625,3284.02,2.10649
822,76.625,2442.56,1.56675
823,77.625,1059.92,0.67987
824,78.625,813.23,0.52164
825,79.625,1443.61,0.92599
826,80.625,1828.3,1.17274
827,81.625,1592.56,1.02153
828,82.625,1003.32,0.64357
829,83.625,307.03,0.19694
830,84.625,423.62,0.27172
831,85.625,961.07,0.61646
832,86.625,1409.28,0.90397
833,87.625,1274.01,0.8172
834,88.625,1042.71,0.66883
835,89.625,1111.18,0.71275
836,90.625,756.74,0.4854
837,91.625,1121.63,0.71945
838,92.625,1269.61,0.81437
839,93.625,948.72,0.60854
840,94.625,728.49,0.46728
841,95.625,346.15,0.22203
842,96.625,706.33,0.45306
843,97.625,1360.58,0.87273
844,98.625,1726.32,1.10733
