FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
1,4847144299,748.6406,748,903,-58.82,100,13,1300,751,17633,698,0.4332229,1.5,150,02_lde_aligned\frame_0001_aligned.csv
2,11236940453,754.0469,754,863,-59.13,124,13,1612,756,16333,704,0.5276082,1.5,102,02_lde_aligned\frame_0002_aligned.csv
3,17626736582,750.8125,750,867,-58.87,112,13,1456,753,16802,700,0.6389916,1.5,150,02_lde_aligned\frame_0003_aligned.csv
4,24016533246,747.1875,747,1152,-59.66,156,13,2028,750,19661,697,0.7265423,1.5,150,02_lde_aligned\frame_0004_aligned.csv
5,30406329359,752.2031,752,895,-58.66,128,13,1664,754,17368,702,0.8297298,1.5,150,02_lde_aligned\frame_0005_aligned.csv
6,36796126005,748.0469,748,938,-58.88,128,13,1664,750,18065,698,0.9260056,1.5,150,02_lde_aligned\frame_0006_aligned.csv
7,43185922064,752.2187,752,890,-58.78,124,13,1612,754,17152,702,1.0374761,1.5,150,02_lde_aligned\frame_0007_aligned.csv
8,49575718172,747.1562,747,977,-59.16,144,13,1872,749,18476,697,1.1309209,1.5,150,02_lde_aligned\frame_0008_aligned.csv
9,55965514724,750.5312,750,877,-58.9,124,13,1612,753,17035,700,1.2351439,1.5,150,02_lde_aligned\frame_0009_aligned.csv
10,62355310755,745.8906,745,1005,-59.13,128,13,1664,748,18833,695,1.3297653,1.5,150,02_lde_aligned\frame_0010_aligned.csv
11,68745106788,749.0312,749,924,-58.87,124,13,1612,751,17849,699,1.4257666,1.5,150,02_lde_aligned\frame_0011_aligned.csv
12,75134903319,751.3281,751,882,-58.91,104,13,1352,754,16839,701,1.5375711,1.5,150,02_lde_aligned\frame_0012_aligned.csv
13,81524699298,746.5,746,863,-58.64,108,13,1404,749,16425,696,1.6318534,1.5,150,02_lde_aligned\frame_0013_aligned.csv
