sample,taps_from_fp,amplitude,amplitude_norm
699,-50.9530999999999,88.87,0.08772
700,-49.9530999999999,222.51,0.21965
701,-48.9530999999999,465.99,0.46001
702,-47.9530999999999,370.05,0.3653
703,-46.9530999999999,143.6,0.14176
704,-45.9530999999999,94.37,0.09316
705,-44.9530999999999,63.79,0.06297
706,-43.9530999999999,276.01,0.27247
707,-42.9530999999999,469.8,0.46377
708,-41.9530999999999,427.45,0.42197
709,-40.9530999999999,133.96,0.13224
710,-39.9530999999999,241.51,0.23841
711,-38.9530999999999,360.94,0.35631
712,-37.9530999999999,241.11,0.23801
713,-36.9530999999999,74.33,0.07338
714,-35.9530999999999,185.88,0.1835
715,-34.9530999999999,177.78,0.17549
716,-33.9530999999999,403.15,0.39798
717,-32.9530999999999,613.98,0.6061
718,-31.9530999999999,154.73,0.15274
719,-30.9530999999999,334.89,0.33059
720,-29.9530999999999,401.97,0.39681
721,-28.9530999999999,361.02,0.35639
722,-27.9530999999999,511.26,0.5047
723,-26.9530999999999,595.8,0.58815
724,-25.9530999999999,288.18,0.28448
725,-24.9530999999999,274.06,0.27054
726,-23.9530999999999,277.88,0.27432
727,-22.9530999999999,462.21,0.45628
728,-21.9530999999999,481.92,0.47573
729,-20.9530999999999,376.45,0.37162
730,-19.9530999999999,141.82,0.14
731,-18.9530999999999,160.31,0.15825
732,-17.9530999999999,420.74,0.41534
733,-16.9530999999999,517.88,0.51123
734,-15.9530999999999,211.01,0.2083
735,-14.9530999999999,129.02,0.12736
736,-13.9530999999999,337.19,0.33286
737,-12.9530999999999,134.35,0.13263
738,-11.9530999999999,49.34,0.0487
739,-10.9530999999999,82.42,0.08136
740,-9.95309999999995,177.79,0.17551
741,-8.95309999999995,250.45,0.24724
742,-7.95309999999995,279.21,0.27562
743,-6.95309999999995,149.57,0.14765
744,-5.95309999999995,150.62,0.14868
745,-4.95309999999995,112.41,0.11097
746,-3.95309999999995,48.66,0.04804
747,-2.95309999999995,135.15,0.13341
748,-1.95309999999995,268.82,0.26537
749,-0.953099999999949,1613.63,1.59292
750,0.0469000000000506,9874.38,9.74766
751,1.04690000000005,17937.42,17.70723
752,2.04690000000005,19028.79,18.78459
753,3.04690000000005,17514.59,17.28983
754,4.04690000000005,8203.41,8.09813
755,5.04690000000005,16447.3,16.23623
756,6.04690000000005,12729.33,12.56597
757,7.04690000000005,9578.44,9.45552
758,8.04690000000005,6983.08,6.89347
759,9.04690000000005,6392.44,6.31041
760,10.0469000000001,5686.56,5.61358
761,11.0469000000001,1988.67,1.96315
762,12.0469000000001,619.79,0.61183
763,13.0469000000001,606.49,0.59871
764,14.0469000000001,1662.63,1.64129
765,15.0469000000001,875.73,0.86449
766,16.0469000000001,1190.65,1.17537
767,17.0469000000001,1131.7,1.11717
768,18.0469000000001,1548.01,1.52814
769,19.0469000000001,1113.87,1.09958
770,20.0469000000001,2389.53,2.35886
771,21.0469000000001,6577.87,6.49346
772,22.0469000000001,5944.18,5.8679
773,23.0469000000001,924.52,0.91266
774,24.0469000000001,7992.32,7.88975
775,25.0469000000001,10471.87,10.33748
776,26.0469000000001,4727.57,4.6669
777,27.0469000000001,311.97,0.30797
778,28.0469000000001,1806.38,1.78319
779,29.0469000000001,1441.36,1.42286
780,30.0469000000001,3245.09,3.20344
781,31.0469000000001,5431.08,5.36139
782,32.0469000000001,537.54,0.53064
783,33.0469000000001,3349.33,3.30635
784,34.0469000000001,1941.15,1.91624
785,35.0469000000001,666.64,0.65808
786,36.0469000000001,284.02,0.28037
787,37.0469000000001,2508.76,2.47657
788,38.0469000000001,5294.02,5.22608
789,39.0469000000001,3182.7,3.14186
790,40.0469000000001,4224.97,4.17075
791,41.0469000000001,7488.15,7.39205
792,42.0469000000001,7453.76,7.35811
793,43.0469000000001,4000.81,3.94947
794,44.0469000000001,271.97,0.26848
795,45.0469000000001,1798.4,1.77532
796,46.0469000000001,4424.43,4.36765
797,47.0469000000001,5533.47,5.46246
798,48.0469000000001,1753.37,1.73087
799,49.0469000000001,3161.77,3.12119
800,50.0469000000001,4745.39,4.68449
801,51.0469000000001,3792.92,3.74424
802,52.0469000000001,2153.28,2.12565
803,53.0469000000001,519.22,0.51255
804,54.0469000000001,738.27,0.72879
805,55.0469000000001,1797.97,1.77489
806,56.0469000000001,3108.44,3.06855
807,57.0469000000001,2520.1,2.48776
808,58.0469000000001,1418.3,1.4001
809,59.0469000000001,1215.58,1.19998
810,60.0469000000001,2068.3,2.04176
811,61.0469000000001,1911.07,1.88654
812,62.0469000000001,2808.99,2.77294
813,63.0469000000001,2713.45,2.67863
814,64.0469000000001,1975.19,1.94984
815,65.0469000000001,1818.79,1.79545
816,66.0469000000001,2398.53,2.36775
817,67.0469000000001,2405.47,2.3746
818,68.0469000000001,2985.78,2.94747
819,69.0469000000001,2598.88,2.56553
820,70.0469000000001,1029.08,1.01588
821,71.0469000000001,1752.63,1.73014
822,72.0469000000001,2132.92,2.10555
823,73.0469000000001,2068.08,2.04154
824,74.0469000000001,2095.77,2.06887
825,75.0469000000001,1754.54,1.73202
826,76.0469000000001,541.97,0.53501
827,77.0469000000001,1005.1,0.9922
828,78.0469000000001,1183.44,1.16825
829,79.0469000000001,472.29,0.46623
830,80.0469000000001,1268.58,1.2523
831,81.0469000000001,1894.8,1.87048
832,82.0469000000001,1580.26,1.55998
833,83.0469000000001,624.95,0.61693
834,84.0469000000001,868.86,0.85771
835,85.0469000000001,271.91,0.26842
836,86.0469000000001,969.14,0.9567
837,87.0469000000001,1095.74,1.08168
838,88.0469000000001,1805.19,1.78202
839,89.0469000000001,996.54,0.98375
840,90.0469000000001,1299.95,1.28327
841,91.0469000000001,1098.21,1.08412
842,92.0469000000001,263.87,0.26048
843,93.0469000000001,755.38,0.74568
844,94.0469000000001,706.93,0.69786
845,95.0469000000001,958.47,0.94617
846,96.0469000000001,1335.01,1.31788
847,97.0469000000001,1249.74,1.23371
848,98.0469000000001,777.92,0.76794
