sample,taps_from_fp,amplitude,amplitude_norm
701,-50.0625,535.21,0.53682
702,-49.0625,259.42,0.2602
703,-48.0625,98.73,0.09903
704,-47.0625,189.23,0.1898
705,-46.0625,407.46,0.40869
706,-45.0625,616.85,0.61871
707,-44.0625,513.04,0.51458
708,-43.0625,185.08,0.18563
709,-42.0625,454.8,0.45617
710,-41.0625,297.93,0.29883
711,-40.0625,326.06,0.32704
712,-39.0625,790.41,0.79279
713,-38.0625,902.34,0.90505
714,-37.0625,675.33,0.67736
715,-36.0625,721.52,0.72369
716,-35.0625,487.65,0.48911
717,-34.0625,84.86,0.08512
718,-33.0625,116.73,0.11708
719,-32.0625,426.75,0.42803
720,-31.0625,646.58,0.64853
721,-30.0625,633.3,0.6352
722,-29.0625,254,0.25477
723,-28.0625,313.16,0.3141
724,-27.0625,469.14,0.47055
725,-26.0625,139.49,0.13991
726,-25.0625,534.18,0.53579
727,-24.0625,506.36,0.50788
728,-23.0625,213.59,0.21423
729,-22.0625,177.79,0.17832
730,-21.0625,609.06,0.6109
731,-20.0625,567.59,0.56929
732,-19.0625,418.01,0.41926
733,-18.0625,522.51,0.52408
734,-17.0625,220.74,0.2214
735,-16.0625,204.04,0.20465
736,-15.0625,359.19,0.36027
737,-14.0625,397.82,0.39901
738,-13.0625,353.14,0.3542
739,-12.0625,465.21,0.46661
740,-11.0625,545.5,0.54714
741,-10.0625,526.75,0.52833
742,-9.0625,190.52,0.19109
743,-8.0625,148.06,0.14851
744,-7.0625,332.85,0.33385
745,-6.0625,275.39,0.27622
746,-5.0625,428.44,0.42972
747,-4.0625,392.45,0.39363
748,-3.0625,168.57,0.16908
749,-2.0625,93.04,0.09332
750,-1.0625,1295.3,1.2992
751,-0.0625,8424.63,8.44998
752,0.9375,15980.02,16.0281
753,1.9375,17021.67,17.07289
754,2.9375,16480.73,16.53032
755,3.9375,15725.91,15.77323
756,4.9375,6455.45,6.47488
757,5.9375,5402.08,5.41833
758,6.9375,3717.55,3.72873
759,7.9375,2037.12,2.04325
760,8.9375,1514.61,1.51917
761,9.9375,1453.84,1.45822
762,10.9375,1955.8,1.96168
763,11.9375,2133.9,2.14032
764,12.9375,2174.38,2.18092
765,13.9375,967.73,0.97064
766,14.9375,1637.01,1.64193
767,15.9375,1227.94,1.23163
768,16.9375,420.09,0.42135
769,17.9375,3317.22,3.3272
770,18.9375,8761.12,8.78749
771,19.9375,9605.53,9.63443
772,20.9375,5218.05,5.23375
773,21.9375,5206.97,5.22263
774,22.9375,3585.93,3.59672
775,23.9375,3327.24,3.33726
776,24.9375,9262.39,9.29026
777,25.9375,7964.38,7.98834
778,26.9375,2371.03,2.37816
779,27.9375,7932.05,7.95592
780,28.9375,5863.96,5.88161
781,29.9375,890.51,0.89319
782,30.9375,384.98,0.38614
783,31.9375,3836.89,3.84844
784,32.9375,5890.16,5.90788
785,33.9375,3735.54,3.74678
786,34.9375,1580.31,1.58506
787,35.9375,1419.4,1.42367
788,36.9375,2981.94,2.99091
789,37.9375,1796.25,1.80165
790,38.9375,5873.77,5.89145
791,39.9375,7045.69,7.06689
792,40.9375,2451.77,2.45915
793,41.9375,3480.78,3.49125
794,42.9375,8325.64,8.35069
795,43.9375,5202.91,5.21856
796,44.9375,3389.27,3.39947
797,45.9375,6642.17,6.66215
798,46.9375,2776.78,2.78513
799,47.9375,2326.7,2.3337
800,48.9375,3792.32,3.80373
801,49.9375,4289.32,4.30223
802,50.9375,3335.39,3.34542
803,51.9375,1104.32,1.10764
804,52.9375,2037.19,2.04332
805,53.9375,2336.55,2.34358
806,54.9375,215.24,0.21589
807,55.9375,2895.63,2.90435
808,56.9375,3961.99,3.97391
809,57.9375,2517.79,2.52537
810,58.9375,4480.03,4.49351
811,59.9375,5417.35,5.43365
812,60.9375,3565.91,3.57664
813,61.9375,775.01,0.77734
814,62.9375,1230.04,1.23374
815,63.9375,1874.13,1.87976
816,64.9375,2146.76,2.15322
817,65.9375,2129.95,2.13636
818,66.9375,3029.84,3.03896
819,67.9375,5308.05,5.32403
820,68.9375,4228.08,4.2408
821,69.9375,1669.21,1.67423
822,70.9375,2480.37,2.48783
823,71.9375,1481.89,1.48635
824,72.9375,1089.17,1.09245
825,73.9375,905.46,0.90819
826,74.9375,766.36,0.76867
827,75.9375,487.35,0.48881
828,76.9375,1125.77,1.12915
829,77.9375,349.28,0.35034
830,78.9375,1185.91,1.18948
831,79.9375,717.46,0.71962
832,80.9375,988.87,0.99184
833,81.9375,1346.11,1.35016
834,82.9375,464.52,0.46592
835,83.9375,1902.17,1.90789
836,84.9375,1431.48,1.43579
837,85.9375,595.34,0.59713
838,86.9375,532.02,0.53363
839,87.9375,645.01,0.64695
840,88.9375,549.66,0.55131
841,89.9375,1321.63,1.32561
842,90.9375,2172.88,2.17942
843,91.9375,1720.45,1.72562
844,92.9375,479.83,0.48127
845,93.9375,453.75,0.45511
846,94.9375,596.23,0.59803
847,95.9375,1393.3,1.39749
848,96.9375,839.65,0.84218
849,97.9375,779.18,0.78152
850,98.9375,1386.83,1.391
