taps_from_fp,amplitude_norm_mean,amplitude_norm_sd,n_frames
-50,0.290658559820338,0.0947307144644203,295
-49.5,0.240878373877965,0.0849237923600819,295
-49,0.181735821518644,0.0580908399198914,295
-48.5,0.157442067908474,0.0462559304185336,295
-48,0.164447532250847,0.0686839392499275,295
-47.5,0.183063374305085,0.0820031069895316,295
-47,0.210515898349153,0.0866784598512102,295
-46.5,0.279375407159322,0.0923185970665483,295
-46,0.40951369222373,0.0954801508862984,295
-45.5,0.584884122196611,0.0986253307148807,295
-45,0.744564295227119,0.102015276421962,295
-44.5,0.798701813925423,0.101299352998412,295
-44,0.714070498993219,0.107994658659292,295
-43.5,0.521312249799998,0.0962073213630665,295
-43,0.334026008681356,0.0860695627266271,295
-42.5,0.262880336366102,0.0843013434620109,295
-42,0.276572123694916,0.0923025235058319,295
-41.5,0.26953313859661,0.0950149351889639,295
-41,0.215750807481356,0.0820875202423784,295
-40.5,0.18904976320339,0.0564047499323332,295
-40,0.242790992369493,0.0787164398846251,295
-39.5,0.361062620142374,0.103437441080763,295
-39,0.481713615966102,0.107692812153064,295
-38.5,0.546337167732204,0.104741996651998,295
-38,0.540821812183051,0.0975722679022532,295
-37.5,0.482077958166101,0.0911429112138808,295
-37,0.446502818132203,0.0975241394472841,295
-36.5,0.511170609138983,0.0971095833359902,295
-36,0.610355657518645,0.104199380260706,295
-35.5,0.61049890800339,0.10949147734469,295
-35,0.478166669318643,0.106938375117594,295
-34.5,0.293067878450847,0.081060719510784,295
-34,0.168872307759322,0.0463242225168427,295
-33.5,0.133639445867797,0.0345725565488215,295
-33,0.146084099247457,0.0380055997487484,295
-32.5,0.221783967837288,0.0660538617730891,295
-32,0.367679424562713,0.0945799115834504,295
-31.5,0.530763785461018,0.0998103029965148,295
-31,0.665168551762713,0.0968150337053194,295
-30.5,0.725375021128814,0.0989277170465168,295
-30,0.669596757081355,0.103697870787547,295
-29.5,0.525539245352542,0.0984228246557956,295
-29,0.389949171064407,0.0922137273864672,295
