FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
1,4548746758,746.6875,746,1040,-62.25,104,13,1352,748,18080,696,0.426982,1.5,150,02_lde_aligned\frame_0001_aligned.csv
2,10938655624,752.7187,752,1035,-62.2,104,13,1352,754,18058,702,0.5181768,1.5,150,02_lde_aligned\frame_0002_aligned.csv
3,17328365310,750.4375,750,1063,-62.65,96,13,1248,753,16803,700,0.629632,1.5,150,02_lde_aligned\frame_0003_aligned.csv
4,23718104188,748.1562,748,1093,-62.49,112,13,1456,750,17472,698,0.7165572,1.5,150,02_lde_aligned\frame_0004_aligned.csv
5,30108013050,746.75,746,1006,-62.34,104,13,1352,748,17575,696,0.8271417,1.5,150,02_lde_aligned\frame_0005_aligned.csv
6,36497722725,775.2969,775,1077,-62.23,112,13,1456,777,18596,725,0.9288979,1.5,150,02_lde_aligned\frame_0006_aligned.csv
7,42887461571,749.8906,749,1008,-62.82,88,13,1144,752,17244,699,1.0249898,1.5,150,02_lde_aligned\frame_0007_aligned.csv
8,49277370398,746.5625,746,1101,-62.6,112,13,1456,748,18817,696,1.1294607,1.5,150,02_lde_aligned\frame_0008_aligned.csv
9,55667080044,752.5312,752,1055,-62.48,104,13,1352,754,18367,702,1.2337671,1.5,150,02_lde_aligned\frame_0009_aligned.csv
10,62056818861,749.1719,749,1112,-62.06,112,13,1456,751,18307,699,1.3250049,1.5,150,02_lde_aligned\frame_0010_aligned.csv
11,68446727660,746.6562,746,1036,-62.42,104,13,1352,748,18081,696,1.42067,1.5,150,02_lde_aligned\frame_0011_aligned.csv
12,74836437281,750.7344,750,1057,-62.54,104,13,1352,752,17368,700,1.5167689,1.5,150,02_lde_aligned\frame_0012_aligned.csv
13,81226176081,747.6094,747,1025,-62.68,96,13,1248,750,17006,697,1.6300508,1.5,150,02_lde_aligned\frame_0013_aligned.csv
14,87616084864,752.0937,752,1043,-62.68,100,13,1300,754,17876,702,1.722012,1.5,150,02_lde_aligned\frame_0014_aligned.csv
15,94005794488,749.2187,749,991,-62.75,104,13,1352,751,17479,699,1.8172424,1.5,150,02_lde_aligned\frame_0015_aligned.csv
16,100395533284,745.7812,745,1004,-62.37,104,13,1352,747,17195,695,1.929582,1.5,150,02_lde_aligned\frame_0016_aligned.csv
17,106785442072,751.3437,751,1068,-62.82,112,13,1456,753,18474,701,2.0256801,1.5,150,02_lde_aligned\frame_0017_aligned.csv
18,113175151692,747.0312,747,1005,-62.32,96,13,1248,749,17086,697,2.1273667,1.5,150,02_lde_aligned\frame_0018_aligned.csv
19,119564890491,752.0156,752,1045,-62.83,104,13,1352,754,18125,702,2.2316683,1.5,150,02_lde_aligned\frame_0019_aligned.csv
20,125954799279,748.7031,748,975,-62.34,96,13,1248,750,16540,698,2.3261477,1.5,150,02_lde_aligned\frame_0020_aligned.csv
21,132344509394,746,746,1018,-62.42,104,13,1352,748,17491,696,2.4212989,1.5,150,02_lde_aligned\frame_0021_aligned.csv
22,138734247676,750.1562,750,1052,-62.31,104,13,1352,752,18256,700,2.5186937,1.5,150,02_lde_aligned\frame_0022_aligned.csv
23,145124156451,747.1406,747,996,-62.87,104,13,1352,749,17422,697,2.6211323,1.5,150,02_lde_aligned\frame_0023_aligned.csv
24,151513882956,752.0312,752,968,-62.37,104,13,1352,754,16623,702,2.718482,1.5,150,02_lde_aligned\frame_0024_aligned.csv
25,157903651960,748.5937,748,1052,-62.76,104,13,1352,751,17457,698,2.8148413,1.5,150,02_lde_aligned\frame_0025_aligned.csv
26,164293390745,753.1094,753,1060,-62.18,112,13,1456,754,17340,703,2.9245537,1.5,150,02_lde_aligned\frame_0026_aligned.csv
27,170683299518,749.8125,749,988,-62.51,112,13,1456,751,17092,699,3.0195459,1.5,150,02_lde_aligned\frame_0027_aligned.csv
28,177073009123,746.1406,746,1012,-62.8,104,13,1352,748,17731,696,3.129168,1.5,150,02_lde_aligned\frame_0028_aligned.csv
29,183462747915,751.0156,751,1012,-62.51,104,13,1352,753,17572,701,3.2256529,1.5,150,02_lde_aligned\frame_0029_aligned.csv
30,189852656695,747.2031,747,949,-62.56,96,13,1248,749,16488,697,3.3289106,1.5,150,02_lde_aligned\frame_0030_aligned.csv
31,196242366819,752.2656,752,1025,-62.81,108,13,1404,754,17923,702,3.4238228,1.5,150,02_lde_aligned\frame_0031_aligned.csv
32,202632105095,748.0781,748,1016,-62.27,108,13,1404,750,17163,698,3.521084,1.5,150,02_lde_aligned\frame_0032_aligned.csv
33,209021890990,752.5625,752,974,-62.3,100,13,1300,754,17310,702,3.6290195,1.5,150,02_lde_aligned\frame_0033_aligned.csv
34,215411799769,749.7344,749,1043,-62.42,108,13,1404,751,17917,699,3.7249323,1.5,150,02_lde_aligned\frame_0034_aligned.csv
35,221801509336,745.7187,745,1065,-62.77,104,13,1352,748,17713,695,3.8310491,1.5,150,02_lde_aligned\frame_0035_aligned.csv
36,228191248131,750.8906,750,989,-62.41,104,13,1352,753,16845,700,3.9180739,1.5,150,02_lde_aligned\frame_0036_aligned.csv
37,234581156904,746.7187,746,975,-62.36,100,13,1300,748,16624,696,4.0296357,1.5,150,02_lde_aligned\frame_0037_aligned.csv
38,240970867010,751.25,751,1059,-62.23,108,13,1404,753,18418,701,4.12572,1.5,150,02_lde_aligned\frame_0038_aligned.csv
39,247360605278,747.9375,747,991,-62.26,96,13,1248,749,16780,697,4.2211697,1.5,150,02_lde_aligned\frame_0039_aligned.csv
40,253750514029,752.1719,752,1044,-62.33,108,13,1404,754,18209,702,4.3280218,1.5,150,02_lde_aligned\frame_0040_aligned.csv
41,260140240527,748.8281,748,1001,-62.39,108,13,1404,750,17416,698,4.4232335,1.5,150,02_lde_aligned\frame_0041_aligned.csv
42,266530009509,753.1719,753,962,-62.64,96,13,1248,755,16534,703,4.5172186,1.5,150,02_lde_aligned\frame_0042_aligned.csv
43,272919748278,748.9375,748,1071,-62.37,116,13,1508,750,17904,698,4.6274815,1.5,150,02_lde_aligned\frame_0043_aligned.csv
44,279309657057,745.6094,745,1080,-62.64,104,13,1352,747,18271,695,4.7226741,1.5,150,02_lde_aligned\frame_0044_aligned.csv
45,285699367158,749.9375,749,1053,-62.3,112,13,1456,751,17486,699,4.818653,1.5,150,02_lde_aligned\frame_0045_aligned.csv
46,292089105427,746.6406,746,1017,-62.18,96,13,1248,748,17843,696,4.9304347,1.5,150,02_lde_aligned\frame_0046_aligned.csv
47,298479014211,750.7656,750,1039,-62.54,104,13,1352,752,17926,700,5.025679,1.5,150,02_lde_aligned\frame_0047_aligned.csv
48,304868740701,747.9219,747,988,-62.42,108,13,1404,750,17011,697,5.1220285,1.5,150,02_lde_aligned\frame_0048_aligned.csv
49,311258509703,752.2031,752,968,-62.65,96,13,1248,754,16762,702,5.2180715,1.5,150,02_lde_aligned\frame_0049_aligned.csv
