sample,taps_from_fp,amplitude,amplitude_norm
698,-50.7655999999999,270.72,0.27428
699,-49.7655999999999,230.87,0.23391
700,-48.7655999999999,63.51,0.06435
701,-47.7655999999999,241.51,0.24469
702,-46.7655999999999,276.09,0.27973
703,-45.7655999999999,462.56,0.46866
704,-44.7655999999999,762.99,0.77304
705,-43.7655999999999,593.62,0.60144
706,-42.7655999999999,303.43,0.30742
707,-41.7655999999999,439.83,0.44562
708,-40.7655999999999,303.91,0.30791
709,-39.7655999999999,262.83,0.2663
710,-38.7655999999999,531.42,0.53841
711,-37.7655999999999,568.95,0.57644
712,-36.7655999999999,521.02,0.52788
713,-35.7655999999999,742.23,0.75201
714,-34.7655999999999,435.18,0.44091
715,-33.7655999999999,84.88,0.08599
716,-32.7655999999999,62.94,0.06377
717,-31.7655999999999,471.01,0.47721
718,-30.7655999999999,670.54,0.67937
719,-29.7655999999999,611.9,0.61996
720,-28.7655999999999,318.45,0.32265
721,-27.7655999999999,52.4,0.05309
722,-26.7655999999999,218.82,0.2217
723,-25.7655999999999,314.09,0.31822
724,-24.7655999999999,469.04,0.47522
725,-23.7655999999999,331.85,0.33622
726,-22.7655999999999,154.35,0.15639
727,-21.7655999999999,489.95,0.4964
728,-20.7655999999999,631.1,0.63941
729,-19.7655999999999,430.15,0.43582
730,-18.7655999999999,434.76,0.44049
731,-17.7655999999999,299.47,0.30342
732,-16.7655999999999,109.84,0.11128
733,-15.7655999999999,326.11,0.3304
734,-14.7655999999999,401.63,0.40692
735,-13.7655999999999,435.36,0.4411
736,-12.7655999999999,433.34,0.43904
737,-11.7655999999999,465.99,0.47213
738,-10.7655999999999,280.4,0.28409
739,-9.76559999999995,206.65,0.20937
740,-8.76559999999995,27.66,0.02802
741,-7.76559999999995,164.2,0.16636
742,-6.76559999999995,285.3,0.28905
743,-5.76559999999995,104.75,0.10613
744,-4.76559999999995,428.82,0.43447
745,-3.76559999999995,283.65,0.28738
746,-2.76559999999995,118.93,0.12049
747,-1.76559999999995,224.9,0.22786
748,-0.765599999999949,2461.26,2.49368
749,0.234400000000051,10874.99,11.01823
750,1.23440000000005,16536.19,16.75399
751,2.23440000000005,15896.47,16.10585
752,3.23440000000005,13852.58,14.03504
753,4.23440000000005,15206.35,15.40663
754,5.23440000000005,9201.07,9.32226
755,6.23440000000005,3730.28,3.77942
756,7.23440000000005,3401.51,3.44631
757,8.23440000000005,909.06,0.92103
758,9.23440000000005,1980.58,2.00666
759,10.2344000000001,1683.02,1.70519
760,11.2344000000001,1374.57,1.39267
