sample,taps_from_fp,amplitude,amplitude_norm
702,-50.25,460.72,0.48702
703,-49.25,587.38,0.62091
704,-48.25,375.86,0.39731
705,-47.25,145.36,0.15366
706,-46.25,149.48,0.15802
707,-45.25,154.55,0.16337
708,-44.25,96.08,0.10157
709,-43.25,90.14,0.09528
710,-42.25,299.17,0.31625
711,-41.25,514.46,0.54383
712,-40.25,514.48,0.54385
713,-39.25,321.51,0.33986
714,-38.25,77.08,0.08148
715,-37.25,180.88,0.1912
716,-36.25,326.01,0.34462
717,-35.25,151.32,0.15996
718,-34.25,372.26,0.39351
719,-33.25,391.05,0.41337
720,-32.25,60.22,0.06365
721,-31.25,581.12,0.61429
722,-30.25,697.87,0.7377
723,-29.25,383.41,0.4053
724,-28.25,209.12,0.22106
725,-27.25,659.13,0.69675
726,-26.25,435.33,0.46018
727,-25.25,72.95,0.07711
728,-24.25,288.53,0.305
729,-23.25,507.21,0.53616
730,-22.25,428.32,0.45277
731,-21.25,358.75,0.37922
732,-20.25,216.91,0.22929
733,-19.25,206.71,0.21851
734,-18.25,382.51,0.40435
735,-17.25,604.22,0.63871
736,-16.25,420.39,0.44438
737,-15.25,96.21,0.1017
738,-14.25,11.18,0.01182
739,-13.25,233.55,0.24688
740,-12.25,299.74,0.31685
741,-11.25,149.89,0.15845
742,-10.25,8.49,0.00897
743,-9.25,391.87,0.41424
744,-8.25,601.84,0.63619
745,-7.25,326.01,0.34462
746,-6.25,31.05,0.03282
747,-5.25,111.8,0.11819
748,-4.25,206.86,0.21867
749,-3.25,119.92,0.12677
750,-2.25,97.49,0.10306
751,-1.25,705.15,0.7454
752,-0.25,6531.43,6.90426
753,0.75,16068.37,16.9856
754,1.75,17924.37,18.94753
755,2.75,17179.86,18.16053
756,3.75,10666.87,11.27577
757,4.75,16010.35,16.92426
758,5.75,4984.93,5.26949
759,6.75,13306.18,14.06573
760,7.75,8897.48,9.40537
761,8.75,5864.62,6.19938
762,9.75,7625.25,8.06051
763,10.75,2435.45,2.57447
764,11.75,1102.28,1.1652
765,12.75,371.13,0.39232
766,13.75,2302.29,2.43371
767,14.75,2799.45,2.95925
768,15.75,2333.93,2.46716
769,16.75,1367.84,1.44592
770,17.75,317.2,0.33531
771,18.75,657.32,0.69484
772,19.75,1132.02,1.19664
773,20.75,1456.57,1.53971
774,21.75,2296.72,2.42782
775,22.75,5290.63,5.59263
776,23.75,9049.79,9.56637
777,24.75,9018.86,9.53368
778,25.75,3622.76,3.82956
779,26.75,1243.54,1.31453
780,27.75,1752.54,1.85258
781,28.75,2078.58,2.19723
782,29.75,3708.63,3.92032
783,30.75,3615.98,3.82239
784,31.75,1266.28,1.33857
785,32.75,4382.31,4.63246
786,33.75,3811.33,4.02889
787,34.75,573.28,0.606
788,35.75,5740.35,6.06803
789,36.75,3531.31,3.73288
790,37.75,2983.75,3.15407
791,38.75,3043.21,3.21693
792,39.75,4009.94,4.23884
793,40.75,8157.45,8.6231
794,41.75,2735.29,2.89143
795,42.75,3503.96,3.70397
796,43.75,3250.09,3.43562
797,44.75,1051.13,1.11113
798,45.75,5468.24,5.78038
799,46.75,7546.59,7.97737
800,47.75,3770.36,3.98558
801,48.75,1553.73,1.64242
802,49.75,1114.45,1.17807
803,50.75,1151.81,1.21756
804,51.75,974.79,1.03043
805,52.75,1282.21,1.3554
806,53.75,1915.71,2.02507
807,54.75,409.02,0.43237
808,55.75,1819.86,1.92374
809,56.75,1480.54,1.56505
810,57.75,1610.31,1.70223
811,58.75,2126.02,2.24738
812,59.75,2777.79,2.93635
813,60.75,1426.2,1.50761
814,61.75,1169.05,1.23579
815,62.75,415.29,0.439
816,63.75,1169.17,1.23591
817,64.75,1217.86,1.28738
818,65.75,775.09,0.81934
819,66.75,1472.07,1.55609
820,67.75,1720.29,1.81849
821,68.75,385.05,0.40703
822,69.75,3083.42,3.25943
823,70.75,2072.47,2.19077
824,71.75,1373.48,1.45188
825,72.75,3199.29,3.38192
826,73.75,2270.91,2.40054
827,74.75,961.61,1.0165
828,75.75,895.63,0.94676
829,76.75,2303.43,2.43491
830,77.75,3080.21,3.25604
831,78.75,2286.06,2.41655
832,79.75,1117.94,1.18175
833,80.75,711.66,0.75228
834,81.75,1513.04,1.59941
835,82.75,1375.33,1.45383
836,83.75,1014.94,1.07288
837,84.75,362.33,0.38301
838,85.75,1244.99,1.31606
839,86.75,2746,2.90274
840,87.75,2822.84,2.98397
841,88.75,1974.44,2.08715
842,89.75,1029.23,1.08798
843,90.75,738.56,0.78072
844,91.75,1489.75,1.57479
845,92.75,549.15,0.58049
846,93.75,1396.43,1.47614
847,94.75,1923.41,2.0332
848,95.75,799.24,0.84487
849,96.75,221,0.23362
850,97.75,772.51,0.8166
851,98.75,1454.53,1.53756
