FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
1,2711962041,751.1094,751,904,-59.99,116,13,1508,753,17737,701,0.3973571,1,150,02_lde_aligned\frame_0001_aligned.csv
2,9101877477,747.1719,747,871,-59.61,112,13,1456,749,17114,697,0.4915417,1,150,02_lde_aligned\frame_0002_aligned.csv
3,15491670561,752.3594,752,877,-59.68,132,13,1716,754,17051,702,0.5870228,1,150,02_lde_aligned\frame_0003_aligned.csv
4,21881387334,748.6875,748,923,-59.41,120,13,1560,750,17709,698,0.6970718,1,150,02_lde_aligned\frame_0004_aligned.csv
5,28271132765,745.4219,745,885,-59.74,120,13,1560,747,17202,695,0.7919528,1,150,02_lde_aligned\frame_0005_aligned.csv
6,34661048155,749.0156,749,864,-59.49,112,13,1456,751,16896,699,0.8872215,1,150,02_lde_aligned\frame_0006_aligned.csv
7,41050841142,752.6875,752,1022,-60.88,140,13,1820,755,18894,702,0.9983836,1,150,02_lde_aligned\frame_0007_aligned.csv
8,47440557809,748.3594,748,914,-60.51,132,13,1716,750,17360,698,1.0947711,1,150,02_lde_aligned\frame_0008_aligned.csv
9,53830303116,750.0312,750,946,-60.31,124,13,1612,752,18222,700,1.1895649,1,150,02_lde_aligned\frame_0009_aligned.csv
10,60220218390,752.1875,752,870,-59.81,108,13,1404,754,16691,702,1.2843962,1,150,02_lde_aligned\frame_0010_aligned.csv
11,66610011256,746.2187,746,1076,-60.98,148,13,1924,749,18951,696,1.3961699,1,150,02_lde_aligned\frame_0011_aligned.csv
12,72999727807,747.3281,747,859,-59.46,112,13,1456,749,16731,697,1.4915107,1,150,02_lde_aligned\frame_0012_aligned.csv
13,79389473006,748.0625,748,870,-59.48,128,13,1664,750,17057,698,1.5873622,1,150,02_lde_aligned\frame_0013_aligned.csv
14,85779388670,747.9375,747,881,-59.46,120,13,1560,750,17362,697,1.6975531,1,150,02_lde_aligned\frame_0014_aligned.csv
15,92169105139,747.8906,747,1028,-61.08,128,13,1664,750,17918,697,1.7945556,1,150,02_lde_aligned\frame_0015_aligned.csv
16,98558897363,747.2656,747,871,-59.61,108,13,1404,749,17006,697,1.8880096,1,150,02_lde_aligned\frame_0016_aligned.csv
