taps_from_fp,offset_m,amplitude_norm_diff,amplitude_norm_diff_pos,background_mean,phase2_mean,n_background,n_phase2
-50,NaN,-0.0103840005319534,0,0.436818106915789,0.426434106383836,95,99
-49.5,NaN,-0.00651279313056996,0,0.504782161231579,0.498269368101009,95,99
-49,NaN,-0.0117097056889922,0,0.490796696052631,0.479086990363639,95,99
-48.5,NaN,-0.0038162908221126,0,0.368623384347369,0.364807093525256,95,99
-48,NaN,-0.000270667555871573,0,0.235554502757895,0.235283835202023,95,99
-47.5,NaN,-0.00594882394534627,0,0.162440182147368,0.156491358202022,95,99
-47,NaN,-0.00709380139574772,0,0.136977780294738,0.12988397889899,95,99
-46.5,NaN,-0.00980664822870822,0,0.136427001410526,0.126620353181818,95,99
-46,NaN,-0.00530777353099432,0,0.141536093642105,0.136228320111111,95,99
-45.5,NaN,0.000523486303986631,0.000523486303986631,0.155095018726316,0.155618505030302,95,99
-45,NaN,0.00155534854375294,0.00155534854375294,0.165642965042105,0.167198313585858,95,99
-44.5,NaN,0.00633871709941494,0.00633871709941494,0.161333852789474,0.167672569888889,95,99
-44,NaN,0.0103243487434339,0.0103243487434339,0.162498525600001,0.172822874343435,95,99
-43.5,NaN,0.00899161585295027,0.00899161585295027,0.187969477389474,0.196961093242424,95,99
-43,NaN,0.00759984320680385,0.00759984320680385,0.222984745631579,0.230584588838383,95,99
-42.5,NaN,0.00242851436459141,0.00242851436459141,0.265427801726316,0.267856316090907,95,99
-42,NaN,0.00280367312971452,0.00280367312971452,0.339062562789474,0.341866235919189,95,99
-41.5,NaN,-0.00245384433461315,0,0.459759237031579,0.457305392696966,95,99
-41,NaN,-0.0134869521511973,0,0.559616640242105,0.546129688090907,95,99
-40.5,NaN,-0.0227278832990967,0,0.584356994652632,0.561629111353536,95,99
-40,NaN,-0.0354210737741609,0,0.570415319410526,0.534994245636365,95,99
-39.5,NaN,-0.0326359599320565,0,0.542429770568421,0.509793810636365,95,99
-39,NaN,-0.0154055123863883,0,0.490874797063158,0.475469284676769,95,99
-38.5,NaN,0.0105392831498179,0.0105392831498179,0.388225955042104,0.398765238191922,95,99
-38,NaN,0.0158101747420555,0.0158101747420555,0.275999256884211,0.291809431626266,95,99
-37.5,NaN,-0.00887991355885018,0,0.218569368831579,0.209689455272729,95,99
-37,NaN,-0.0216030075123875,0,0.225894507431578,0.204291499919191,95,99
-36.5,NaN,-0.0223842337424779,0,0.245930467126316,0.223546233383838,95,99
-36,NaN,-0.0246317342974994,0,0.219084382863158,0.194452648565658,95,99
-35.5,NaN,-0.0147894509580004,0,0.180271775210526,0.165482324252525,95,99
-35,NaN,0.00490886130440979,0.00490886130440979,0.19425112271579,0.199159984020199,95,99
-34.5,NaN,0.00964480913641508,0.00964480913641508,0.264208376873684,0.273853186010099,95,99
-34,NaN,0.00787587809856394,0.00787587809856394,0.327957148810526,0.33583302690909,95,99
-33.5,NaN,0.00685703241509866,0.00685703241509866,0.344125404726316,0.350982437141414,95,99
-33,NaN,-0.00775747476693206,0,0.30654386123158,0.298786386464648,95,99
-32.5,NaN,-0.0141094540908033,0,0.26011779474737,0.246008340656566,95,99
-32,NaN,-0.00510629108230215,0,0.337177293536843,0.332071002454541,95,99
-31.5,NaN,-0.00354761921744473,0,0.561823684631579,0.558276065414134,95,99
-31,NaN,0.0167953141573607,0.0167953141573607,0.736686086105262,0.753481400262623,95,99
-30.5,NaN,0.0498898344874011,0.0498898344874011,0.734056826936842,0.783946661424243,95,99
-30,NaN,0.0340261544051069,0.0340261544051069,0.630818412473686,0.664844566878793,95,99
-29.5,NaN,-0.00368081136211862,0,0.537499472816668,0.533818661454549,95,99
-29,NaN,-0.0251472307150139,0,0.45837604563421,0.433228814919196,95,99
-28.5,NaN,-0.0259596317031535,0,0.339208046470832,0.313248414767679,95,99
-28,NaN,0.00228545500186311,0.00228545500186311,0.314575816917324,0.316861271919188,95,99
-27.5,NaN,0.0127144821240416,0.0127144821240416,0.449327760005921,0.462042242129962,95,99
-27,NaN,0.00275457518519207,0.00275457518519207,0.524602868305044,0.527357443490236,95,99
-26.5,NaN,0.00722692818658416,0.00722692818658416,0.461053543583115,0.468280471769699,95,99
-26,NaN,0.00576355222550856,0.00576355222550856,0.371845781682237,0.377609333907746,95,99
-25.5,NaN,0.011250630639765,0.011250630639765,0.298763036991886,0.310013667631651,95,99
-25,NaN,0.0143258917150551,0.0143258917150551,0.240284145691008,0.254610037406063,95,99
-24.5,NaN,-0.00649280464360907,0,0.211191879521051,0.204699074877442,95,99
-24,NaN,6.99321288825661e-05,6.99321288825661e-05,0.234821998401754,0.234891930530637,95,99
-23.5,NaN,0.0230739094139963,0.0230739094139963,0.294216399537517,0.317290308951514,95,99
-23,NaN,0.0249749294472657,0.0249749294472657,0.327203718137246,0.352178647584512,95,99
-22.5,NaN,0.00902903896176582,0.00902903896176582,0.32935506032645,0.338384099288216,95,99
-22,NaN,-0.0159165359417054,0,0.325024302610393,0.309107766668687,95,99
-21.5,NaN,-0.0229810261129044,0,0.348470392020648,0.325489365907744,95,99
-21,NaN,-0.0140834859325875,0,0.383835559230904,0.369752073298316,95,99
-20.5,NaN,-0.00874412073079234,0,0.351465203409581,0.342721082678789,95,99
-20,NaN,-0.0168155868427686,0,0.27909113210405,0.262275545261281,95,99
-19.5,NaN,-0.0350542500223689,0,0.255826658472201,0.220772408449832,95,99
-19,NaN,-0.0446455412282293,0,0.28624797024035,0.241602429012121,95,99
-18.5,NaN,-0.0575395335739099,0,0.332609207219027,0.275069673645117,95,99
-18,NaN,-0.0651470923698849,0,0.383224254092442,0.318077161722557,95,99
-17.5,NaN,-0.0581997275176928,0,0.448861759923751,0.390662032406058,95,99
-17,NaN,-0.0515060662490171,0,0.481939163197165,0.430433096948148,95,99
-16.5,NaN,-0.0481586389580144,0,0.430230445417949,0.382071806459935,95,99
-16,NaN,-0.0611337369175174,0,0.336515430838732,0.275381693921215,95,99
-15.5,NaN,-0.0696133505240163,0,0.254117273522672,0.184503922998656,95,99
-15,NaN,-0.0706513712763972,0,0.219526752817139,0.148875381540742,95,99
-14.5,NaN,-0.0803506872447268,0,0.220857888206343,0.140507200961616,95,99
-14,NaN,-0.0847923161730766,0,0.221984313606073,0.137191997432997,95,99
-13.5,NaN,-0.0905844764725055,0,0.234625551690013,0.144041075217508,95,99
-13,NaN,-0.096315907620951,0,0.255781342037112,0.159465434416161,95,99
-12.5,NaN,-0.0974369849290979,0,0.266741204836842,0.169304219907744,95,99
-12,NaN,-0.0987800098169376,0,0.263005956983941,0.164225947167003,95,99
-11.5,NaN,-0.093259777048051,0,0.251098934585425,0.157839157537374,95,99
-11,NaN,-0.0924776577699148,0,0.251067046041296,0.158589388271381,95,99
-10.5,NaN,-0.0977080028819985,0,0.268186632655061,0.170478629773063,95,99
-10,NaN,-0.0910035553067854,0,0.304325331258299,0.213321775951514,95,99
-9.5,NaN,-0.0837740136103608,0,0.390558360861538,0.306784347251178,95,99
-9,NaN,-0.0743412823214861,0,0.51379080980162,0.439449527480134,95,99
-8.5,NaN,-0.0739954307088463,0,0.628396991478543,0.554401560769696,95,99
-8,NaN,-0.0944025118721975,0,0.660059451911255,0.565656940039058,95,99
-7.5,NaN,-0.114277412377154,0,0.563632544998703,0.44935513262155,95,99
-7,NaN,-0.133032100009173,0,0.42721931898089,0.294187218971718,95,99
-6.5,NaN,-0.132614518806954,0,0.331393351815709,0.198778833008755,95,99
-6,NaN,-0.123292425492936,0,0.292674645787368,0.169382220294432,95,99
-5.5,NaN,-0.12914188549192,0,0.285881548832712,0.156739663340793,95,99
-5,NaN,-0.135511271301854,0,0.287692346699109,0.152181075397255,95,99
-4.5,NaN,-0.138842595530822,0,0.302233106186559,0.163390510655737,95,99
-4,NaN,-0.139109134459736,0,0.310078951747693,0.170969817287957,95,99
-3.5,NaN,-0.128352961873498,0,0.305684354308826,0.177331392435328,95,99
-3,NaN,-0.1189421029622,0,0.326183941524697,0.207241838562497,95,99
-2.5,NaN,-0.121033650758419,0,0.40136347580162,0.280329825043201,95,99
-2,NaN,-0.121595855268834,0,0.54344339100486,0.421847535736026,95,99
-1.5,NaN,-0.138853840314924,0,0.911973974965995,0.773120134651071,95,99
-1,NaN,-0.108753855804525,0,2.15688222865346,2.04812837284894,95,99
-0.5,NaN,-0.253362848854456,0,5.25220650570935,4.99884365685489,95,99
0,NaN,-0.20174320543847,0,9.64182290773365,9.44007970229518,95,99
0.5,NaN,-0.186601394426487,0,14.2481835447579,14.0615821503314,95,99
1,NaN,-0.327145203852549,0,17.3999983526243,17.0728531487718,95,99
1.5,NaN,-0.266206030907121,0,18.576588549796,18.3103825188888,95,99
2,NaN,-0.285820157442302,0,18.8489495038624,18.5631293464201,95,99
2.5,0.284087143144494,-0.218373287508587,0,18.1172998756316,17.898926588123,95,99
3,0.415550261219988,-0.340620337272618,0,16.1234753141895,15.7828549769168,95,99
3.5,0.525289961925792,-0.363727776767997,0,13.5125901973473,13.1488624205794,95,99
4,0.624858446690128,-0.0714632413764651,0,13.0924401910526,13.0209769496762,95,99
4.5,0.718496779742262,-0.0619764047784788,0,14.9810899654,14.9191135606215,95,99
5,0.80826862886048,-0.273728272062932,0,14.4931151825895,14.2193869105265,95,99
5.5,0.895337779890919,0.0374336443807941,0.0374336443807941,9.88282379550522,9.92025743988602,95,99
6,0.980424557831963,0.408949164550824,0.408949164550824,7.29026452344212,7.69921368799294,95,99
6.5,1.06400465078871,0.0459651007628192,0.0459651007628192,10.3245936778421,10.370558778605,95,99
7,1.14640764564792,-0.232323938340315,0,12.8976352723895,12.6653113340492,95,99
7.5,1.22787055217559,0.0429481930843227,0.0429481930843227,10.7134640965473,10.7564122896317,95,99
8,1.30856895332267,0.00332961347244698,0.00332961347244698,6.97546050535788,6.97879011883033,95,99
8.5,1.38863613956284,-0.285989456794748,0,5.59836112213684,5.31237166534209,95,99
9,1.46817538475483,-0.163606293328822,0,6.62913207002106,6.46552577669224,95,99
9.5,1.54726810944322,0.0082691081662869,0.0082691081662869,7.47439619368421,7.4826653018505,95,99
10,1.62597947539322,-0.0854206021923796,0,6.50467777297894,6.41925717078656,95,99
10.5,1.70436231949078,-0.0735752897873221,0,4.31719737362105,4.24362208383372,95,99
11,1.78245998204728,0.000915556627357539,0.000915556627357539,2.54716839027368,2.54808394690104,95,99
11.5,1.86030838005423,-0.0124907879645326,0,1.62225389158947,1.60976310362494,95,99
12,1.93793755317348,-0.00913813117833395,0,1.00465694154737,0.995518810369036,95,99
12.5,2.01537283421703,-0.0418218378307208,0,0.699235038610524,0.657413200779803,95,99
13,2.09263574747255,-0.0105789637903118,0,0.944632630526318,0.934053666736006,95,99
13.5,2.16974470666482,-0.0200363128260062,0,1.78613799232632,1.76610167950031,95,99
14,2.24671556330569,-0.0238725933080399,0,2.52392293767368,2.50005034436564,95,99
14.5,2.32356204188741,0.0182170534323518,0.0182170534323518,2.80598312151579,2.82420017494814,95,99
15,2.40029608848575,0.010497291249735,0.010497291249735,2.76477021845263,2.77526750970236,95,99
15.5,2.47692815238957,0.0111039260357364,0.0111039260357364,2.47074255391579,2.48184647995152,95,99
16,2.55346741541771,-0.0102447438082423,0,2.07719307122105,2.06694832741281,95,99
