taps_from_fp,amplitude_norm_diff,background_mean,phase2_mean,n_background,n_phase2
-50,-0.0296196959411613,0.312363314587627,0.282743618646465,97,99
-49.5,-0.0608956870376997,0.376566848865981,0.315671161828281,97,99
-49,-0.0245340482249312,0.332146731134021,0.307612682909089,97,99
-48.5,0.0290116677815295,0.239472876814432,0.268484544595961,97,99
-48,0.0769703998377609,0.164682365030928,0.241652764868689,97,99
-47.5,0.0899181016426094,0.169328736690724,0.259246838333333,97,99
-47,0.0399218740669549,0.306924409185571,0.346846283252526,97,99
-46.5,-0.0173517826102292,0.458212430206188,0.440860647595959,97,99
-46,-0.0296312793798839,0.520510124804125,0.490878845424241,97,99
-45.5,0.00582491704988147,0.496550244030926,0.502375161080808,97,99
-45,0.0493539079568897,0.43804526713402,0.487399175090909,97,99
-44.5,0.0492092222339894,0.443608836917526,0.492818059151515,97,99
-44,-0.00335173360783037,0.536016161587629,0.532664427979799,97,99
-43.5,-0.0534213361735913,0.605654355092785,0.552233018919193,97,99
-43,-0.0552647862977184,0.554590063237113,0.499325276939394,97,99
-42.5,-0.0396726291952501,0.425366715164946,0.385694085969696,97,99
-42,-0.0113040114814102,0.269656689329894,0.258352677848484,97,99
-41.5,0.0155892846236615,0.185018651628865,0.200607936252527,97,99
-41,0.0157729633708224,0.217732915144331,0.233505878515153,97,99
-40.5,0.0154511875859644,0.257587473494844,0.273038661080809,97,99
-40,0.0245019169223183,0.25182238784536,0.276324304767678,97,99
-39.5,0.0241015510295731,0.236666828536082,0.260768379565655,97,99
-39,-0.00553134562366214,0.256694170371134,0.251162824747472,97,99
-38.5,-0.0409924676147069,0.305221562927836,0.264229095313129,97,99
-38,-0.0723418522031692,0.370978757556703,0.298636905353534,97,99
-37.5,-0.0896965879074242,0.409124564917526,0.319427977010101,97,99
-37,-0.0656901247625713,0.371443827247421,0.30575370248485,97,99
-36.5,-0.0285537125128593,0.295894875886597,0.267341163373738,97,99
-36,0.00433284338904594,0.204683852742267,0.209016696131313,97,99
-35.5,0.0248882776388638,0.141010914876288,0.165899192515152,97,99
-35,0.03780534903249,0.126644914391753,0.164450263424243,97,99
-34.5,0.0481283445444138,0.140259465051547,0.188387809595961,97,99
-34,0.0487303351254825,0.17669511228866,0.225425447414142,97,99
-33.5,0.0438231957211277,0.203194172804124,0.247017368525252,97,99
-33,0.0262288377142531,0.208824093144331,0.235052930858584,97,99
-32.5,0.0136928387248789,0.201892676618556,0.215585515343434,97,99
-32,0.022390036678123,0.216145465432987,0.23853550211111,97,99
-31.5,0.0418479724822435,0.294766129628868,0.336614102111111,97,99
-31,0.0343447339297078,0.434950315979384,0.469295049909092,97,99
-30.5,0.0224984147351863,0.510913075608249,0.533411490343435,97,99
-30,0.0501897100816435,0.446803473958762,0.496993184040405,97,99
-29.5,0.0868331737034299,0.34685917168041,0.43369234538384,97,99
-29,0.141983867145584,0.277352147793813,0.419336014939397,97,99
-28.5,0.207295946056022,0.272161576226805,0.479457522282827,97,99
-28,0.232798832251479,0.357866572051549,0.590665404303027,97,99
-27.5,0.173970307791207,0.478720789835055,0.652691097626261,97,99
-27,0.00974617887909923,0.568518260484539,0.578264439363638,97,99
-26.5,-0.11987227017609,0.559483594216494,0.439611324040404,97,99
-26,-0.0938232519646992,0.411206717752575,0.317383465787876,97,99
-25.5,-0.0225526330493578,0.268693475443296,0.246140842393938,97,99
-25,-0.0427963048185967,0.272888116020618,0.230091811202021,97,99
-24.5,-0.0950018939486611,0.328862585958763,0.233860692010102,97,99
-24,-0.0785360867429969,0.322577460278351,0.244041373535354,97,99
-23.5,-0.042704571492351,0.314189992371136,0.271485420878785,97,99
-23,-0.0560854695206746,0.387873433773198,0.331787964252524,97,99
-22.5,-0.0808887572342982,0.447851964597937,0.366963207363638,97,99
-22,-0.0489008691277683,0.384540911824739,0.335640042696971,97,99
-21.5,-0.00461498852410575,0.300597384443297,0.295982395919191,97,99
-21,-0.010736169505885,0.302130376041237,0.291394206535352,97,99
-20.5,-0.019682128734773,0.334401611371135,0.314719482636362,97,99
-20,-0.0151509219257539,0.351908571824744,0.33675764989899,97,99
-19.5,-0.0136103085446221,0.354824930958764,0.341214622414142,97,99
-19,0.008595730512445,0.31743325413402,0.326028984646465,97,99
-18.5,0.0230901375470186,0.259046497422679,0.282136634969698,97,99
-18,-0.00992151111819006,0.236268921350514,0.226347410232324,97,99
-17.5,-0.055383546781527,0.254067977185568,0.198684430404041,97,99
-17,-0.0550245818899321,0.258529320051547,0.203504738161615,97,99
-16.5,-0.0227865726156397,0.230593882474226,0.207807309858586,97,99
-16,0.00354747473789621,0.201351551474226,0.204899026212122,97,99
-15.5,0.0255666998170387,0.1843082475567,0.209874947373739,97,99
-15,0.0512939809300227,0.177379124463918,0.228673105393941,97,99
-14.5,0.0695011422414828,0.204434369546395,0.273935511787878,97,99
-14,0.0631128784642264,0.288407464020622,0.351520342484848,97,99
-13.5,0.0598846190695611,0.346034141556701,0.405918760626262,97,99
-13,0.0719007820844539,0.308401521319586,0.38030230340404,97,99
-12.5,0.0644920732257647,0.240823527824741,0.305315601050506,97,99
-12,0.02657670942945,0.213156836742267,0.239733546171717,97,99
-11.5,-0.00785598537873688,0.234111204247423,0.226255218868686,97,99
-11,-0.0113032116622938,0.258980536783506,0.247677325121212,97,99
-10.5,-0.00282569721066225,0.236413742927833,0.233588045717171,97,99
-10,-0.00380548612537632,0.182416565206184,0.178611079080808,97,99
-9.5,-0.01410852777986,0.168881007103093,0.154772479323233,97,99
-9,-0.0428548235044265,0.233191770969073,0.190336947464647,97,99
-8.5,-0.0645255179483509,0.2983194564433,0.233793938494949,97,99
