taps_from_fp,amplitude_norm_mean,amplitude_norm_sd,n_frames
-50,0.48122806124468,0.122252510168003,94
-49.5,0.415286346787232,0.112272396838606,94
-49,0.288231114031914,0.0712276919309071,94
-48.5,0.217718373542553,0.0659464147095039,94
-48,0.267141511500001,0.0930752990132086,94
-47.5,0.339444649202129,0.113620066259516,94
-47,0.310679851521275,0.104435354455065,94
-46.5,0.226271868180849,0.0751736677694442,94
-46,0.202848670063829,0.0552320723603454,94
-45.5,0.267590146425532,0.0840219677593226,94
-45,0.381510234287235,0.10289459818592,94
-44.5,0.480868415287236,0.105811924130198,94
-44,0.527228132244681,0.109966419820249,94
-43.5,0.527921733010638,0.112277693389467,94
-43,0.477554896499999,0.111961228742368,94
-42.5,0.38155500855319,0.101928424801783,94
-42,0.275893083670213,0.0743288245319885,94
-41.5,0.207922772904256,0.0706367845930184,94
-41,0.210633665436172,0.0798876924321982,94
-40.5,0.246299315063831,0.0870338629723051,94
-40,0.264047011978722,0.0883671792188257,94
-39.5,0.274495397063829,0.0936763547481471,94
-39,0.305985434648936,0.09673588360684,94
-38.5,0.348864614989362,0.1002303726379,94
-38,0.363448567255319,0.100364347596959,94
-37.5,0.335830447734042,0.10056765982105,94
-37,0.270033711223403,0.0924949786455564,94
-36.5,0.205502524329785,0.0867972881328266,94
-36,0.19536968824468,0.0781990996014878,94
-35.5,0.213976207457447,0.0788066774219223,94
-35,0.216010289787235,0.075741011176257,94
-34.5,0.207728587542554,0.0753383582943971,94
-34,0.244060016627662,0.0859327701711489,94
-33.5,0.317290583914896,0.107532929510011,94
-33,0.328088001585107,0.103313732667284,94
-32.5,0.271307875127659,0.0885356504092046,94
-32,0.2623775818617,0.0648839382400582,94
-31.5,0.335348061457446,0.0862018322517924,94
-31,0.382799958872341,0.101675479675538,94
-30.5,0.356170789553191,0.0949023627331751,94
-30,0.324135559478723,0.0831109953093634,94
-29.5,0.332443742765958,0.0824401523753381,94
-29,0.380062338478724,0.0786762289381928,94
-28.5,0.433940254074659,0.0829082110561463,94
-28,0.448465230534778,0.093018486303847,94
-27.5,0.433189417228997,0.101103112832568,94
-27,19.6953957278722,186.967990223905,94
-26.5,42.5124915486114,408.552326990146,94
-26,44.4527433985929,427.583592852988,94
-25.5,42.5779829539597,409.114086330389,94
-25,40.7061779046669,390.644272991514,94
-24.5,38.7751667158422,372.180628414438,94
-24,36.785180076209,353.723129678325,94
-23.5,34.7964077929801,335.265507986745,94
-23,32.8739372316447,316.800976119387,94
-22.5,30.9985719998094,298.33153546664,94
-22,29.12907985224,279.861481737471,94
-21.5,27.2532615594776,261.392085739024,94
-21,25.3635485592837,242.924137590578,94
-20.5,23.4438515991018,224.459317404787,94
-20,21.4793435185689,205.999161316169,94
-19.5,19.5366177565041,187.536740601851,94
-19,17.6945867252052,169.063827399431,94
-18.5,15.8958118731511,150.586407477503,94
-18,14.0264195715543,132.116350030961,94
-17.5,12.0665450248831,113.655719000786,94
-17,10.0698021292545,95.1989254862212,94
-16.5,8.10036471725351,76.7393014298495,94
-16,6.18273290082699,58.2743014794987,94
-15.5,4.28073027980473,39.8076806004002,94
-15,2.37188469492077,21.341810295937,94
-14.5,0.473516435143188,2.87653813028925,94
-14,0.215879367427159,0.117507911124723,94
-13.5,0.281391871670854,0.120140064496801,94
-13,0.365126875031572,0.117588782170965,94
-12.5,0.451421162094417,0.120628554656545,94
-12,0.497881532572153,0.122656677369523,94
-11.5,0.475275172645636,0.126533427522777,94
-11,0.364460123708479,0.125222828993704,94
-10.5,0.23878189898409,0.116929741948177,94
-10,0.195898561068213,0.119360987052192,94
-9.5,0.198785667918292,0.127751838570224,94
-9,0.182987477781372,0.125660237164731,94
-8.5,0.162651051107811,0.118890389242959,94
-8,0.176575528285315,0.116540357825718,94
-7.5,0.221838512867072,0.13030167423275,94
-7,0.268047552363722,0.140117406538168,94
-6.5,0.28293382537101,0.145005804188336,94
-6,0.24623294486766,0.14019994034763,94
-5.5,0.197886979864311,0.133653510962533,94
-5,0.175978827158835,0.133292542161731,94
-4.5,0.17235647670655,0.14173751205891,94
-4,0.171633950660649,0.143161432035954,94
-3.5,0.164759997433895,0.13922132642614,94
-3,0.168184798696504,0.136503903298662,94
-2.5,0.198275649363368,0.138787277654216,94
-2,0.341863153657894,0.14178061783108,94
-1.5,0.740048576484337,0.183080737241975,94
-1,2.1526578252253,0.347994427807575,94
-0.5,4.97986044015618,0.788541493735865,94
0,9.4053962640445,1.29399004534095,94
0.5,14.0600591885817,1.97932539018402,94
1,16.9106484265232,2.39390780743736,94
1.5,18.1095517710817,2.73995050462656,94
2,18.3343376639886,2.98329857312797,94
2.5,17.9523918410471,2.9080553690604,94
3,16.0305010909672,2.58597094392945,94
3.5,13.1544234872634,2.26089317452588,94
4,12.7642041167723,2.20451202916741,94
4.5,14.9780453998982,2.43837837672251,94
5,16.0434258265366,2.60014583852017,94
5.5,14.2585522333578,2.38149118487883,94
6,9.97720333757264,1.972604040927,94
6.5,6.42014723400032,2.23167202201873,94
7,6.77832936135351,1.78167447036379,94
7.5,7.89571805915345,1.82471424551214,94
8,9.07678308332522,26.4674596598136,94
8.5,12.2981706319656,75.5384768616715,94
9,15.0933274881289,97.1513849420676,94
9.5,16.1896395867759,94.6650468072618,94
10,15.561555306617,92.3539215520306,94
10.5,13.5856257530937,90.1838994824127,94
11,11.5997961161556,88.0163070014445,94
11.5,10.3339365986217,85.7738612467166,94
12,10.0655030685028,83.4264266374663,94
12.5,10.2721394148093,81.029625554516,94
13,10.6750580174669,78.6131940176907,94
13.5,11.0923781613161,76.1965850367165,94
14,10.9503258791864,73.837626855718,94
14.5,10.1400939685781,71.5475772547316,94
15,8.97833590931016,69.2935075198563,94
15.5,8.06961332667913,67.0143452531175,94
16,7.84695699728872,64.6641957553638,94
16.5,7.82413223467297,62.2929671164423,94
17,7.44585011053594,59.9580410672073,94
17.5,6.94936497104785,57.6351762015324,94
18,6.9291215124321,55.263020503468,94
18.5,7.35862441012486,52.8450791092066,94
19,8.11570754700911,50.3929085965313,94
19.5,9.17125594785214,47.9093013441382,94
20,10.4345115035502,45.4032789544064,94
20.5,11.556113318993,42.9123781256781,94
21,11.7648307322442,40.5189012448214,94
21.5,10.8692021852082,38.239641820694,94
22,9.01219547427863,36.0604969410826,94
