sample,taps_from_fp,amplitude,amplitude_norm
701,-50.5937,278.51,0.26857
702,-49.5937,197.73,0.19067
703,-48.5937,173.12,0.16694
704,-47.5937,249.1,0.24021
705,-46.5937,281.58,0.27154
706,-45.5937,184.1,0.17753
707,-44.5937,198,0.19094
708,-43.5937,278.09,0.26817
709,-42.5937,285.57,0.27539
710,-41.5937,235.21,0.22682
711,-40.5937,193.66,0.18675
712,-39.5937,56.09,0.05409
713,-38.5937,84.01,0.08101
714,-37.5937,191.51,0.18468
715,-36.5937,221.82,0.2139
716,-35.5937,152.59,0.14715
717,-34.5937,111.62,0.10763
718,-33.5937,66.75,0.06437
719,-32.5937,166.48,0.16054
720,-31.5937,515.4,0.49701
721,-30.5937,669.28,0.6454
722,-29.5937,642.96,0.62002
723,-28.5937,621.7,0.59952
744,-7.59370000000001,24.21,0.02334
745,-6.59370000000001,28.46,0.02745
746,-5.59370000000001,48.33,0.04661
747,-4.59370000000001,110.45,0.10651
748,-3.59370000000001,97.95,0.09445
749,-2.59370000000001,161.77,0.156
750,-1.59370000000001,495.82,0.47812
751,-0.593700000000013,4437.28,4.27896
752,0.406299999999987,14151.14,13.64623
753,1.40629999999999,19118.75,18.4366
754,2.40629999999999,19539.86,18.84268
755,3.40629999999999,15654.67,15.09611
756,4.40629999999999,9093.4,8.76895
757,5.40629999999999,15748.44,15.18654
758,6.40629999999999,9240.4,8.91071
759,7.40629999999999,11729.51,11.311
760,8.40629999999999,17663.08,17.03286
761,9.40629999999999,11694.22,11.27697
762,10.4063,177.34,0.17101
763,11.4063,3520.23,3.39463
764,12.4063,1813.82,1.7491
765,13.4063,3338.01,3.21891
766,14.4063,2428.67,2.34202
767,15.4063,1330.91,1.28342
768,16.4063,1398.08,1.3482
769,17.4063,1121.88,1.08186
770,18.4063,205.5,0.19816
771,19.4063,2965.54,2.85973
772,20.4063,6357.11,6.13029
773,21.4063,9077.89,8.75399
774,22.4063,9657.69,9.3131
775,23.4063,6533.76,6.30064
776,24.4063,2916.72,2.81265
777,25.4063,2172.88,2.09536
778,26.4063,3284.44,3.16725
779,27.4063,2338.4,2.25497
780,28.4063,372.47,0.35918
781,29.4063,1805.28,1.74087
782,30.4063,3253.49,3.1374
783,31.4063,4806.68,4.63518
784,32.4063,4535.96,4.37412
785,33.4063,2302.4,2.22025
786,34.4063,798.05,0.76958
787,35.4063,2883.53,2.78064
788,36.4063,9257.41,8.92711
789,37.4063,10602.91,10.2246
790,38.4063,6689.26,6.45059
791,39.4063,1746.38,1.68406
792,40.4063,2711.18,2.61444
793,41.4063,2802.72,2.70272
794,42.4063,3574.39,3.44686
795,43.4063,7538.7,7.26972
796,44.4063,9211.84,8.88316
797,45.4063,6872.52,6.62731
798,46.4063,5456.53,5.26184
799,47.4063,6200.45,5.97922
800,48.4063,4274.12,4.12162
801,49.4063,2811.19,2.71088
802,50.4063,3731.32,3.59818
803,51.4063,4631.92,4.46665
804,52.4063,4316,4.16201
805,53.4063,2214.59,2.13557
806,54.4063,1989.93,1.91893
807,55.4063,2622.28,2.52872
808,56.4063,1432.76,1.38164
809,57.4063,1746.58,1.68426
810,58.4063,2528.77,2.43854
811,59.4063,1612.06,1.55454
812,60.4063,299.11,0.28843
813,61.4063,1241.45,1.19716
814,62.4063,1607.84,1.55048
815,63.4063,1342.23,1.29434
816,64.4063,1138.42,1.09781
817,65.4063,1202.63,1.15972
818,66.4063,1407.95,1.35771
819,67.4063,425.96,0.41076
820,68.4063,1821.05,1.75608
821,69.4063,1753.09,1.69054
822,70.4063,828.79,0.79922
823,71.4063,1814.95,1.75019
824,72.4063,1971.22,1.90089
825,73.4063,982.29,0.94725
826,74.4063,627.35,0.60497
827,75.4063,1316.99,1.27
828,76.4063,1051.46,1.01394
829,77.4063,579.91,0.55922
830,78.4063,648.65,0.62551
831,79.4063,1325.06,1.27778
832,80.4063,1874.54,1.80766
833,81.4063,2151.18,2.07442
834,82.4063,1356.34,1.30795
835,83.4063,671.79,0.64782
836,84.4063,1280.18,1.23451
837,85.4063,2071.76,1.99784
838,86.4063,2079.75,2.00554
839,87.4063,1634.67,1.57635
840,88.4063,787.1,0.75902
841,89.4063,652.99,0.62969
842,90.4063,1584.97,1.52842
843,91.4063,1375.41,1.32634
844,92.4063,658.44,0.63495
845,93.4063,636.63,0.61392
846,94.4063,1256.12,1.2113
847,95.4063,1671.38,1.61174
848,96.4063,966.9,0.9324
849,97.4063,557.7,0.5378
850,98.4063,969.39,0.93481
