taps_from_fp,amplitude_norm_diff,background_mean,phase2_mean,n_background,n_phase2
-50,-0.00475411474858009,0.160297847344086,0.155543732595506,93,89
-49.5,-0.000216390873262973,0.169040707569892,0.168824316696629,93,89
-49,-0.00106922120285122,0.188781956236559,0.187712735033708,93,89
-48.5,-0.0128470045672343,0.206738599129032,0.193891594561798,93,89
-48,-0.030341898143409,0.21787566355914,0.187533765415731,93,89
-47.5,-0.0357297985862022,0.225372215956989,0.189642417370787,93,89
-47,-0.025280608664613,0.231612308462366,0.206331699797753,93,89
-46.5,-0.00788064786589343,0.228205584483871,0.220324936617978,93,89
-46,0.00787312259888817,0.209204160075268,0.217077282674156,93,89
-45.5,0.012689815543674,0.189133833096774,0.201823648640448,93,89
-45,0.00479111062570892,0.193218630172043,0.198009740797752,93,89
-44.5,-0.000809264305545898,0.216413899451613,0.215604635146067,93,89
-44,0.00252147902863409,0.233870223387096,0.236391702415731,93,89
-43.5,0.0020490928337572,0.243205546301075,0.245254639134832,93,89
-43,-0.00255106913338127,0.249204808032258,0.246653738898877,93,89
-42.5,-0.0067836914202003,0.248500352150538,0.241716660730338,93,89
-42,-0.00619317155829449,0.234800994827957,0.228607823269663,93,89
-41.5,-0.000226637693488907,0.221382905569893,0.221156267876404,93,89
-41,0.00373757235520117,0.227469263903226,0.231206836258428,93,89
-40.5,8.60062360764913e-05,0.240008154752688,0.240094160988764,93,89
-40,-0.00741008241234764,0.229254426075269,0.221844343662921,93,89
-39.5,-0.0126247084268458,0.190963138752688,0.178338430325842,93,89
-39,-0.00786150289658027,0.153194275301075,0.145332772404495,93,89
-38.5,0.00311988705617947,0.138765630000001,0.14188551705618,93,89
-38,0.0145767827669444,0.142697316064517,0.157274098831461,93,89
-37.5,0.0317556562294319,0.153849202354839,0.18560485858427,93,89
-37,0.0449017055489908,0.159883012215054,0.204784717764045,93,89
-36.5,0.0425154922736492,0.15228311383871,0.194798606112359,93,89
-36,0.0278671744737224,0.138165440290322,0.166032614764045,93,89
-35.5,0.0122609640811894,0.126137498806451,0.13839846288764,93,89
-35,0.00476966833115863,0.122250010118279,0.127019678449438,93,89
-34.5,0.00457044907611455,0.122333250193549,0.126903699269663,93,89
-34,0.00474905137127052,0.124077637010753,0.128826688382023,93,89
-33.5,0.00449161921855773,0.129234431612903,0.133726050831461,93,89
-33,0.00672979429261922,0.138782137010753,0.145511931303372,93,89
-32.5,0.00488859624151325,0.180319663623656,0.185208259865169,93,89
-32,-0.00646083036812928,0.273274424559141,0.266813594191011,93,89
-31.5,-0.0120953254233417,0.386072343580646,0.373977018157304,93,89
-31,-0.0150939611382132,0.46521486592473,0.450120904786517,93,89
-30.5,-0.0230497550356406,0.492314687956989,0.469264932921348,93,89
-30,-0.0278419588350853,0.492214332419355,0.46437237358427,93,89
-29.5,-0.0319788958341188,0.48644929544086,0.454470399606742,93,89
-29,-0.0334972207159602,0.471064864569892,0.437567643853932,93,89
-28.5,-0.0370922531591159,0.419327604709678,0.382235351550562,93,89
-28,-0.0289642069119264,0.315336340709678,0.286372133797751,93,89
-27.5,-0.00474767428295531,0.218503182204301,0.213755507921346,93,89
-27,0.0111333391105468,0.192153705709678,0.203287044820225,93,89
-26.5,0.00937850932912271,0.205021635096774,0.214400144425897,93,89
-26,-0.0057961825503724,0.216687320516129,0.210891137965757,93,89
-25.5,-0.0181124139991544,0.227061287268817,0.208948873269662,93,89
-25,-0.0405092827509439,0.248723994279569,0.208214711528625,93,89
-24.5,-0.0876791138011525,0.284647974150537,0.196968860349385,93,89
-24,-0.126637193032707,0.32430134523656,0.197664152203853,93,89
-23.5,-0.133136407842248,0.362481219462366,0.229344811620119,93,89
-23,-0.122685000105335,0.377042896096774,0.254357895991439,93,89
-22.5,-0.103748152859421,0.352079788806452,0.248331635947031,93,89
-22,-0.073097201830977,0.30706732767742,0.233970125846443,93,89
-21.5,-0.0431022640941847,0.258051901559139,0.214949637464955,93,89
-21,-0.0221520393961753,0.214702265827957,0.192550226431781,93,89
-20.5,-0.0180025993938285,0.197412842118279,0.179410242724451,93,89
-20,-0.0206834541386101,0.209671700784946,0.188988246646336,93,89
-19.5,-0.00506969465939891,0.239503260935483,0.234433566276084,93,89
-19,0.0202601720560067,0.270461118591398,0.290721290647405,93,89
-18.5,0.0382245784199584,0.28003146967742,0.318256048097379,93,89
-18,0.0531448446601935,0.250851486010753,0.303996330670947,93,89
-17.5,0.0602174714634343,0.197708313870969,0.257925785334403,93,89
-17,0.0498236647207057,0.163450959333334,0.21327462405404,93,89
-16.5,0.0304205739713319,0.15368369739785,0.184104271369182,93,89
-16,0.00962149262838544,0.152718250505376,0.162339743133761,93,89
-15.5,-0.00296658417523596,0.150805049612903,0.147838465437667,93,89
-15,-0.000299976490274523,0.142263910591398,0.141963934101123,93,89
-14.5,0.0162111442056814,0.133998067064516,0.150209211270198,93,89
-14,0.0327343873534918,0.130846264591398,0.163580651944889,93,89
-13.5,0.0268854299141339,0.143736253053763,0.170621682967897,93,89
-13,0.00646273380231033,0.192795298053763,0.199258031856073,93,89
-12.5,0.00363259130242299,0.259348723419354,0.262981314721777,93,89
-12,0.0163464991062687,0.29454294704301,0.310889446149279,93,89
-11.5,0.0203334258788223,0.29417623672043,0.314509662599252,93,89
-11,0.0109142876372396,0.296480194333333,0.307394481970573,93,89
-10.5,-0.00569776065436156,0.318048250333334,0.312350489678972,93,89
-10,-0.0225830323889966,0.333307828225807,0.31072479583681,93,89
-9.5,-0.0339372243919649,0.31306630839785,0.279129084005885,93,89
-9,-0.0359463874587244,0.259734657150538,0.223788269691813,93,89
-8.5,-0.0333261040425797,0.20336455539785,0.17003845135527,93,89
-8,-0.0234465455633684,0.162667869548387,0.139221323985019,93,89
-7.5,-0.0134109983714597,0.143126803806452,0.129715805434992,93,89
-7,-0.0109700130174153,0.142691224172043,0.131721211154628,93,89
-6.5,-0.00722213944167169,0.15288197572043,0.145659836278759,93,89
-6,0.00105091983613825,0.168533268139785,0.169584187975923,93,89
-5.5,0.0155901545951435,0.176280299741935,0.191870454337079,93,89
-5,0.029435485870968,0.162318540129032,0.191754026,93,89
-4.5,0.0274703418954937,0.137036275924731,0.164506617820225,93,89
-4,0.0163557492676094,0.120389728204301,0.13674547747191,93,89
-3.5,0.00701469189319838,0.117863040623656,0.124877732516854,93,89
-3,-0.00280803439217113,0.123230073774193,0.120422039382022,93,89
-2.5,-0.00512361976791159,0.134543748913979,0.129420129146067,93,89
-2,-0.00497139580197986,0.251360272655916,0.246388876853936,93,89
-1.5,0.0396740566710201,0.804710378430111,0.844384435101131,93,89
-1,0.00812955748690225,2.33482451533335,2.34295407282025,93,89
-0.5,0.0722807118225468,5.28691970030109,5.35920041212364,93,89
0,0.0117263626275523,9.50169729746239,9.51342366008994,93,89
0.5,-0.0753137948098033,13.7646630397312,13.6893492449214,93,89
1,-0.0120393874843359,16.7657968974731,16.7537575099888,93,89
1.5,-0.0292365612032093,18.2788250039785,18.2495884427753,93,89
2,0.0155129822782456,18.7979974934409,18.8135104757191,93,89
2.5,0.0239023561574321,18.6927237707527,18.7166261269101,93,89
3,0.140067530060392,17.6327174553441,17.7727849854045,93,89
3.5,0.151823943352154,14.895938362086,15.0477623054382,93,89
4,0.194459342393253,11.074557241,11.2690165833932,93,89
4.5,0.34316919638057,8.97671876796772,9.31988796434829,93,89
5,0.177704693056315,9.93077183175269,10.108476524809,93,89
5.5,0.00969766084392099,11.2735634485269,11.2832611093708,93,89
6,0.123771033029724,10.5126535741613,10.636424607191,93,89
6.5,-0.0371479827399135,7.95374673653764,7.91659875379772,93,89
7,-0.727647083648354,5.56657033407529,4.83892325042694,93,89
7.5,-1.84534151990517,5.89587418286023,4.05053266295506,93,89
8,-3.10363872643648,8.88569441953764,5.78205569310116,93,89
8.5,-3.60822173938526,11.6318640676774,8.02364232829216,93,89
9,-3.4112234125612,12.3241665287634,8.91294311620224,93,89
9.5,-2.91494722736137,10.7030271507097,7.7880799233483,93,89
10,-1.84723706524275,7.42290263784946,5.57566557260671,93,89
10.5,-0.718534570357645,4.07507884904301,3.35654427868537,93,89
11,-0.179220754394726,1.92809595296775,1.74887519857303,93,89
11.5,-0.252256230173387,1.17378049089248,0.92152426071909,93,89
12,-0.386818826375739,1.07067433613978,0.683855509764044,93,89
12.5,-0.0716259429665249,1.16667814349461,1.09505220052809,93,89
13,0.226290764131217,1.64699412541935,1.87328488955057,93,89
13.5,0.325026874991911,2.28185108256989,2.60687795756181,93,89
14,0.429815459797751,2.616419603,3.04623506279776,93,89
14.5,0.553015751279688,2.56611703647312,3.11913278775281,93,89
15,0.6714477736274,2.27478557870968,2.94623335233708,93,89
15.5,0.684562851602395,1.94462236590322,2.62918521750562,93,89
16,0.639772512049541,1.70401098160215,2.34378349365169,93,89
16.5,0.707199715963153,1.5777024084301,2.28490212439326,93,89
17,0.917636082896101,1.51851071568817,2.43614679858427,93,89
