taps_from_fp,amplitude_norm_mean,amplitude_norm_sd,n_frames
-50,0.160297847344086,0.0647711431742499,93
-49.5,0.169040707569892,0.075756294422619,93
-49,0.188781956236559,0.0875784932410351,93
-48.5,0.206738599129032,0.0939364318815222,93
-48,0.21787566355914,0.0921085165994624,93
-47.5,0.225372215956989,0.0895179309658602,93
-47,0.231612308462366,0.0878402693732405,93
-46.5,0.228205584483871,0.0842677673270976,93
-46,0.209204160075268,0.08226048188867,93
-45.5,0.189133833096774,0.0751604960747367,93
-45,0.193218630172043,0.0775879361007658,93
-44.5,0.216413899451613,0.0867833394247548,93
-44,0.233870223387096,0.0906846359246574,93
-43.5,0.243205546301075,0.0899133098115699,93
-43,0.249204808032258,0.0908058187017134,93
-42.5,0.248500352150538,0.0919228792443766,93
-42,0.234800994827957,0.0902241889993337,93
-41.5,0.221382905569893,0.0893730607501302,93
-41,0.227469263903226,0.0859549711395468,93
-40.5,0.240008154752688,0.0885146496888015,93
-40,0.229254426075269,0.086904429157367,93
-39.5,0.190963138752688,0.0743399681858086,93
-39,0.153194275301075,0.0600727020919455,93
-38.5,0.138765630000001,0.0531795950400279,93
-38,0.142697316064517,0.0583161036193116,93
-37.5,0.153849202354839,0.0688725621262152,93
-37,0.159883012215054,0.0728549168211922,93
-36.5,0.15228311383871,0.0669652205019523,93
-36,0.138165440290322,0.0537454542098877,93
-35.5,0.126137498806451,0.0397032638751927,93
-35,0.122250010118279,0.0342287044629039,93
-34.5,0.122333250193549,0.034905479289232,93
-34,0.124077637010753,0.0404849584382159,93
-33.5,0.129234431612903,0.0465919459115429,93
-33,0.138782137010753,0.0487885447102786,93
-32.5,0.180319663623656,0.0591449137637275,93
-32,0.273274424559141,0.0744562420426368,93
-31.5,0.386072343580646,0.0861219911228743,93
-31,0.46521486592473,0.0872416085355506,93
-30.5,0.492314687956989,0.0799061449043027,93
-30,0.492214332419355,0.0794295074080878,93
-29.5,0.48644929544086,0.0833068679790098,93
-29,0.471064864569892,0.0907549232117445,93
-28.5,0.419327604709678,0.0956289629233564,93
-28,0.315336340709678,0.0919561397405714,93
-27.5,0.218503182204301,0.078096959207837,93
-27,0.192153705709678,0.0748833166342855,93
-26.5,0.205021635096774,0.0889310482742689,93
-26,0.216687320516129,0.0921706061421901,93
-25.5,0.227061287268817,0.0905775711216062,93
-25,0.248723994279569,0.102381623742597,93
-24.5,0.284647974150537,0.125590475815744,93
-24,0.32430134523656,0.134493317415801,93
-23.5,0.362481219462366,0.136538519614911,93
-23,0.377042896096774,0.126452538741688,93
-22.5,0.352079788806452,0.110753535381912,93
-22,0.30706732767742,0.0984218332387384,93
-21.5,0.258051901559139,0.0898675187210263,93
-21,0.214702265827957,0.0731604370695326,93
-20.5,0.197412842118279,0.0765853602897653,93
-20,0.209671700784946,0.0929946009619732,93
-19.5,0.239503260935483,0.0918148123285646,93
-19,0.270461118591398,0.0968643584214313,93
-18.5,0.28003146967742,0.0995633457509625,93
-18,0.250851486010753,0.0998036789333792,93
-17.5,0.197708313870969,0.0822288184817416,93
-17,0.163450959333334,0.0559388291824595,93
-16.5,0.15368369739785,0.0504033838480592,93
-16,0.152718250505376,0.05527833230672,93
-15.5,0.150805049612903,0.0594375754054679,93
-15,0.142263910591398,0.0588183538816152,93
-14.5,0.133998067064516,0.0572435968345302,93
-14,0.130846264591398,0.0554224264004209,93
-13.5,0.143736253053763,0.057647911445248,93
-13,0.192795298053763,0.0850949465516324,93
-12.5,0.259348723419354,0.101993134378838,93
-12,0.29454294704301,0.104416229118281,93
-11.5,0.29417623672043,0.103565729674645,93
-11,0.296480194333333,0.0991173642776727,93
-10.5,0.318048250333334,0.0965272450874295,93
-10,0.333307828225807,0.0970599852641059,93
-9.5,0.31306630839785,0.102715548129308,93
-9,0.259734657150538,0.101148344062218,93
-8.5,0.20336455539785,0.0857070818568398,93
-8,0.162667869548387,0.0640149812262865,93
-7.5,0.143126803806452,0.0496023541576833,93
-7,0.142691224172043,0.0535957897225194,93
-6.5,0.15288197572043,0.0649068082581764,93
-6,0.168533268139785,0.0749141177459666,93
-5.5,0.176280299741935,0.0796288867743253,93
-5,0.162318540129032,0.0717610642573738,93
