FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
1,4578688931,748.3906,748,915,-58.59,116,13,1508,751,17726,698,0.4368155,1.5,150,02_lde_aligned\frame_0001_aligned.csv
2,10968490053,751.4219,751,1231,-60.61,156,13,2028,754,20550,701,0.5215332,1.5,150,02_lde_aligned\frame_0002_aligned.csv
3,17358290619,752.8906,752,1100,-60.12,116,13,1508,755,19485,702,0.6320146,1.5,150,02_lde_aligned\frame_0003_aligned.csv
4,23748091676,745.6562,745,933,-58.74,116,13,1508,748,18052,695,0.7264334,1.5,150,02_lde_aligned\frame_0004_aligned.csv
5,30137892677,747.0469,747,922,-58.93,96,13,1248,749,17882,697,0.8336706,1.5,150,02_lde_aligned\frame_0005_aligned.csv
6,36527693137,747.7344,747,873,-58.91,112,13,1456,750,17037,697,0.9293716,1.5,150,02_lde_aligned\frame_0006_aligned.csv
7,42917494128,747.7187,747,880,-58.98,132,13,1716,750,17181,697,1.0250597,1.5,150,02_lde_aligned\frame_0007_aligned.csv
8,49307294493,746.5469,746,950,-58.94,120,13,1560,749,18242,696,1.1378313,1.5,150,02_lde_aligned\frame_0008_aligned.csv
9,55697095371,753.2656,753,887,-60.04,92,13,1196,756,17230,703,1.2324065,1.5,150,02_lde_aligned\frame_0009_aligned.csv
10,62086896193,750.4844,750,871,-58.99,136,13,1768,753,16829,700,1.3274072,1.5,150,02_lde_aligned\frame_0010_aligned.csv
11,68476696487,748.5781,748,956,-58.62,148,13,1924,751,18299,698,1.4229639,1.5,150,02_lde_aligned\frame_0011_aligned.csv
12,74866497247,753.3281,753,908,-59.06,100,13,1300,756,17684,703,1.5337731,1.5,150,02_lde_aligned\frame_0012_aligned.csv
13,81256297968,750.3437,750,933,-59.26,136,13,1768,753,18042,700,1.6291142,1.5,150,02_lde_aligned\frame_0013_aligned.csv
14,87646098162,753.75,753,901,-58.1,104,13,1352,756,17630,703,1.7243558,1.5,150,02_lde_aligned\frame_0014_aligned.csv
15,94035898839,749.3281,749,1054,-59.04,144,13,1872,752,19113,699,1.8335477,1.5,150,02_lde_aligned\frame_0015_aligned.csv
16,100425698965,752.6719,752,934,-58.57,116,13,1508,755,18069,702,1.9296043,1.5,150,02_lde_aligned\frame_0016_aligned.csv
17,106815499534,746.4375,746,872,-58.25,104,13,1352,749,16934,696,2.0319262,1.5,150,02_lde_aligned\frame_0017_aligned.csv
18,113205300138,748.75,748,906,-58.35,104,13,1352,751,17719,698,2.1265089,1.5,150,02_lde_aligned\frame_0018_aligned.csv
19,119595100190,751.0625,751,864,-58.74,128,13,1664,753,16292,701,2.221134,1.5,150,02_lde_aligned\frame_0019_aligned.csv
20,125984900695,752.0781,752,917,-58.43,108,13,1404,754,17762,702,2.3329715,1.5,150,02_lde_aligned\frame_0020_aligned.csv
21,132374700717,752.6719,752,1023,-59.29,132,13,1716,755,18920,702,2.4265696,1.5,150,02_lde_aligned\frame_0021_aligned.csv
22,138764501125,752.6719,752,860,-58.98,108,13,1404,755,16356,702,2.5212392,1.5,150,02_lde_aligned\frame_0022_aligned.csv
23,145154301599,751.8281,751,946,-58.59,116,13,1508,754,18157,701,2.6333777,1.5,150,02_lde_aligned\frame_0023_aligned.csv
24,151544101470,752.0625,752,1088,-59.3,180,13,2340,755,19282,702,2.7280053,1.5,150,02_lde_aligned\frame_0024_aligned.csv
25,157933901829,750.4219,750,1044,-59.34,132,13,1716,753,19076,700,2.8344908,1.5,150,02_lde_aligned\frame_0025_aligned.csv
26,164323701637,748.9219,748,866,-58.62,124,13,1612,751,16665,698,2.9286101,1.5,150,02_lde_aligned\frame_0026_aligned.csv
27,170713501972,746.7812,746,915,-58.62,108,13,1404,749,17893,696,3.0220703,1.5,150,02_lde_aligned\frame_0027_aligned.csv
28,177103302240,752.0937,752,1011,-59.54,144,13,1872,755,18706,702,3.1328395,1.5,150,02_lde_aligned\frame_0028_aligned.csv
29,183493102000,749.2187,749,939,-58.94,132,13,1716,752,18023,699,3.2286908,1.5,150,02_lde_aligned\frame_0029_aligned.csv
30,189882902193,753.4844,753,882,-58.87,116,13,1508,756,17288,703,3.3233741,1.5,150,02_lde_aligned\frame_0030_aligned.csv
31,196272701897,749.3594,749,894,-58.88,132,13,1716,752,17392,699,3.419505,1.5,150,02_lde_aligned\frame_0031_aligned.csv
32,202662502081,753.6094,753,1012,-59.6,124,13,1612,756,18931,703,3.5293009,1.5,150,02_lde_aligned\frame_0032_aligned.csv
33,209052301724,748.0312,748,863,-59.27,104,13,1352,750,16601,698,3.6255168,1.5,150,02_lde_aligned\frame_0033_aligned.csv
34,215442101845,751.1719,751,1151,-60.64,148,13,1924,753,19431,701,3.7354846,1.5,150,02_lde_aligned\frame_0034_aligned.csv
35,221831901911,753.3281,753,1045,-59.91,144,13,1872,756,19132,703,3.832151,1.5,150,02_lde_aligned\frame_0035_aligned.csv
36,228221701432,747.4687,747,861,-59.42,104,13,1352,750,16538,697,3.9269661,1.5,150,02_lde_aligned\frame_0036_aligned.csv
37,234611501492,748.7812,748,876,-59.28,96,13,1248,751,17127,698,4.0221037,1.5,150,02_lde_aligned\frame_0037_aligned.csv
38,241001300991,750.3281,750,871,-59.7,116,13,1508,753,16844,700,4.1320178,1.5,150,02_lde_aligned\frame_0038_aligned.csv
39,247391100968,750.8437,750,933,-59.49,120,13,1560,753,18042,700,4.2278136,1.5,150,02_lde_aligned\frame_0039_aligned.csv
40,253780900422,751.5625,751,951,-59.42,104,13,1352,754,18321,701,4.3234122,1.5,150,02_lde_aligned\frame_0040_aligned.csv
41,260170700353,751.6094,751,971,-59.87,116,13,1508,754,18438,701,4.434137,1.5,150,02_lde_aligned\frame_0041_aligned.csv
42,266560499739,751.1406,751,1010,-60.07,136,13,1768,753,18737,701,4.5304746,1.5,150,02_lde_aligned\frame_0042_aligned.csv
43,272950299619,750.2656,750,982,-59.94,116,13,1508,753,18490,700,4.6339789,1.5,150,02_lde_aligned\frame_0043_aligned.csv
44,279340098949,747.9219,747,885,-59.53,124,13,1612,750,17322,697,4.7293609,1.5,150,02_lde_aligned\frame_0044_aligned.csv
45,285729898792,747.0937,747,1021,-60.33,144,13,1872,749,18863,697,4.8253785,1.5,150,02_lde_aligned\frame_0045_aligned.csv
46,292119698042,752.75,752,905,-59.74,96,13,1248,755,17740,702,4.920365,1.5,150,02_lde_aligned\frame_0046_aligned.csv
47,298509497819,750.0156,750,889,-59.45,104,13,1352,752,17360,700,5.0262105,1.5,150,02_lde_aligned\frame_0047_aligned.csv
48,304899297037,747.1719,747,1037,-60.38,132,13,1716,749,19018,697,5.1263284,1.5,150,02_lde_aligned\frame_0048_aligned.csv
49,311289096748,750.6562,750,898,-59.45,128,13,1664,753,17507,700,5.228058,1.5,150,02_lde_aligned\frame_0049_aligned.csv
50,317678895943,747.0781,747,1025,-59.74,124,13,1612,749,18975,697,5.3239588,1.5,150,02_lde_aligned\frame_0050_aligned.csv
51,324068695597,751.7969,751,875,-59.58,132,13,1716,754,16946,701,5.4331518,1.5,150,02_lde_aligned\frame_0051_aligned.csv
52,330458494754,746.125,746,874,-59.7,128,13,1664,748,16496,696,5.5282804,1.5,150,02_lde_aligned\frame_0052_aligned.csv
53,336848294357,750.0469,750,894,-59.18,120,13,1560,752,17416,700,5.6391361,1.5,150,02_lde_aligned\frame_0053_aligned.csv
54,343238093464,752.3437,752,877,-59.76,96,13,1248,755,17003,702,5.7324666,1.5,150,02_lde_aligned\frame_0054_aligned.csv
55,349627893039,747.4531,747,1114,-60.72,144,13,1872,750,19748,697,5.8269704,1.5,150,02_lde_aligned\frame_0055_aligned.csv
56,356017692038,748.4375,748,878,-59.49,112,13,1456,751,17110,698,5.9211869,1.5,150,02_lde_aligned\frame_0056_aligned.csv
57,362407491583,749.8281,749,913,-59.2,108,13,1404,752,17782,699,6.0326859,1.5,150,02_lde_aligned\frame_0057_aligned.csv
58,368797290572,751.6562,751,933,-59.17,104,13,1352,754,18052,701,6.1275831,1.5,150,02_lde_aligned\frame_0058_aligned.csv
59,375187090042,751.875,751,907,-59.23,124,13,1612,754,17663,701,6.2236435,1.5,150,02_lde_aligned\frame_0059_aligned.csv
60,381576888986,752.125,752,903,-59.3,128,13,1664,754,17434,702,6.3350326,1.5,150,02_lde_aligned\frame_0060_aligned.csv
