sample,taps_from_fp,amplitude,amplitude_norm
699,-50.8437,225.01,0.21931
700,-49.8437,291.45,0.28406
701,-48.8437,488.97,0.47658
702,-47.8437,324.26,0.31604
703,-46.8437,199.02,0.19398
704,-45.8437,267.72,0.26094
705,-44.8437,400.09,0.38995
706,-43.8437,434.89,0.42386
707,-42.8437,563.6,0.54932
708,-41.8437,335.8,0.32729
709,-40.8437,133,0.12963
710,-39.8437,353.16,0.34421
711,-38.8437,469.66,0.45775
712,-37.8437,176.82,0.17234
713,-36.8437,172.25,0.16788
714,-35.8437,416.29,0.40574
715,-34.8437,276.4,0.2694
716,-33.8437,264.94,0.25823
717,-32.8437,404.3,0.39405
718,-31.8437,183.86,0.1792
719,-30.8437,544.34,0.53055
720,-29.8437,449.17,0.43779
721,-28.8437,393.3,0.38333
722,-27.8437,634.84,0.61875
723,-26.8437,625.75,0.6099
724,-25.8437,128.84,0.12558
725,-24.8437,245.76,0.23953
726,-23.8437,292.03,0.28463
727,-22.8437,354.83,0.34584
728,-21.8437,257.03,0.25052
729,-20.8437,90.24,0.08796
730,-19.8437,139.54,0.13601
731,-18.8437,327.05,0.31877
732,-17.8437,382.47,0.37278
733,-16.8437,395.9,0.38587
734,-15.8437,236.03,0.23005
735,-14.8437,199.42,0.19437
736,-13.8437,213.55,0.20814
737,-12.8437,190.39,0.18557
738,-11.8437,183.07,0.17843
739,-10.8437,260.65,0.25404
740,-9.84370000000001,130.86,0.12755
741,-8.84370000000001,46.1,0.04493
742,-7.84370000000001,54.13,0.05276
743,-6.84370000000001,100.4,0.09786
744,-5.84370000000001,192.52,0.18764
745,-4.84370000000001,266.81,0.26005
746,-3.84370000000001,298.39,0.29083
747,-2.84370000000001,60.42,0.05888
748,-1.84370000000001,371.45,0.36203
749,-0.843700000000013,2185.75,2.13036
750,0.156299999999987,11243.81,10.95888
751,1.15629999999999,18645.96,18.17344
752,2.15629999999999,19398.8,18.90721
753,3.15629999999999,16956.48,16.52679
754,4.15629999999999,12094.83,11.78834
755,5.15629999999999,16689.74,16.2668
756,6.15629999999999,11495.77,11.20445
757,7.15629999999999,10006.52,9.75294
758,8.15629999999999,5313.19,5.17854
759,9.15629999999999,6692.47,6.52287
760,10.1563,5579.77,5.43837
761,11.1563,1892.86,1.84489
762,12.1563,1467.25,1.43007
763,13.1563,619.73,0.60402
764,14.1563,1686.8,1.64406
765,15.1563,327.06,0.31877
766,16.1563,1568.54,1.52879
767,17.1563,1184.58,1.15456
768,18.1563,1475.83,1.43843
769,19.1563,1201.22,1.17078
770,20.1563,3522.25,3.43299
771,21.1563,7399.25,7.21174
772,22.1563,5633.13,5.49038
773,23.1563,1217.67,1.18681
774,24.1563,7829.05,7.63065
775,25.1563,9605.16,9.36176
776,26.1563,3972.82,3.87215
777,27.1563,640.09,0.62387
778,28.1563,2463.42,2.401
779,29.1563,1989.06,1.93866
780,30.1563,3314.01,3.23003
781,31.1563,5102.97,4.97366
782,32.1563,358.17,0.34909
783,33.1563,3726.6,3.63217
784,34.1563,1850.01,1.80313
785,35.1563,564.61,0.5503
786,36.1563,132.08,0.12873
787,37.1563,2777.18,2.7068
788,38.1563,5241.21,5.10839
789,39.1563,2618.11,2.55177
790,40.1563,4841.62,4.71893
791,41.1563,7823.18,7.62493
792,42.1563,7873.62,7.6741
793,43.1563,4203.65,4.09712
794,44.1563,213.22,0.20781
795,45.1563,2125.56,2.0717
796,46.1563,4674.15,4.5557
797,47.1563,5568.47,5.42735
798,48.1563,1694.9,1.65195
799,49.1563,3183.63,3.10296
800,50.1563,4754.35,4.63387
801,51.1563,3814.11,3.71745
802,52.1563,2277.53,2.21981
803,53.1563,457.93,0.44633
804,54.1563,771.84,0.75228
805,55.1563,1520.85,1.48231
806,56.1563,2521.84,2.45794
807,57.1563,1955.91,1.90634
808,58.1563,1096.28,1.0685
809,59.1563,1164.69,1.13517
810,60.1563,1824.1,1.77787
811,61.1563,1547.68,1.50846
812,62.1563,2804.21,2.73315
813,63.1563,2520.82,2.45694
814,64.1563,2246.6,2.18967
815,65.1563,1867.79,1.82045
816,66.1563,2033.44,1.98191
817,67.1563,2152.92,2.09836
818,68.1563,2993.88,2.91801
819,69.1563,2608.9,2.54279
820,70.1563,804.54,0.78416
821,71.1563,1277.68,1.2453
822,72.1563,1402.93,1.36738
823,73.1563,1480.11,1.44261
824,74.1563,1907.3,1.85897
825,75.1563,1996.66,1.94606
826,76.1563,545.21,0.53139
827,77.1563,1108.6,1.08051
828,78.1563,1268.27,1.23613
829,79.1563,494.49,0.48196
830,80.1563,1192.96,1.16273
831,81.1563,1686.83,1.64409
832,82.1563,1253.99,1.22221
833,83.1563,495.55,0.48299
834,84.1563,886.62,0.86415
835,85.1563,332.13,0.32372
836,86.1563,907.42,0.88443
837,87.1563,829.8,0.80877
838,88.1563,1454.48,1.41763
839,89.1563,598.2,0.58304
840,90.1563,1425.39,1.38927
841,91.1563,1242.89,1.21139
842,92.1563,42.95,0.04186
843,93.1563,498.57,0.48594
844,94.1563,394.22,0.38423
845,95.1563,809.11,0.7886
846,96.1563,1220.91,1.18997
847,97.1563,1063.38,1.03643
848,98.1563,566.19,0.55185
