taps_from_fp,amplitude_norm_diff,background_mean,phase2_mean,n_background,n_phase2
-50,-0.0160025423087127,0.266532830854166,0.250530288545454,96,99
-49.5,-0.012005273357955,0.3442529898125,0.332247716454545,96,99
-49,0.000418509328598993,0.372374259156251,0.37279276848485,96,99
-48.5,0.0279611460006325,0.325473521645833,0.353434667646466,96,99
-48,0.0399080514308725,0.24327535578125,0.283183407212123,96,99
-47.5,0.0368200298885739,0.17060984134375,0.207429871232324,96,99
-47,0.0186071141859211,0.145954298864583,0.164561413050504,96,99
-46.5,-0.0141445215940663,0.180587543604167,0.1664430220101,96,99
-46,-0.0317333808674255,0.235918077291667,0.204184696424242,96,99
-45.5,-0.0317665703980425,0.275067540468749,0.243300970070707,96,99
-45,-0.0205657063948859,0.285528138031249,0.264962431636363,96,99
-44.5,-0.00666219920233618,0.287064103677083,0.280401904474747,96,99
-44,0.00429665316066924,0.31357282703125,0.317869480191919,96,99
-43.5,0.00196504056407787,0.370161882718751,0.372126923282828,96,99
-43,-0.00282457185984869,0.406944351375001,0.404119779515152,96,99
-42.5,0.00954559923642667,0.37363208853125,0.383177687767677,96,99
-42,0.0120989419741163,0.285480237187501,0.297579179161617,96,99
-41.5,0.00173255559753768,0.202374483947918,0.204107039545455,96,99
-41,-0.0100222257108588,0.199252395124999,0.189230169414141,96,99
-40.5,-0.0259355904898983,0.287514193166666,0.261578602676768,96,99
-40,-0.017192892901515,0.386703054083333,0.369510161181818,96,99
-39.5,0.00812098482701995,0.438660616375,0.44678160120202,96,99
-39,0.0199843677534725,0.429067310135418,0.44905167788889,96,99
-38.5,0.0288829960864898,0.359646357145834,0.388529353232323,96,99
-38,0.0229050450205173,0.265525845322917,0.288430890343434,96,99
-37.5,0.0103669328263889,0.182552124395833,0.192919057222222,96,99
-37,0.00801149522064393,0.152641083052082,0.160652578272726,96,99
-36.5,0.00257705294475957,0.19096656815625,0.193543621101009,96,99
-36,-0.0101091326966541,0.247669515322917,0.237560382626262,96,99
-35.5,-0.0246306025119942,0.2652995995625,0.240668997050506,96,99
-35,-0.0224108901120576,0.228446000364585,0.206035110252527,96,99
-34.5,0.00353886423295346,0.202009266979169,0.205548131212122,96,99
-34,0.0403010260047332,0.276534978510417,0.31683600451515,96,99
-33.5,0.0360839928560597,0.414245089083333,0.450329081939393,96,99
-33,-0.00307988160606021,0.450579639333334,0.447499757727274,96,99
-32.5,-0.0112843624261353,0.340113131395832,0.328828768969697,96,99
-32,-0.00426246937215952,0.261869214614582,0.257606745242422,96,99
-31.5,-0.0137047620328288,0.33227723575,0.318572473717171,96,99
-31,-0.0261421578547975,0.433432001541666,0.407289843686869,96,99
-30.5,-0.0310067055505058,0.469729498166667,0.438722792616161,96,99
-30,-0.0276691625763894,0.481049620354167,0.453380457777778,96,99
-29.5,-0.0275088290012616,0.486651269708332,0.459142440707071,96,99
-29,-0.0496890366300505,0.471386154124999,0.421697117494948,96,99
-28.5,-0.069144974402779,0.474019783958334,0.404874809555555,96,99
-28,-0.054317910863005,0.517551458812501,0.463233547949496,96,99
-27.5,-0.0436511507411611,0.559776969791666,0.516125819050505,96,99
-27,-0.0646263540047336,0.58155710315625,0.516930749151516,96,99
-26.5,-0.0862192146218418,0.541060424187499,0.454841209565657,96,99
-26,-0.0678610067578904,0.403885876677084,0.336024869919194,96,99
-25.5,-0.00927091678566927,0.276289160593752,0.267018243808082,96,99
-25,0.0161029005981677,0.23183350659375,0.247936407191918,96,99
-24.5,0.0181481554706428,0.199073961927083,0.217222117397726,96,99
-24,0.0600624993923616,0.184358374510416,0.244420873902778,96,99
-23.5,0.0849402310031558,0.239653762020835,0.32459399302399,96,99
-23,0.0383436161451995,0.335955843666669,0.374299459811868,96,99
-22.5,-0.0354199632575774,0.431980046958334,0.396560083700757,96,99
-22,-0.0624699805006311,0.471427907979167,0.408957927478536,96,99
-21.5,-0.0410429563718421,0.420451194395832,0.37940823802399,96,99
-21,-0.0264605263415388,0.313043540062499,0.286583013720961,96,99
-20.5,-0.0118776702348465,0.201644309208333,0.189766638973486,96,99
-20,0.00210933566098567,0.147311408979165,0.149420744640151,96,99
-19.5,0.00194069324494975,0.169191392374999,0.171132085619949,96,99
-19,0.0023093585858586,0.227200679124999,0.229510037710858,96,99
-18.5,-0.00589714028693283,0.291537504260416,0.285640363973484,96,99
-18,-0.00202337471121189,0.342933452729167,0.340910078017955,96,99
-17.5,0.0158810037087544,0.370265750625,0.386146754333755,96,99
-17,0.0250375764143889,0.351403304760417,0.376440881174806,96,99
-16.5,0.02980286223366,0.277290457354167,0.307093319587827,96,99
-16,0.0145003516555211,0.206351107520833,0.220851459176354,96,99
-15.5,-0.00988548488821275,0.181404167552084,0.171518682663871,96,99
-15,-0.0169560797141441,0.195272383895833,0.178316304181689,96,99
-14.5,-0.0201855044649477,0.23112743609375,0.210941931628802,96,99
-14,-0.0189886161923945,0.257459229854167,0.238470613661773,96,99
-13.5,-0.0158620171281734,0.260693460489584,0.24483144336141,96,99
-13,-0.0286985692565029,0.254042785479167,0.225344216222664,96,99
-12.5,-0.0451409478756782,0.244948207333333,0.199807259457655,96,99
-12,-0.0464186800335747,0.238615305187499,0.192196625153925,96,99
-11.5,-0.0315561725730997,0.23395685796875,0.20240068539565,96,99
-11,-0.0104372840987363,0.215622435958333,0.205185151859597,96,99
-10.5,0.00773422792108178,0.180591881281251,0.188326109202332,96,99
-10,0.0123907285905228,0.153802386166667,0.16619311475719,96,99
-9.5,-0.000302832419961985,0.161211187489584,0.160908355069622,96,99
-9,-0.00286640934809546,0.196487947354167,0.193621538006072,96,99
-8.5,0.00786643721900174,0.230620136135417,0.238486573354419,96,99
-8,0.0200087236620463,0.227522860625,0.247531584287046,96,99
-7.5,0.0330378636486508,0.185300692479166,0.218338556127817,96,99
-7,0.0343817590241435,0.152681301499999,0.187063060524143,96,99
-6.5,0.0340419352800028,0.145385960802083,0.179427896082086,96,99
-6,0.0369434599780967,0.144635433510417,0.181578893488513,96,99
