FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
1,3734530569,745.3594,745,905,-59.98,88,13,1144,747,17364,695,0.4262335,1.5,150,02_lde_aligned\frame_0001_aligned.csv
2,10124318321,748.4844,748,968,-60.59,104,13,1352,750,18235,698,0.5162044,1.5,150,02_lde_aligned\frame_0002_aligned.csv
3,16514105592,750.0937,750,911,-60.57,100,13,1300,752,17635,700,0.6170403,1.5,150,02_lde_aligned\frame_0003_aligned.csv
4,22903893368,752.4687,752,973,-60.61,120,13,1560,754,18321,702,0.7221072,1.5,150,02_lde_aligned\frame_0004_aligned.csv
5,29293681152,746.5937,746,937,-60.83,96,13,1248,749,17817,696,0.8229579,1.5,150,02_lde_aligned\frame_0005_aligned.csv
6,35683468923,747.7656,747,963,-60.42,92,13,1196,749,18015,697,0.922809,1.5,150,02_lde_aligned\frame_0006_aligned.csv
7,42073256183,749.3281,749,914,-60.31,104,13,1352,751,17195,699,1.0180232,1.5,150,02_lde_aligned\frame_0007_aligned.csv
8,48463043918,751.8125,751,1029,-60.87,108,13,1404,753,18134,701,1.1135767,1.5,150,02_lde_aligned\frame_0008_aligned.csv
9,54852831671,753.0781,753,879,-59.78,88,13,1144,755,17071,703,1.2184065,1.5,150,02_lde_aligned\frame_0009_aligned.csv
10,61242619414,746.0625,746,1001,-60.63,96,13,1248,748,18304,696,1.321759,1.5,150,02_lde_aligned\frame_0010_aligned.csv
11,67632406645,747.2969,747,934,-60.65,88,13,1144,750,17174,697,1.417724,1.5,139,02_lde_aligned\frame_0011_aligned.csv
12,74022194357,749.5469,749,941,-60.72,96,13,1248,755,17583,699,1.5119064,1.5,150,02_lde_aligned\frame_0012_aligned.csv
13,80411982094,750.4375,750,878,-60.35,88,13,1144,752,16805,700,1.623181,1.5,150,02_lde_aligned\frame_0013_aligned.csv
14,86801769305,751.3594,751,873,-60.38,88,13,1144,753,16679,701,1.7342786,1.5,150,02_lde_aligned\frame_0014_aligned.csv
15,93191557042,753,753,998,-60.63,104,13,1352,755,18113,703,1.8232951,1.5,150,02_lde_aligned\frame_0015_aligned.csv
16,99581344778,746.125,746,981,-60.9,120,13,1560,752,17544,696,1.919394,1.5,150,02_lde_aligned\frame_0016_aligned.csv
17,105971131995,747.3906,747,881,-59.79,84,13,1092,749,17031,697,2.0152142,1.5,150,02_lde_aligned\frame_0017_aligned.csv
18,112360919720,748.4687,748,884,-60,92,13,1196,750,16967,698,2.126024,1.5,150,02_lde_aligned\frame_0018_aligned.csv
19,118750707458,749.375,749,904,-60.17,96,13,1248,751,17266,699,2.2207977,1.5,150,02_lde_aligned\frame_0019_aligned.csv
20,125140494666,750.875,750,932,-60.48,104,13,1352,753,17654,700,2.3249842,1.5,150,02_lde_aligned\frame_0020_aligned.csv
21,131530282397,752.1719,752,897,-60.03,104,13,1352,754,17323,702,2.4134202,1.5,150,02_lde_aligned\frame_0021_aligned.csv
22,137920070131,745.8906,745,907,-60.51,92,13,1196,748,17528,695,2.5348018,1.5,150,02_lde_aligned\frame_0022_aligned.csv
23,144309857353,746.8594,746,913,-60.73,100,13,1300,749,17651,696,2.6138212,1.5,150,02_lde_aligned\frame_0023_aligned.csv
24,150699645081,748.7344,748,901,-60.56,104,13,1352,751,17290,698,2.7242846,1.5,150,02_lde_aligned\frame_0024_aligned.csv
25,157089432806,749.8125,749,867,-60.53,88,13,1144,752,16542,699,2.820576,1.5,150,02_lde_aligned\frame_0025_aligned.csv
26,163479220026,750.75,750,1032,-61.02,108,13,1404,752,18639,700,2.9234382,1.5,150,02_lde_aligned\frame_0026_aligned.csv
27,169869007759,743.8281,743,974,-60.79,92,13,1196,746,18228,693,3.0228632,1.5,150,02_lde_aligned\frame_0027_aligned.csv
28,176258795491,746.2656,746,926,-60.83,96,13,1248,748,17827,696,3.1178245,1.5,150,02_lde_aligned\frame_0028_aligned.csv
