FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
1,2611658628,749.7812,749,989,-62.44,84,13,1092,752,18241,699,0.3970055,1.5,150,02_lde_aligned\frame_0001_aligned.csv
2,9001574059,746.6875,746,1045,-63.58,96,13,1248,748,18913,696,0.4928014,1.5,150,02_lde_aligned\frame_0002_aligned.csv
3,15391290861,751.5469,751,887,-62.21,76,13,988,753,16840,701,0.5876918,1.5,150,02_lde_aligned\frame_0003_aligned.csv
4,21781035805,748.5937,748,967,-63.17,96,13,1248,750,18108,698,0.6879426,1.5,150,02_lde_aligned\frame_0004_aligned.csv
5,28170828364,752.6562,752,911,-62.31,76,13,988,754,17309,702,0.7856651,1.5,150,02_lde_aligned\frame_0005_aligned.csv
6,34560743752,749.3906,749,1050,-63.69,96,13,1248,751,19053,699,0.8960723,1.5,150,02_lde_aligned\frame_0006_aligned.csv
7,40950460476,753.4062,753,901,-62.25,84,13,1092,755,17230,703,0.9912252,1.5,150,02_lde_aligned\frame_0007_aligned.csv
8,47340205322,747.625,747,917,-62.26,76,13,988,749,17224,697,1.0903494,1.5,150,02_lde_aligned\frame_0008_aligned.csv
9,53729997746,751.375,751,935,-62.4,96,13,1248,753,17842,701,1.1845931,1.5,150,02_lde_aligned\frame_0009_aligned.csv
10,60119913030,753.6875,753,893,-62.32,80,13,1040,756,16784,703,1.2956088,1.5,150,02_lde_aligned\frame_0010_aligned.csv
11,66509629637,746.6719,746,935,-62.43,76,13,988,749,17459,696,1.3988212,1.5,150,02_lde_aligned\frame_0011_aligned.csv
12,72899374366,749.4375,749,955,-62.51,84,13,1092,751,18089,699,1.4886704,1.5,150,02_lde_aligned\frame_0012_aligned.csv
13,79289166681,750.3594,750,918,-62.24,92,13,1196,752,17530,700,1.5976593,1.5,150,02_lde_aligned\frame_0013_aligned.csv
14,85679081861,749.6719,749,893,-62.13,84,13,1092,752,16808,699,1.6852832,1.5,150,02_lde_aligned\frame_0014_aligned.csv
15,92068798355,750.4375,750,1132,-63.34,120,13,1560,752,19566,700,1.7963688,1.5,150,02_lde_aligned\frame_0015_aligned.csv
16,98458542987,750.3906,750,953,-62.3,84,13,1092,752,17979,700,1.8918512,1.5,150,02_lde_aligned\frame_0016_aligned.csv
17,104848335208,749.4687,749,939,-62.32,80,13,1040,751,17603,699,1.9982675,1.5,150,02_lde_aligned\frame_0017_aligned.csv
18,111238250285,748.6719,748,941,-62.61,84,13,1092,750,17726,698,2.0869648,1.5,150,02_lde_aligned\frame_0018_aligned.csv
19,117627966661,747.2969,747,917,-62.26,80,13,1040,749,17525,697,2.1954034,1.5,150,02_lde_aligned\frame_0019_aligned.csv
20,124017711196,745.6562,745,892,-62.27,76,13,988,747,16797,695,2.2897743,1.5,150,02_lde_aligned\frame_0020_aligned.csv
21,130407503304,752.1406,752,1104,-63.56,96,13,1248,757,19161,702,2.384215,1.5,150,02_lde_aligned\frame_0021_aligned.csv
22,136797418286,748.7344,748,1108,-63.83,96,13,1248,750,19349,698,2.497072,1.5,150,02_lde_aligned\frame_0022_aligned.csv
23,143187134587,746.5625,746,1120,-63.45,84,13,1092,751,19299,696,2.5904243,1.5,150,02_lde_aligned\frame_0023_aligned.csv
24,149576879023,750.8281,750,932,-62.48,68,13,884,752,17178,700,2.686964,1.5,150,02_lde_aligned\frame_0024_aligned.csv
25,155966671062,748.1094,748,1079,-63.23,92,13,1196,750,19052,698,2.7990286,1.5,150,02_lde_aligned\frame_0025_aligned.csv
26,162356585957,751.7187,751,987,-63.21,96,13,1248,753,18224,701,2.8936952,1.5,150,02_lde_aligned\frame_0026_aligned.csv
27,168746302168,748.3437,748,893,-62.49,92,13,1196,750,16992,698,2.9886973,1.5,150,02_lde_aligned\frame_0027_aligned.csv
28,175136047042,751.75,751,914,-62.41,96,13,1248,753,17009,701,3.0997622,1.5,150,02_lde_aligned\frame_0028_aligned.csv
29,181525961865,747.3594,747,883,-62.25,72,13,936,749,16538,697,3.1986902,1.5,150,02_lde_aligned\frame_0029_aligned.csv
30,187915677514,749.6719,749,984,-63.09,88,13,1144,751,18194,699,3.2942613,1.5,150,02_lde_aligned\frame_0030_aligned.csv
31,194305422321,751.6094,751,919,-62.31,96,13,1248,753,17323,701,3.3884411,1.5,150,02_lde_aligned\frame_0031_aligned.csv
32,200695337084,746.7812,746,951,-62.33,92,13,1196,748,17644,696,3.4834835,1.5,150,02_lde_aligned\frame_0032_aligned.csv
33,207085052658,748.4219,748,1125,-63.31,92,13,1196,750,19609,698,3.5939342,1.5,150,02_lde_aligned\frame_0033_aligned.csv
