sample,taps_from_fp,amplitude,amplitude_norm
703,-50.2187,321.29,0.32258
704,-49.2187,160.7,0.16135
705,-48.2187,245.42,0.2464
706,-47.2187,314.3,0.31556
707,-46.2187,430.91,0.43264
708,-45.2187,834.7,0.83805
709,-44.2187,951.32,0.95514
710,-43.2187,541.45,0.54362
711,-42.2187,360.61,0.36205
712,-41.2187,415.03,0.4167
713,-40.2187,49.82,0.05002
714,-39.2187,417.48,0.41916
715,-38.2187,618.02,0.6205
716,-37.2187,594.42,0.5968
717,-36.2187,777.51,0.78063
718,-35.2187,761.94,0.765
719,-34.2187,284.27,0.28541
720,-33.2187,102.96,0.10337
721,-32.2187,412.24,0.4139
722,-31.2187,762.34,0.7654
723,-30.2187,995.38,0.99938
724,-29.2187,596.05,0.59845
725,-28.2187,515.8,0.51787
726,-27.2187,608.71,0.61116
727,-26.2187,192.77,0.19354
728,-25.2187,225.42,0.22632
729,-24.2187,378.67,0.38019
730,-23.2187,87.64,0.08799
731,-22.2187,314.46,0.31572
732,-21.2187,730.73,0.73366
733,-20.2187,641.32,0.6439
734,-19.2187,318.57,0.31985
735,-18.2187,334.22,0.33556
736,-17.2187,161.04,0.16168
737,-16.2187,204.69,0.20551
738,-15.2187,387.4,0.38896
739,-14.2187,453.9,0.45572
740,-13.2187,451.6,0.45342
741,-12.2187,311.22,0.31247
742,-11.2187,267.38,0.26845
743,-10.2187,289.56,0.29072
744,-9.21870000000001,45.04,0.04523
745,-8.21870000000001,202.53,0.20334
746,-7.21870000000001,440.73,0.4425
747,-6.21870000000001,378.55,0.38007
748,-5.21870000000001,151.8,0.15241
749,-4.21870000000001,366.2,0.36767
750,-3.21870000000001,363.66,0.36512
751,-2.21870000000001,146.51,0.1471
752,-1.21870000000001,847.46,0.85086
753,-0.218700000000013,6379.89,6.40551
754,0.781299999999987,15205.02,15.26608
755,1.78129999999999,17297.38,17.36685
756,2.78129999999999,16417.89,16.48383
757,3.78129999999999,14970.8,15.03093
758,4.78129999999999,8954.38,8.99034
759,5.78129999999999,1040.31,1.04449
760,6.78129999999999,2203.02,2.21187
761,7.78129999999999,579.98,0.58231
762,8.78129999999999,1768.06,1.77516
763,9.78129999999999,1996.64,2.00466
764,10.7813,2063.71,2.07199
765,11.7813,1640.28,1.64687
766,12.7813,2042.08,2.05028
767,13.7813,1668.35,1.67505
768,14.7813,1590.02,1.5964
769,15.7813,1679.71,1.68646
770,16.7813,797.52,0.80072
771,17.7813,2544.49,2.55471
772,18.7813,8139.73,8.17242
773,19.7813,10739.41,10.78254
774,20.7813,6588.09,6.61455
775,21.7813,4973.37,4.99334
776,22.7813,4624.97,4.64354
777,23.7813,3248.88,3.26192
778,24.7813,8710.31,8.7453
779,25.7813,9605.53,9.64411
780,26.7813,2521.97,2.5321
781,27.7813,7506.32,7.53647
782,28.7813,6856.49,6.88403
783,29.7813,1267.11,1.2722
784,30.7813,796.91,0.80011
785,31.7813,2567.2,2.57751
786,32.7813,5772.21,5.79539
787,33.7813,4412.81,4.43053
788,34.7813,2137.25,2.14583
789,35.7813,1299.38,1.3046
790,36.7813,2789.46,2.80066
791,37.7813,1692.27,1.69907
792,38.7813,4843.34,4.86279
793,39.7813,7823.29,7.85471
794,40.7813,4471.1,4.48905
795,41.7813,1710,1.71687
796,42.7813,7442.49,7.47238
797,43.7813,6247.27,6.27236
798,44.7813,2141.96,2.15056
799,45.7813,6071.46,6.09584
800,46.7813,3496.39,3.51043
801,47.7813,2210.53,2.2194
802,48.7813,2621.53,2.63205
803,49.7813,3186.42,3.19922
804,50.7813,3921.48,3.93723
805,51.7813,1676.72,1.68346
806,52.7813,1737.7,1.74467
807,53.7813,1959.64,1.96751
808,54.7813,572.18,0.57447
809,55.7813,3336.76,3.35016
810,56.7813,4346.77,4.36423
811,57.7813,2829.88,2.84125
812,58.7813,3085.29,3.09768
813,59.7813,5251.22,5.27231
814,60.7813,4611.27,4.62979
815,61.7813,1383.33,1.38888
816,62.7813,842.39,0.84577
817,63.7813,1304.8,1.31004
818,64.7813,1821.09,1.8284
819,65.7813,2103.57,2.11202
820,66.7813,2044.81,2.05302
821,67.7813,4398.29,4.41596
822,68.7813,4807.92,4.82723
823,69.7813,2199.13,2.20796
824,70.7813,2562.94,2.57323
825,71.7813,2173.79,2.18252
826,72.7813,1379.66,1.3852
827,73.7813,919.49,0.92318
828,74.7813,554.55,0.55678
829,75.7813,64.85,0.06511
830,76.7813,676.75,0.67947
831,77.7813,377.23,0.37874
832,78.7813,1745.72,1.75273
833,79.7813,1449.52,1.45534
834,80.7813,425.03,0.42674
835,81.7813,957.55,0.9614
836,82.7813,597.45,0.59985
837,83.7813,1997.34,2.00536
838,84.7813,1652.96,1.6596
839,85.7813,872.35,0.87585
840,86.7813,694.34,0.69713
841,87.7813,887.76,0.89132
842,88.7813,1101.13,1.10555
843,89.7813,1277.54,1.28267
844,90.7813,2102.02,2.11046
845,91.7813,1917.88,1.92559
846,92.7813,677.91,0.68063
847,93.7813,687.78,0.69054
848,94.7813,310.73,0.31198
849,95.7813,871.75,0.87525
850,96.7813,828.38,0.83171
851,97.7813,678.87,0.6816
852,98.7813,1116.23,1.12072
