taps_from_fp,amplitude_norm_mean,amplitude_norm_sd,n_frames
-50,0.380136003828282,0.105208613330112,99
-49.5,0.310761939171717,0.0986360920602365,99
-49,0.213337571,0.0736760279503452,99
-48.5,0.166062586898989,0.0485930327549684,99
-48,0.174701322606059,0.0685150211839257,99
-47.5,0.20487007261616,0.0886368889343468,99
-47,0.249916806535352,0.0988273521781788,99
-46.5,0.344420035141413,0.107218970724505,99
-46,0.495166295878786,0.109288691152685,99
-45.5,0.66324241371717,0.108605361149255,99
-45,0.792371719979796,0.112285590176217,99
-44.5,0.815147905878787,0.104099824215675,99
-44,0.70322464209091,0.113987833856117,99
-43.5,0.497211599787883,0.106043090340604,99
-43,0.32985662774748,0.0901073475068849,99
-42.5,0.291991468737376,0.0831353344795886,99
-42,0.320333415313131,0.0838353357785668,99
-41.5,0.313562519515152,0.089433311452261,99
-41,0.25284861909091,0.0800786574041045,99
-40.5,0.224921150919193,0.0704527091568224,99
-40,0.31309413480808,0.0998521115313022,99
-39.5,0.480964012717169,0.110763900495831,99
-39,0.626197307535352,0.110523949451361,99
-38.5,0.682053526555556,0.111671378288453,99
-38,0.639454646575758,0.106014194297647,99
-37.5,0.539461837161617,0.100941119834872,99
-37,0.484094705444443,0.102395558873942,99
-36.5,0.544875797505047,0.095019501277319,99
-36,0.643817455404038,0.0987725700740515,99
-35.5,0.662276731797979,0.110670646725095,99
-35,0.548073174414143,0.11210258217731,99
-34.5,0.352488389797984,0.0947419897759109,99
-34,0.198125261737378,0.0640137231197738,99
-33.5,0.136779083565657,0.042722873494266,99
-33,0.156265384909089,0.0514161628967364,99
-32.5,0.256543033979795,0.0842165553436814,99
-32,0.41863434891919,0.100821651164226,99
-31.5,0.585798784939392,0.106310971376329,99
-31,0.71135270191919,0.102846364428527,99
-30.5,0.763636789656565,0.107330170982113,99
-30,0.703467287141415,0.109768788077531,99
-29.5,0.552252169959598,0.100612940679371,99
-29,0.403133127484851,0.0920076699807429,99
-28.5,0.320881490444446,0.0844627791576965,99
-28,0.305832794171718,0.0917739607122787,99
-27.5,0.330378699494949,0.099242362145025,99
-27,0.361370139696968,0.111817555432858,99
-26.5,0.361033979565657,0.107563623102399,99
-26,0.346387496424245,0.0940235057322032,99
-25.5,0.378149272474748,0.0994809515698678,99
-25,0.450786227505049,0.105445869066549,99
-24.5,0.499035089020201,0.102022250411964,99
-24,0.475587565030302,0.103645583765254,99
-23.5,0.375452207000001,0.0951401193186774,99
-23,0.252938806494951,0.0665016693493174,99
-22.5,0.197049256727273,0.0557700331378464,99
-22,0.255606423686867,0.0736600163857665,99
-21.5,0.37824240032323,0.0924346001037974,99
-21,0.458312730040403,0.0953319493973598,99
-20.5,0.441667022232326,0.0944091347811557,99
-20,0.372217211010104,0.0892598750223619,99
-19.5,0.33903042278788,0.0805861490258378,99
-19,0.379253158646463,0.0978087185189116,99
-18.5,0.439855179545453,0.107921128070094,99
-18,0.439471102757576,0.10594061428038,99
-17.5,0.36085508368687,0.101707209911681,99
-17,0.258740868575759,0.0860205794498088,99
-16.5,0.196151065171717,0.063121230185067,99
-16,0.204744981444442,0.0721616178867975,99
-15.5,0.260145773757573,0.0910381707832027,99
-15,0.31188416670707,0.102783968337558,99
-14.5,0.356685321121211,0.104830093048899,99
-14,0.391547534020202,0.103221358926582,99
-13.5,0.380175766454548,0.0999081356704011,99
-13,0.331455195222224,0.0917866365406992,99
-12.5,0.303809325555557,0.0817560803882729,99
-12,0.31985566858586,0.091703978168125,99
-11.5,0.346873916989898,0.0992681667571327,99
-11,0.366812648161615,0.101406605723808,99
-10.5,0.38096072410101,0.103676637617156,99
-10,0.364946546959596,0.101045977077553,99
-9.5,0.300435655010101,0.0931489774699431,99
-9,0.222294341868686,0.0683472285733718,99
-8.5,0.209003581494948,0.0731182772963124,99
-8,0.283052481121212,0.0877139276100836,99
-7.5,0.377731962909091,0.0962693163062358,99
-7,0.425042144646465,0.0991404009888348,99
-6.5,0.405569294717173,0.0904353139309702,99
-6,0.335247214636365,0.0798243428373695,99
-5.5,0.268436669515152,0.0796005529712098,99
-5,0.283445879606061,0.0863751905672032,99
-4.5,0.337134128585858,0.0889486617722766,99
-4,0.331266545494949,0.0854964098968458,99
-3.5,0.276544844,0.0837687296569582,99
-3,0.208700056555555,0.0660309020879722,99
-2.5,0.171578178636363,0.0400056664848992,99
-2,0.262132579737373,0.0615871368501391,99
-1.5,0.718959876606061,0.200165549235295,99
-1,2.04125642369697,0.321915135409641,99
-0.5,4.78915645585858,0.530181493200663,99
0,8.80426294428283,0.582987052870405,99
0.5,12.8654548599899,0.508490252565665,99
1,15.6238444246262,0.406939900244689,99
1.5,16.6837491677374,0.262383538640045,99
2,16.4339769995353,0.279612298856035,99
2.5,15.554929510101,0.414943967885374,99
3,15.0744672770909,0.545812912832406,99
3.5,15.4556314328182,0.43917019135753,99
4,15.7579180136364,0.655731437284607,99
4.5,14.6469738506061,1.02650814811483,99
5,11.4033005722121,1.53104456006605,99
5.5,7.28723186502021,1.59502362567499,99
6,5.34090858570708,1.31806092586829,99
6.5,5.95888564745454,1.08270136636815,99
7,6.28697192915151,1.08176041576531,99
7.5,4.84362239678788,0.837009920364734,99
8,2.76392923920203,0.750154439278595,99
8.5,1.59331165655556,0.615573135826182,99
9,1.55750719031313,0.421800183273721,99
9.5,1.74145750774747,0.444667235942814,99
10,1.70963510592929,0.397477641654412,99
10.5,1.60112875745455,0.264685439688404,99
11,1.36123090251516,0.194083346035177,99
11.5,1.03748410713132,0.232300809202209,99
12,0.930208118010107,0.252541925874973,99
12.5,1.0957735520505,0.210349594163777,99
13,1.21796720468686,0.184885347776109,99
13.5,1.12137232319192,0.193653556375911,99
14,1.01336691335353,0.245190756520545,99
14.5,1.18148738668686,0.240546229521968,99
15,1.52236834943434,0.190802050089636,99
15.5,1.71258495555555,0.15371371673052,99
16,1.61133151952526,0.15126705895157,99
16.5,1.32231698321213,0.13263601356361,99
17,1.2257868269596,0.183373352196823,99
17.5,1.87010174404039,0.294913239481604,99
18,3.55332771034341,0.349815318452945,99
18.5,5.94552647035349,0.349319549993935,99
19,8.20783257663633,0.339339186674197,99
19.5,9.41575201437372,0.394847339015382,99
20,9.03732414308081,0.367885544898336,99
20.5,7.43432660897983,0.400422784883504,99
21,5.77171609860609,0.463459825826319,99
21.5,4.95127182821213,0.421932455416449,99
22,4.77482698883838,0.398833987414916,99
22.5,4.47713172262627,0.372632111486327,99
23,3.89054612074748,0.287700418473774,99
23.5,3.8005364620101,0.372949968463099,99
24,5.03577236865655,0.455037318432395,99
24.5,7.29933065811107,0.358018436332402,99
25,9.17766367585856,0.434591937669696,99
25.5,9.30457329020203,0.518972628487884,99
26,7.28808673283842,0.606305885578847,99
26.5,4.39668892815157,0.786700445024211,99
27,3.3216460898485,1.03925537704893,99
27.5,4.82199499818178,0.566865766431866,99
28,6.56185832472725,0.467997160241091,99
28.5,6.65114102776768,0.499090180470132,99
29,5.10683235292932,0.390591601532366,99
29.5,2.9090081216061,0.324611051361531,99
30,1.27912486044447,0.390677288310368,99
30.5,0.718881505121213,0.190204968926154,99
31,0.877900076333328,0.20841056326418,99
31.5,1.66042755471716,0.307763490664635,99
32,3.08328865778786,0.30806276245305,99
32.5,4.42738748490907,0.314686727419543,99
33,4.91835975627272,0.223115881076898,99
33.5,4.50370763760607,0.232412662601277,99
34,3.63828861153537,0.221180865468448,99
34.5,2.73485158926264,0.196932091591419,99
35,1.93834974155556,0.17981767886638,99
35.5,1.44242009661617,0.180857120684008,99
36,1.54298603688889,0.229743939516526,99
36.5,2.09168661580807,0.236281676632418,99
37,2.48302963548484,0.234258414446127,99
37.5,2.52550723638384,0.245897311273045,99
38,2.85493023116161,0.320756039670477,99
38.5,4.09241823792927,0.355462208092095,99
39,5.79845121737371,0.406082756610865,99
39.5,6.87856968353534,0.375158866008812,99
40,6.66051900108082,0.429731126588357,99
40.5,5.20102589545457,0.394229417919498,99
41,3.14258407738387,0.422272678547875,99
41.5,1.84902758336366,0.714916431566974,99
42,2.50846862087878,0.509277483619996,99
42.5,4.37273383470704,0.390866817419724,99
43,5.6684396321111,0.43297471989497,99
43.5,5.53434447376769,0.403766585204094,99
44,4.4063017798586,0.388084602458583,99
44.5,3.67741634753536,0.445199652663894,99
45,4.24945030751514,0.363926521758289,99
45.5,5.35793458675756,0.356980221861828,99
46,5.66057137945454,0.42134574247965,99
46.5,4.77790591688891,0.348155458758999,99
47,3.44943667467679,0.306627207789972,99
47.5,2.66639675574748,0.299410587214574,99
48,2.67915275409091,0.29497369395291,99
48.5,2.90942133369697,0.30727368699796,99
49,3.00305109432323,0.284623407783194,99
49.5,3.21275219570706,0.26344776030713,99
50,3.56862111182827,0.24013742458912,99
50.5,3.63168186913131,0.273294422315044,99
51,3.00976619031314,0.27338747922686,99
51.5,1.89254117380811,0.254599571649346,99
52,1.18018083023234,0.417417738308538,99
52.5,1.45768700241413,0.275440583293655,99
53,2.1322255161313,0.257484609112704,99
53.5,2.44362314120202,0.185830633842713,99
54,2.19680455145455,0.193668142833419,99
54.5,1.49831477598991,0.210169759827112,99
55,1.02767282964647,0.355579610493142,99
55.5,1.51757984845453,0.281194039006398,99
56,2.61689670767675,0.243098213960137,99
56.5,3.45931248018181,0.214016144666379,99
57,3.60346771650505,0.23903716379266,99
57.5,3.15119988622224,0.201513486687135,99
58,2.71126124112123,0.186135962538975,99
58.5,2.92099549671717,0.25393613248168,99
59,3.83432614790907,0.323143601963143,99
59.5,4.80754731489897,0.360180558684414,99
60,5.14721464444444,0.262517589088684,99
60.5,4.66896471804041,0.275324764060805,99
61,3.56894740497981,0.231901633575719,99
61.5,2.23119060094952,0.205583356257493,99
62,1.10455267606062,0.211264854872174,99
62.5,0.650444719606065,0.25333080437712,99
63,0.9268869170505,0.160969047465703,99
63.5,1.39130529031312,0.165559741057921,99
64,1.66686837932323,0.187001105757731,99
64.5,1.8561533530707,0.227514737705217,99
65,2.00476361735353,0.236686552907427,99
65.5,1.96913865150505,0.20660700632441,99
66,1.77462952236364,0.202752950883242,99
66.5,1.78385638045455,0.253779154427314,99
67,2.34342727649494,0.311697651599043,99
67.5,3.19612700333332,0.359020596376367,99
68,3.80011232620279,0.346432986503843,99
68.5,3.91303184187568,0.339987463004658,99
69,3.48994530251827,0.264001543307014,99
69.5,2.78176785222145,0.283443925945273,99
70,2.39044818540948,0.293273659952375,99
70.5,2.57141396907225,0.236035024440139,99
71,2.83150026071484,0.231307717849245,99
71.5,2.63945637476147,0.21087546780884,99
72,2.02505322674749,0.242856383056742,99
72.5,1.37007081514764,0.253266382655617,99
73,0.971039464285165,0.252422045398938,99
73.5,0.811588516503497,0.241393178781357,99
