FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
1,2014024435,753.5156,753,1123,-62.21,112,13,1456,755,18286,703,0.3834677,1.5,150,02_lde_aligned\frame_0001_aligned.csv
2,8403824625,748.8594,748,986,-62.23,112,13,1456,751,16916,698,0.4769964,1.5,150,02_lde_aligned\frame_0002_aligned.csv
3,14793624789,753.9219,753,965,-62.08,120,13,1560,756,16518,703,0.5719588,1.5,150,02_lde_aligned\frame_0003_aligned.csv
4,21183547834,749.25,749,1022,-61.47,112,13,1456,751,18135,699,0.6767637,1.5,150,02_lde_aligned\frame_0004_aligned.csv
5,27573347944,750.9687,750,1040,-61.39,124,13,1612,752,17248,700,0.7832367,1.5,150,02_lde_aligned\frame_0005_aligned.csv
6,33963148034,746.25,746,949,-61.41,112,13,1456,748,16903,696,0.8762364,1.5,150,02_lde_aligned\frame_0006_aligned.csv
7,40352872307,747.5156,747,1038,-61.29,116,13,1508,751,17496,697,0.9805086,1.5,150,02_lde_aligned\frame_0007_aligned.csv
8,46742625197,748.2969,748,1039,-61.75,124,13,1612,750,18191,698,1.083373,1.5,150,02_lde_aligned\frame_0008_aligned.csv
9,53132548031,748.9531,748,987,-62.28,124,13,1612,751,16891,698,1.1787015,1.5,150,02_lde_aligned\frame_0009_aligned.csv
10,59522272155,748.3906,748,960,-61.39,104,13,1352,752,17034,698,1.2739331,1.5,150,02_lde_aligned\frame_0010_aligned.csv
11,65912024911,747.0781,747,1025,-62.75,124,13,1612,749,17398,697,1.3696271,1.5,150,02_lde_aligned\frame_0011_aligned.csv
12,72301947621,754.0469,754,919,-62.27,120,13,1560,756,16540,704,1.4814027,1.5,150,02_lde_aligned\frame_0012_aligned.csv
13,78691671632,751.7187,751,1038,-61.67,116,13,1508,753,17975,701,1.5698812,1.5,150,02_lde_aligned\frame_0013_aligned.csv
14,85081424280,748.0937,748,936,-62.4,120,13,1560,750,16566,698,1.6663073,1.5,150,02_lde_aligned\frame_0014_aligned.csv
15,91471346858,753.5,753,967,-61.65,116,13,1508,755,17414,703,1.7752438,1.5,150,02_lde_aligned\frame_0015_aligned.csv
16,97861087147,748.8906,748,984,-61.99,104,13,1352,750,17013,698,1.870939,1.5,150,02_lde_aligned\frame_0016_aligned.csv
17,104250886787,751.7656,751,987,-62.09,100,13,1300,755,17173,701,1.9827249,1.5,150,02_lde_aligned\frame_0017_aligned.csv
18,110640686384,747.0937,747,962,-62.31,92,13,1196,751,16770,697,2.0706155,1.5,150,02_lde_aligned\frame_0018_aligned.csv
19,117030469046,748.3594,748,1101,-63.02,132,13,1716,750,19060,698,2.1810807,1.5,150,02_lde_aligned\frame_0019_aligned.csv
20,123420268590,750.2344,750,958,-63.06,128,13,1664,752,16518,700,2.2760193,1.5,138,02_lde_aligned\frame_0020_aligned.csv
21,129810068074,751.9219,751,1094,-63.05,136,13,1768,753,18318,701,2.3715711,1.5,150,02_lde_aligned\frame_0021_aligned.csv
22,136199820445,752.1719,752,977,-62,104,13,1352,754,16762,702,2.4823104,1.5,150,02_lde_aligned\frame_0022_aligned.csv
23,142589742761,752.7344,752,1008,-62.13,120,13,1560,754,17713,702,2.572579,1.5,150,02_lde_aligned\frame_0023_aligned.csv
24,148979466372,751.6562,751,945,-62.65,116,13,1508,753,16465,701,2.6676445,1.5,150,02_lde_aligned\frame_0024_aligned.csv
25,155369218619,751.7656,751,1094,-61.85,120,13,1560,754,18384,701,2.7796848,1.5,150,02_lde_aligned\frame_0025_aligned.csv
26,161759140856,749.7187,749,1004,-61.61,112,13,1456,754,16948,699,2.8738484,1.5,150,02_lde_aligned\frame_0026_aligned.csv
27,168148864368,747.9687,747,998,-61.97,108,13,1404,752,17078,697,2.9697785,1.5,150,02_lde_aligned\frame_0027_aligned.csv
28,174538616517,752.7969,752,976,-62.28,112,13,1456,754,16574,702,3.0802848,1.5,150,02_lde_aligned\frame_0028_aligned.csv
29,180928538618,749.5469,749,1021,-63.1,120,13,1560,752,17501,699,3.1814033,1.5,150,02_lde_aligned\frame_0029_aligned.csv
30,187318278429,745.9219,745,980,-62.16,116,13,1508,748,16593,695,3.2826689,1.5,150,02_lde_aligned\frame_0030_aligned.csv
31,193708077569,750.7344,750,954,-62.4,104,13,1352,752,16820,700,3.3759981,1.5,150,02_lde_aligned\frame_0031_aligned.csv
32,200097876696,753.3437,753,1033,-61.52,120,13,1560,755,18209,703,3.4710096,1.5,150,02_lde_aligned\frame_0032_aligned.csv
33,206487658870,747.6875,747,1045,-61.64,120,13,1560,750,18106,697,3.582324,1.5,150,02_lde_aligned\frame_0033_aligned.csv
34,212877457941,749.9219,749,958,-61.81,112,13,1456,752,16844,699,3.6784656,1.5,150,02_lde_aligned\frame_0034_aligned.csv
35,219267256934,752.1875,752,1003,-62.33,116,13,1508,755,16600,702,3.7708802,1.5,150,02_lde_aligned\frame_0035_aligned.csv
36,225657055928,753.2187,753,996,-62.63,116,13,1508,756,16669,703,3.8818457,1.5,150,02_lde_aligned\frame_0036_aligned.csv
37,232046807769,745.7344,745,1087,-62.26,136,13,1768,748,18376,695,3.9765009,1.5,150,02_lde_aligned\frame_0037_aligned.csv
38,238436729567,746.2031,746,987,-62.5,124,13,1612,748,17726,696,4.0711005,1.5,150,02_lde_aligned\frame_0038_aligned.csv
39,244826452680,753.7187,753,954,-62.62,116,13,1508,755,16673,703,4.1807552,1.5,150,02_lde_aligned\frame_0039_aligned.csv
40,251216204423,751.9531,751,962,-62.65,120,13,1560,754,16947,701,4.2690292,1.5,150,02_lde_aligned\frame_0040_aligned.csv
41,257606126118,751.1875,751,1019,-62.51,116,13,1508,754,17118,701,4.3810147,1.5,150,02_lde_aligned\frame_0041_aligned.csv
42,263995849136,749.0937,749,963,-62.54,128,13,1664,751,17131,699,4.4765529,1.5,150,02_lde_aligned\frame_0042_aligned.csv
43,270385600766,745.9375,745,1070,-62.54,136,13,1768,747,17959,695,4.5715699,1.5,150,02_lde_aligned\frame_0043_aligned.csv
44,276775522371,751.0156,751,1062,-62.77,124,13,1612,753,17891,701,4.6672843,1.5,150,02_lde_aligned\frame_0044_aligned.csv
45,283165245276,747.9062,747,998,-62.28,124,13,1612,750,17704,697,4.7691705,1.5,150,02_lde_aligned\frame_0045_aligned.csv
46,289554996317,751.4219,751,991,-61.74,124,13,1612,753,17569,701,4.8799531,1.5,150,02_lde_aligned\frame_0046_aligned.csv
47,295944794951,747.2031,747,976,-61.99,124,13,1612,750,17313,697,4.9708721,1.5,150,02_lde_aligned\frame_0047_aligned.csv
48,302334593559,750.9531,750,953,-62.49,124,13,1612,753,17129,700,5.0666124,1.5,150,02_lde_aligned\frame_0048_aligned.csv
49,308724392128,752.9687,752,932,-62.87,124,13,1612,755,16627,702,5.1775491,1.5,150,02_lde_aligned\frame_0049_aligned.csv
