sample,taps_from_fp,amplitude,amplitude_norm
702,-50.0155999999999,296.95,0.27344
703,-49.0155999999999,215.23,0.19819
704,-48.0155999999999,147,0.13536
705,-47.0155999999999,295.66,0.27224
706,-46.0155999999999,500.92,0.46125
707,-45.0155999999999,914.33,0.84192
708,-44.0155999999999,910.42,0.83833
709,-43.0155999999999,372.84,0.34332
710,-42.0155999999999,173.37,0.15964
711,-41.0155999999999,142.62,0.13132
712,-40.0155999999999,280.96,0.25871
713,-39.0155999999999,554.24,0.51035
714,-38.0155999999999,593.93,0.5469
715,-37.0155999999999,229.27,0.21111
716,-36.0155999999999,717.15,0.66036
717,-35.0155999999999,661.8,0.60939
718,-34.0155999999999,191.98,0.17678
719,-33.0155999999999,137.88,0.12697
720,-32.0155999999999,369.42,0.34017
721,-31.0155999999999,809.7,0.74558
722,-30.0155999999999,870.82,0.80186
723,-29.0155999999999,496,0.45672
724,-28.0155999999999,367.53,0.33842
725,-27.0155999999999,439.73,0.40491
726,-26.0155999999999,430.55,0.39645
727,-25.0155999999999,539.51,0.49679
728,-24.0155999999999,565.67,0.52088
729,-23.0155999999999,306.28,0.28202
730,-22.0155999999999,283.13,0.26071
731,-21.0155999999999,589.84,0.54313
732,-20.0155999999999,327.99,0.30202
733,-19.0155999999999,231.25,0.21294
734,-18.0155999999999,366.7,0.33766
735,-17.0155999999999,287.47,0.2647
736,-16.0155999999999,92.44,0.08512
737,-15.0155999999999,241.46,0.22234
738,-14.0155999999999,334.93,0.30841
739,-13.0155999999999,269.7,0.24835
740,-12.0155999999999,296.28,0.27282
741,-11.0155999999999,297.55,0.27399
742,-10.0155999999999,333.31,0.30692
743,-9.01559999999995,245.36,0.22593
744,-8.01559999999995,397.76,0.36626
745,-7.01559999999995,506.97,0.46682
746,-6.01559999999995,555.42,0.51143
747,-5.01559999999995,121.21,0.11161
748,-4.01559999999995,182.22,0.16779
749,-3.01559999999995,107.19,0.0987
750,-2.01559999999995,363.69,0.33489
751,-1.01559999999995,1777.56,1.63679
752,-0.0155999999999494,9422.1,8.67597
753,0.984400000000051,17761.57,16.35504
754,1.98440000000005,18625.49,17.15055
755,2.98440000000005,15706.02,14.46226
756,3.98440000000005,16926.35,15.58596
