taps_from_fp,amplitude_norm_diff,background_mean,phase2_mean,n_background,n_phase2
-50,0.0125269827080174,0.281273879635416,0.293800862343433,96,99
-49.5,0.0072994235593439,0.235253425541666,0.24255284910101,96,99
-49,0.000939906310923333,0.180291451406249,0.181231357717172,96,99
-48.5,-0.00223848141193297,0.161265245927083,0.15902676451515,96,99
-48,0.00233522611363565,0.169446915583333,0.171782141696969,96,99
-47.5,0.00663614363099732,0.187071818510417,0.193707962141414,96,99
-47,0.0156537588112375,0.2120355745625,0.227689333373738,96,99
-46.5,0.0207069445852228,0.280798754020835,0.301505698606058,96,99
-46,0.0261158584681138,0.408976248218753,0.435092106686866,96,99
-45.5,0.017467135000942,0.588471753302086,0.605938888303028,96,99
-45,-0.000636983497797172,0.755298694427086,0.754661710929289,96,99
-44.5,-0.00489688970264801,0.809187491520832,0.804290601818184,96,99
-44,-0.0215039920972202,0.731566951874998,0.710062959777778,96,99
-43.5,-0.020311093320701,0.535887027249997,0.515575933929296,96,99
-43,-0.00535224965561071,0.340986861968748,0.335634612313137,96,99
-42.5,-0.00129533087721101,0.267182510281251,0.26588717940404,96,99
-42,0.00200112143276332,0.276670993718751,0.278672115151515,96,99
-41.5,0.00176561980524181,0.268167277427083,0.269932897232325,96,99
-41,-0.00208535461331649,0.215794927906248,0.213709573292932,96,99
-40.5,-0.00196117204955837,0.188614700968749,0.186653528919191,96,99
-40,0.018852947099115,0.232382975062501,0.251235922161616,96,99
-39.5,0.0376066206575082,0.341590662968753,0.379197283626261,96,99
-39,0.0460777018535298,0.454937036166669,0.501014738020199,96,99
-38.5,0.0475695597683071,0.515714571645835,0.563284131414142,96,99
-38,0.0296326315028403,0.518125578739584,0.547758210242424,96,99
-37.5,0.0154307716543556,0.46884847340625,0.484279245060605,96,99
-37,0.0151360762083365,0.437002186458332,0.452138262666668,96,99
-36.5,0.00376699710826767,0.510635564427083,0.514402561535351,96,99
-36,-0.0106538214738069,0.617173627635419,0.606519806161612,96,99
-35.5,-0.0144067219529617,0.616659757781249,0.602253035828287,96,99
-35,-0.0301248073049178,0.492691201729163,0.462566394424246,96,99
-34.5,-0.026923216263569,0.305010457697914,0.278087241434345,96,99
-34,-0.0049950699930508,0.168467968770832,0.163472898777781,96,99
-33.5,0.00215240742550349,0.130597113625001,0.132749521050504,96,99
-33,0.00906612994192105,0.140990966249999,0.15005709619192,96,99
-32.5,0.00507992203503282,0.221801396843751,0.226881318878784,96,99
-32,0.00466237035258094,0.369209663364587,0.373872033717168,96,99
-31.5,0.00451535823926297,0.532818767104169,0.537334125343432,96,99
-31,0.00378908004481771,0.669345701520836,0.673134781565654,96,99
-30.5,0.0144023658740556,0.725776334156249,0.740178700030305,96,99
-30,0.013259089363954,0.673036045989581,0.686295135353535,96,99
-29.5,0.0202113346988684,0.526310240937497,0.546521575636366,96,99
-29,0.029268482231697,0.385597323354165,0.414865805585862,96,99
-28.5,0.0267583199605445,0.313155084968749,0.339913404929294,96,99
-28,0.0164290245678689,0.288957030593749,0.305386055161618,96,99
-27.5,-0.00376031722443265,0.30336545940625,0.299605142181818,96,99
-27,-0.0117125634523386,0.329155809593752,0.317443246141413,96,99
-26.5,-0.00609858440246236,0.327101181281251,0.321002596878788,96,99
-26,-0.00162423791477206,0.326933095854167,0.325308857939395,96,99
-25.5,-0.00782975633964988,0.383542043541669,0.375712287202019,96,99
-25,-0.00951243026736448,0.463396708489585,0.45388427822222,96,99
-24.5,0.00527849536174435,0.494847170395833,0.500125665757577,96,99
-24,0.0155766372642059,0.451646263947915,0.46722290121212,96,99
-23.5,0.0259557114457116,0.328872718958331,0.354828430404042,96,99
-23,0.017819807196977,0.208151143499996,0.225970950696973,96,99
-22.5,-0.0202260167560013,0.210478276947917,0.190252260191916,96,99
-22,-0.0382795130940715,0.31323909310417,0.274959580010099,96,99
-21.5,-0.0376750362875664,0.430221590822919,0.392546554535352,96,99
-21,-0.0335038482793607,0.490978534885418,0.457474686606058,96,99
-20.5,-0.0172554689112979,0.453030704072916,0.435775235161618,96,99
-20,-0.0093135264725332,0.373204149593748,0.363890623121215,96,99
-19.5,-0.0170496489340274,0.33526978815625,0.318220139222223,96,99
-19,-0.0219324158087125,0.357783515687501,0.335851099878788,96,99
-18.5,-0.0140684800530297,0.38997994675,0.37591146669697,96,99
-18,-0.00527009701546655,0.373645757843749,0.368375660828282,96,99
-17.5,0.00273707052872801,0.302569485885415,0.305306556414143,96,99
-17,0.0041741228655347,0.221910243437498,0.226084366303032,96,99
-16.5,-0.00393605430871383,0.175787440187501,0.171851385878787,96,99
-16,-0.00927284848137841,0.179447742218751,0.170174893737373,96,99
-15.5,-0.0134268417711509,0.223261764114583,0.209834922343432,96,99
-15,-0.0052310563030325,0.263305781666667,0.258074725363634,96,99
-14.5,0.00599101657922885,0.29153807721875,0.297529093797979,96,99
-14,0.00628334381818035,0.321964085333334,0.328247429151515,96,99
-13.5,-0.00465008050599824,0.352278849031252,0.347628768525253,96,99
-13,-0.0160586640795462,0.382786732958335,0.366728068878789,96,99
-12.5,-0.0109002596499371,0.402660311114584,0.391760051464647,96,99
-12,0.00338859908964662,0.395734507374999,0.399123106464646,96,99
-11.5,0.0245681138879451,0.349648695364581,0.374216809252526,96,99
-11,0.0372849488456475,0.295908307427081,0.333193256272729,96,99
-10.5,0.0314990854990542,0.273018933197916,0.30451801869697,96,99
