FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
1,4769918978,746.625,746,966,-62.37,100,13,1300,748,16856,696,0.4398819,1.5,150,02_lde_aligned\frame_0001_aligned.csv
2,11159826101,749.6719,749,1006,-62.61,108,13,1404,751,17647,699,0.5334744,1.5,150,02_lde_aligned\frame_0002_aligned.csv
3,17549534062,752.5625,752,965,-62.57,96,13,1248,754,16587,702,0.6290491,1.5,150,02_lde_aligned\frame_0003_aligned.csv
4,23939271239,748.5781,748,1053,-62.54,112,13,1456,750,18327,698,0.7246673,1.5,150,02_lde_aligned\frame_0004_aligned.csv
5,30329178375,750.8281,750,1022,-62.57,108,13,1404,752,17621,700,0.8316509,1.5,150,02_lde_aligned\frame_0005_aligned.csv
6,36718886348,746.6562,746,1060,-62.64,112,13,1456,748,18286,696,0.943238,1.5,150,02_lde_aligned\frame_0006_aligned.csv
7,43108623489,748.6094,748,1082,-62.68,108,13,1404,750,18605,698,1.0312964,1.5,150,02_lde_aligned\frame_0007_aligned.csv
8,49498530597,750.9219,750,1071,-62.38,116,13,1508,752,17743,700,1.1262671,1.5,150,02_lde_aligned\frame_0008_aligned.csv
9,55888239041,745.9844,745,1013,-62.38,108,13,1404,747,17099,695,1.2331493,1.5,150,02_lde_aligned\frame_0009_aligned.csv
10,62277975660,748.6562,748,1050,-62.68,100,13,1300,750,17705,698,1.3286762,1.5,150,02_lde_aligned\frame_0010_aligned.csv
11,68667882738,751,751,1026,-62.29,104,13,1352,752,17272,701,1.424182,1.5,150,02_lde_aligned\frame_0011_aligned.csv
12,75057607564,753.2812,753,1056,-62.88,104,13,1352,755,18258,703,1.526561,1.5,150,02_lde_aligned\frame_0012_aligned.csv
13,81447374866,747.625,747,966,-62.59,108,13,1404,749,16652,697,1.6400416,1.5,150,02_lde_aligned\frame_0013_aligned.csv
14,87837111960,749.7187,749,992,-62.51,108,13,1404,751,17432,699,1.7304836,1.5,150,02_lde_aligned\frame_0014_aligned.csv
15,94227019036,751.9062,751,1009,-62.64,104,13,1352,754,17188,701,1.8242159,1.5,150,02_lde_aligned\frame_0015_aligned.csv
16,100616726939,753.5156,753,1058,-62.65,108,13,1404,755,16851,703,1.9361202,1.5,150,02_lde_aligned\frame_0016_aligned.csv
17,107006464008,746.9687,746,1048,-62.2,104,13,1352,748,17680,696,2.0296716,1.5,150,02_lde_aligned\frame_0017_aligned.csv
18,113396371069,748.9219,748,1020,-62.59,108,13,1404,751,17461,698,2.1261202,1.5,150,02_lde_aligned\frame_0018_aligned.csv
19,119786079478,750.8125,750,1032,-62.95,100,13,1300,753,17467,700,2.231803,1.5,150,02_lde_aligned\frame_0019_aligned.csv
20,126175816008,752.7187,752,1048,-62.98,108,13,1404,755,17752,702,2.3313043,1.5,150,02_lde_aligned\frame_0020_aligned.csv
21,132565723087,746.7031,746,1064,-62.41,108,13,1404,748,18262,696,2.4265507,1.5,150,02_lde_aligned\frame_0021_aligned.csv
22,138955431465,747.8594,747,1002,-62.42,100,13,1300,749,17417,697,2.5389765,1.5,150,02_lde_aligned\frame_0022_aligned.csv
23,145345168038,749.6875,749,1058,-62.69,100,13,1300,751,17537,699,2.6329514,1.5,150,02_lde_aligned\frame_0023_aligned.csv
24,151734952194,751,751,987,-62.47,112,13,1456,753,16806,701,2.7266666,1.5,150,02_lde_aligned\frame_0024_aligned.csv
25,158124859258,752.25,752,1110,-62.16,116,13,1508,754,18780,702,2.8238953,1.5,150,02_lde_aligned\frame_0025_aligned.csv
26,164514567152,746.8437,746,1026,-62.55,108,13,1404,748,17637,696,2.9357605,1.5,150,02_lde_aligned\frame_0026_aligned.csv
27,170904304227,748.0156,748,1029,-62.55,104,13,1352,750,17715,698,3.0306454,1.5,150,02_lde_aligned\frame_0027_aligned.csv
28,177294211296,750.8437,750,1017,-62.49,104,13,1352,752,17492,700,3.126111,1.5,150,02_lde_aligned\frame_0028_aligned.csv
29,183683919204,752.0312,752,1085,-62.28,116,13,1508,753,18045,702,3.2372924,1.5,149,02_lde_aligned\frame_0029_aligned.csv
30,190073656295,747.0781,747,1039,-62.49,112,13,1456,749,17888,697,3.3274454,1.5,150,02_lde_aligned\frame_0030_aligned.csv
31,196463563386,749.125,749,1135,-62.35,124,13,1612,750,18046,699,3.4385129,1.5,150,02_lde_aligned\frame_0031_aligned.csv
32,202853271299,750.5156,750,1040,-62.76,96,13,1248,753,16968,700,3.5330883,1.5,150,02_lde_aligned\frame_0032_aligned.csv
33,209243008401,753.3594,753,1099,-62.58,108,13,1404,755,18035,703,3.6276025,1.5,150,02_lde_aligned\frame_0033_aligned.csv
34,215632915501,747.0469,747,1014,-62.47,104,13,1352,749,17350,697,3.7373694,1.5,150,02_lde_aligned\frame_0034_aligned.csv
35,222022623412,750.1562,750,993,-62.83,100,13,1300,752,17283,700,3.8342929,1.5,150,02_lde_aligned\frame_0035_aligned.csv
