sample,taps_from_fp,amplitude,amplitude_norm
701,-50.4062,492.56,0.44901
702,-49.4062,447.57,0.408
703,-48.4062,121.12,0.11041
704,-47.4062,106.53,0.09711
705,-46.4062,125.96,0.11482
706,-45.4062,663.28,0.60463
707,-44.4062,995.13,0.90713
708,-43.4062,463.83,0.42282
709,-42.4062,325.52,0.29674
710,-41.4062,472.62,0.43083
711,-40.4062,272.03,0.24798
712,-39.4062,660.45,0.60205
713,-38.4062,979.1,0.89252
714,-37.4062,793.01,0.72289
715,-36.4062,527.27,0.48064
716,-35.4062,696.52,0.63493
717,-34.4062,159.02,0.14496
718,-33.4062,228.47,0.20827
719,-32.4062,75.43,0.06876
720,-31.4062,497.08,0.45312
721,-30.4062,829.78,0.75641
722,-29.4062,424.13,0.38663
723,-28.4062,306.65,0.27953
724,-27.4062,431.65,0.39349
725,-26.4062,387.09,0.35286
726,-25.4062,603.26,0.54991
727,-24.4062,725.63,0.66147
728,-23.4062,406.1,0.37019
729,-22.4062,104.86,0.09559
730,-21.4062,492.92,0.44933
731,-20.4062,501.98,0.45759
732,-19.4062,452.05,0.41208
733,-18.4062,597.99,0.54511
734,-17.4062,446.86,0.40735
735,-16.4062,317.19,0.28914
736,-15.4062,186.01,0.16956
737,-14.4062,124.17,0.11319
738,-13.4062,271.75,0.24772
739,-12.4062,423.76,0.38629
740,-11.4062,434.17,0.39578
741,-10.4062,350.22,0.31925
742,-9.40620000000001,442.35,0.40324
743,-8.40620000000001,177.89,0.16216
744,-7.40620000000001,357.36,0.32576
745,-6.40620000000001,466.69,0.42543
746,-5.40620000000001,334.01,0.30448
747,-4.40620000000001,410.33,0.37405
748,-3.40620000000001,288.68,0.26316
749,-2.40620000000001,123.48,0.11256
750,-1.40620000000001,425.44,0.38782
751,-0.406200000000013,4750.84,4.33075
752,0.593799999999987,14818.21,13.50794
753,1.59379999999999,18663.27,17.013
754,2.59379999999999,16999.42,15.49628
755,3.59379999999999,16602.09,15.13408
756,4.59379999999999,16287.2,14.84704
757,5.59379999999999,5683.75,5.18118
758,6.59379999999999,5521.16,5.03296
759,7.59379999999999,3151.15,2.87252
760,8.59379999999999,2002.02,1.82499
761,9.59379999999999,2039.77,1.8594
762,10.5938,1692.19,1.54256
763,11.5938,1142.11,1.04113
764,12.5938,1917.5,1.74795
765,13.5938,1938.5,1.76709
766,14.5938,1652.53,1.50641
767,15.5938,1824.08,1.66278
768,16.5938,943.12,0.85973
769,17.5938,1153.1,1.05114
770,18.5938,7167.93,6.53412
771,19.5938,12089.95,11.02092
772,20.5938,7830.55,7.13815
773,21.5938,4360.07,3.97454
774,22.5938,5426.16,4.94637
775,23.5938,3673.75,3.3489
776,24.5938,7678.63,6.99967
777,25.5938,10577.41,9.64213
778,26.5938,4638.23,4.22811
779,27.5938,5754.24,5.24544
780,28.5938,7307,6.66089
781,29.5938,2397.48,2.18549
782,30.5938,1606.8,1.46472
783,31.5938,1548.88,1.41192
784,32.5938,5976.15,5.44772
785,33.5938,5419.34,4.94014
786,34.5938,2896.13,2.64004
787,35.5938,1014.89,0.92515
788,36.5938,1061.8,0.96791
789,37.5938,1431.77,1.30517
790,38.5938,5500.62,5.01424
791,39.5938,9479.55,8.64134
792,40.5938,5915.19,5.39215
793,41.5938,824.84,0.7519
794,42.5938,7061.99,6.43755
795,43.5938,8314.99,7.57975
796,44.5938,4084.7,3.72352
797,45.5938,6871.88,6.26425
798,46.5938,5138.76,4.68437
799,47.5938,1064.86,0.9707
800,48.5938,3062.64,2.79183
801,49.5938,2880.49,2.62579
802,50.5938,3817.48,3.47993
803,51.5938,2490.51,2.27029
804,52.5938,1607.73,1.46557
805,53.5938,2742.84,2.50031
806,54.5938,1771.88,1.61521
807,55.5938,1633.55,1.48911
808,56.5938,3851.21,3.51067
809,57.5938,3152.34,2.8736
810,58.5938,3165.37,2.88548
811,59.5938,4385.61,3.99782
812,60.5938,4664.31,4.25188
813,61.5938,1962.37,1.78885
814,62.5938,764.11,0.69655
815,63.5938,2360.6,2.15187
816,64.5938,3015,2.74841
817,65.5938,3032.25,2.76413
818,66.5938,2157.23,1.96648
819,67.5938,3195.81,2.91323
820,68.5938,3815.96,3.47854
821,69.5938,1936.57,1.76533
822,70.5938,2791.24,2.54443
823,71.5938,2283.49,2.08158
824,72.5938,1702.97,1.55239
825,73.5938,1908.27,1.73954
826,74.5938,1497.88,1.36543
827,75.5938,875.62,0.7982
828,76.5938,629.34,0.57369
829,77.5938,424.2,0.38669
830,78.5938,1467.51,1.33775
831,79.5938,1578,1.43847
832,80.5938,394.32,0.35945
833,81.5938,1212.78,1.10554
834,82.5938,271.12,0.24714
835,83.5938,2098.01,1.9125
836,84.5938,1732.29,1.57911
837,85.5938,551.85,0.50305
838,86.5938,722.86,0.65894
839,87.5938,932.82,0.85034
840,88.5938,933,0.8505
841,89.5938,955.6,0.8711
842,90.5938,2071.93,1.88872
843,91.5938,1367.23,1.24633
844,92.5938,727.33,0.66302
845,93.5938,995.83,0.90778
846,94.5938,375.29,0.34211
847,95.5938,815.38,0.74328
848,96.5938,896.8,0.81751
849,97.5938,843.76,0.76915
850,98.5938,1064.12,0.97002
