taps_from_fp,amplitude_norm_diff,background_mean,phase2_mean,n_background,n_phase2
-50,-0.139064633209168,0.362164710729168,0.22310007752,96,100
-49.5,-0.0647312612208344,0.293933837520835,0.2292025763,96,100
-49,0.0189811578824992,0.203005239937501,0.22198639782,96,100
-48.5,0.0461910367116657,0.157645678208335,0.20383671492,96,100
-48,0.0071322010670819,0.169119509572918,0.17625171064,96,100
-47.5,-0.0338280374854169,0.200868594385417,0.1670405569,96,100
-47,-0.0590393545537501,0.24939373909375,0.19035438454,96,100
-46.5,-0.0847366262579181,0.341112198447916,0.256375572189998,96,100
-46,-0.103017113798753,0.493094547968749,0.390077434169996,96,100
-45.5,-0.092015778986252,0.673088360906249,0.581072581919997,96,100
-45,-0.054267324417084,0.814086787177082,0.759819462759998,96,100
-44.5,-0.031299913897083,0.850978865427084,0.819678951530001,96,100
-44,-0.0163672556295805,0.733506038489585,0.717138782860004,96,100
-43.5,-0.00343631565291513,0.516307632322918,0.512871316670003,96,100
-43,7.95441954181686e-05,0.338199258614582,0.33827880281,96,100
-42.5,0.0172674512091691,0.295813059270831,0.31308051048,96,100
-42,0.0386079319662512,0.33171185034375,0.370319782310001,96,100
-41.5,0.0410213858108349,0.322833284979167,0.363854670790002,96,100
-41,0.0397954162658332,0.256047996604167,0.29584341287,96,100
-40.5,0.0489099666870824,0.220593501822916,0.269503468509999,96,100
-40,0.0435403128487483,0.304692434531249,0.348232747379997,96,100
-39.5,0.0275960098391647,0.464637872770833,0.492233882609998,96,100
-39,0.0141152161512509,0.592338772718749,0.60645398887,96,100
-38.5,-0.0127180291762491,0.645544804156249,0.63282677498,96,100
-38,-0.0404223415095821,0.614002779489584,0.573580437980002,96,100
-37.5,-0.0578649244166666,0.530852474166668,0.472987549750001,96,100
-37,-0.0851087950362522,0.498370386406252,0.41326159137,96,100
-36.5,-0.113394209798752,0.558382135968751,0.444987926169999,96,100
-36,-0.124403852295417,0.632375359385418,0.50797150709,96,100
-35.5,-0.13018304647,0.611171556750001,0.480988510280001,96,100
-35,-0.0986675270354154,0.448366075135418,0.349698548100002,96,100
-34.5,-0.0396056427487466,0.255487788968748,0.215882146220001,96,100
-34,-0.00803061276999845,0.159619925999998,0.151589313229999,96,100
-33.5,0.00595526497999843,0.140845453750001,0.146800718729999,96,100
-33,0.00051095802708187,0.159810751072918,0.1603217091,96,100
-32.5,-0.0221343164729181,0.242590847322917,0.220456530849999,96,100
-32,-0.0404461813175033,0.4056336086875,0.365187427369997,96,100
-31.5,-0.035824145380002,0.583921283,0.548097137619998,96,100
-31,-0.00673250592791785,0.717880731447916,0.711148225519998,96,100
-30.5,0.0190688090849989,0.767168485625001,0.786237294709999,96,100
-30,0.0397254981712519,0.680601888718752,0.720327386890004,96,100
-29.5,0.037613733949585,0.514602412010417,0.552216145960002,96,100
-29,0.00947339613458431,0.378319908135416,0.387793304270001,96,100
-28.5,-0.0048118483866651,0.314688138916666,0.309876290530001,96,100
-28,0.00349187263708423,0.301471244072916,0.30496311671,96,100
-27.5,0.0176651939320832,0.307851845447917,0.32551703938,96,100
-27,0.0202172883212504,0.31702225946875,0.33723954779,96,100
-26.5,0.00754745747166802,0.315553468458332,0.32310092593,96,100
