sample,taps_from_fp,amplitude,amplitude_norm
697,-50,330.61,0.38309
698,-49,388.01,0.44961
699,-48,126.53,0.14662
700,-47,116.5,0.13499
701,-46,25.55,0.02961
702,-45,64.35,0.07457
703,-44,204.57,0.23705
704,-43,175.11,0.20291
705,-42,160.38,0.18584
706,-41,465.18,0.53903
707,-40,429.63,0.49784
708,-39,549.28,0.63648
709,-38,378.57,0.43866
710,-37,67.23,0.0779
711,-36,57.27,0.06636
712,-35,206.65,0.23946
713,-34,294.73,0.34152
714,-33,312.57,0.36219
715,-32,319.26,0.36995
716,-31,840.24,0.97363
717,-30,653.4,0.75713
718,-29,562.88,0.65224
719,-28,96.65,0.11199
720,-27,478.24,0.55415
721,-26,185.15,0.21455
722,-25,346.07,0.401
723,-24,155.64,0.18035
724,-23,281.15,0.32579
725,-22,220.45,0.25544
726,-21,429.61,0.49781
727,-20,292.06,0.33843
728,-19,165.59,0.19188
729,-18,179.4,0.20788
730,-17,425.47,0.49301
731,-16,215.62,0.24984
732,-15,182.99,0.21204
733,-14,168.12,0.19481
734,-13,113.53,0.13156
735,-12,32.65,0.03783
736,-11,71.7,0.08308
737,-10,230.99,0.26766
738,-9,503.42,0.58334
739,-8,604.39,0.70034
740,-7,276.81,0.32076
741,-6,168.47,0.19521
742,-5,69.97,0.08108
743,-4,43.01,0.04984
744,-3,157.69,0.18272
745,-2,382.79,0.44355
746,-1,1196.19,1.38608
747,0,8310,9.6292
748,1,15597.55,18.07364
749,2,16552.68,19.18039
750,3,14751.02,17.09273
751,4,10420.41,12.07463
752,5,13938.04,16.15069
753,6,3431.12,3.9758
754,7,13071.48,15.14655
755,8,5343.13,6.19134
756,9,6655.04,7.71152
757,10,5988.29,6.93892
758,11,1883.23,2.18219
759,12,1021.36,1.1835
760,13,542.65,0.62879
761,14,2287.04,2.6501
762,15,2311.32,2.67824
763,16,1706.69,1.97763
764,17,806.39,0.9344
765,18,362.26,0.41977
766,19,683.53,0.79204
767,20,1005.16,1.16473
768,21,1234.78,1.4308
769,22,2306.57,2.67273
770,23,5652.01,6.54926
771,24,8876.86,10.28605
772,25,7548.46,8.74677
773,26,2076.1,2.40568
774,27,1506,1.74507
775,28,1650.73,1.91278
776,29,2636.07,3.05454
777,30,3812.66,4.41792
778,31,3050.53,3.5348
779,32,1820.13,2.10907
780,33,4504.74,5.21986
781,34,2856.25,3.30968
782,35,1450.62,1.6809
783,36,5505.23,6.37918
784,37,1852.16,2.14619
785,38,3405.73,3.94639
786,39,1731.17,2.00599
787,40,4914.38,5.69453
788,41,6791.76,7.86994
789,42,979.62,1.13513
790,43,3808.8,4.41344
791,44,2440.14,2.82751
792,45,1703.01,1.97336
793,46,5855.6,6.78516
794,47,6849.19,7.93649
795,48,2784.59,3.22664
796,49,1341.23,1.55415
797,50,413.67,0.47934
798,51,1163.45,1.34814
799,52,370.82,0.42968
800,53,1421.22,1.64684
801,54,1399.6,1.62179
802,55,815.43,0.94488
803,56,2035.81,2.35899
804,57,1704.12,1.97465
805,58,1689.88,1.95815
806,59,1907.97,2.21086
807,60,2258.15,2.61663
808,61,827.92,0.95936
809,62,1193.85,1.38337
810,63,737.05,0.85406
811,64,820.76,0.95106
812,65,668.08,0.77414
813,66,518,0.60023
814,67,1272.17,1.47412
815,68,892.91,1.03466
816,69,1150.46,1.3331
817,70,3281.81,3.8028
818,71,1278.05,1.48094
819,72,1816.37,2.10472
820,73,2906.64,3.36807
821,74,1887.07,2.18664
822,75,709.12,0.8217
823,76,846.93,0.98138
824,77,2009.04,2.32797
825,78,2837.63,3.2881
826,79,2287.15,2.65023
827,80,889.17,1.03032
828,81,724.03,0.83897
829,82,1277.84,1.4807
830,83,1262.01,1.46235
831,84,967.62,1.12123
832,85,148,0.1715
833,86,1439.22,1.66769
834,87,2510.22,2.90871
835,88,2276.42,2.6378
836,89,1462.58,1.69476
837,90,720.6,0.83499
838,91,1115.14,1.29217
839,92,1446.94,1.67664
840,93,221.2,0.25631
841,94,1351.92,1.56654
842,95,1433.32,1.66086
843,96,561.26,0.65036
844,97,162.46,0.18825
845,98,757.41,0.87765
846,99,1293.16,1.49844
