taps_from_fp,offset_m,amplitude_norm_diff,amplitude_norm_diff_pos,background_mean,phase2_mean,n_background,n_phase2
-50,NaN,-0.145118191251612,0,0.448668949406251,0.303550758154639,96,97
-49.5,NaN,-0.188476270878116,0,0.520974142177086,0.33249787129897,96,97
-49,NaN,-0.184532499367588,0,0.495977003656248,0.31144450428866,96,97
-48.5,NaN,-0.132266514260629,0,0.370477311281249,0.23821079702062,96,97
-48,NaN,-0.0660701655821502,0,0.23689375046875,0.170823584886599,96,97
-47.5,NaN,-0.0162378303754286,0,0.156505731416666,0.140267901041237,96,97
-47,NaN,0.00583992420876339,0.00583992420876339,0.13056473475,0.136404658958764,96,97
-46.5,NaN,0.0156573932974659,0.0156573932974659,0.130469844145833,0.146127237443298,96,97
-46,NaN,0.0267836622280912,0.0267836622280912,0.142090601875,0.168874264103091,96,97
-45.5,NaN,0.0346729862540792,0.0346729862540792,0.161684077354167,0.196357063608246,96,97
-45,NaN,0.05106293005305,0.05106293005305,0.168754125854166,0.219817055907216,96,97
-44.5,NaN,0.0853788838059486,0.0853788838059486,0.158380150822917,0.243759034628866,96,97
-44,NaN,0.118323827373173,0.118323827373173,0.160415405802084,0.278739233175258,96,97
-43.5,NaN,0.125336120655929,0.125336120655929,0.187301106375,0.312637227030929,96,97
-43,NaN,0.0904598149313789,0.0904598149313789,0.21992882865625,0.310388643587629,96,97
-42.5,NaN,0.0219170428289305,0.0219170428289305,0.25866247659375,0.28057951942268,96,97
-42,NaN,-0.0537296252331423,0,0.343526053614585,0.289796428381442,96,97
-41.5,NaN,-0.115993780220687,0,0.476485306406252,0.360491526185565,96,97
-41,NaN,-0.134196615713597,0,0.56669923821875,0.432502622505153,96,97
-40.5,NaN,-0.119365962307238,0,0.575183271802085,0.455817309494847,96,97
-40,NaN,-0.101598593022981,0,0.548003366229167,0.446404773206186,96,97
-39.5,NaN,-0.0912924570753856,0,0.5239196913125,0.432627234237114,96,97
-39,NaN,-0.0841603702299158,0,0.484288205302082,0.400127835072166,96,97
-38.5,NaN,-0.0653304171920076,0,0.399134085624999,0.333803668432991,96,97
-38,NaN,-0.0457652434531768,0,0.292062524958332,0.246297281505155,96,97
-37.5,NaN,-0.0410185232513942,0,0.216672788385414,0.17565426513402,96,97
-37,NaN,-0.0675873286038451,0,0.215670414572917,0.148083085969072,96,97
-36.5,NaN,-0.0954107707563379,0,0.236070445364585,0.140659674608247,96,97
-36,NaN,-0.0661329288161493,0,0.205561189166665,0.139428260350516,96,97
-35.5,NaN,-0.00969488198002419,0,0.166981978062498,0.157287096082474,96,97
-35,NaN,0.00821973850010499,0.00821973850010499,0.190856922489585,0.19907666098969,96,97
-34.5,NaN,-0.0181932076403585,0,0.267039671114584,0.248846463474225,96,97
-34,NaN,-0.0328378019556494,0,0.331594682697916,0.298756880742267,96,97
-33.5,NaN,-0.0203231608972294,0,0.346346350031251,0.326023189134022,96,97
-33,NaN,-0.00713606542353801,0,0.295756238083332,0.288620172659794,96,97
-32.5,NaN,0.0194385708799394,0.0194385708799394,0.238713780645831,0.258152351525771,96,97
-32,NaN,0.0390586211893195,0.0390586211893195,0.348936321635422,0.387994942824742,96,97
-31.5,NaN,0.0308749742053185,0.0308749742053185,0.615218201083339,0.646093175288657,96,97
-31,NaN,0.0559508642188544,0.0559508642188544,0.808169838770835,0.864120702989689,96,97
-30.5,NaN,0.0845312442299215,0.0845312442299215,0.82211766669792,0.906648910927841,96,97
-30,NaN,0.0342238660498332,0.0342238660498332,0.697411682166664,0.731635548216497,96,97
-29.5,NaN,-0.0464393722394725,0,0.562578415229163,0.51613904298969,96,97
-29,NaN,-0.0966128193892807,0,0.472566589760415,0.375953770371134,96,97
-28.5,NaN,-0.0633877470669034,0,0.36563436748958,0.302246620422677,96,97
-28,NaN,0.00291087046004751,0.00291087046004751,0.368104354375001,0.371015224835049,96,97
-27.5,NaN,-0.0299069489013116,0,0.520096735427086,0.490189786525774,96,97
-27,NaN,-0.0804206340909544,0,0.579556773822915,0.499136139731961,96,97
-26.5,NaN,-0.0236473403454657,0,0.482628434510416,0.45898109416495,96,97
-26,NaN,0.0669502532158531,0.0669502532158531,0.3670740630625,0.434024316278353,96,97
-25.5,NaN,0.0942289160162172,0.0942289160162172,0.295973245427083,0.390202161443301,96,97
-25,NaN,0.0663429249322381,0.0663429249322381,0.239539432572916,0.305882357505154,96,97
-24.5,NaN,0.0413771781614041,0.0413771781614041,0.200944074343746,0.242321252505151,96,97
-24,NaN,0.0334179976385285,0.0334179976385285,0.247414431062501,0.280832428701029,96,97
-23.5,NaN,0.0423866213290357,0.0423866213290357,0.341906492083336,0.384293113412371,96,97
-23,NaN,0.088824697404069,0.088824697404069,0.38471081534375,0.473535512747819,96,97
-22.5,NaN,0.114265491192806,0.114265491192806,0.368857545375001,0.483123036567807,96,97
-22,NaN,0.0461209771901925,0.0461209771901925,0.336140143166668,0.38226112035686,96,97
-21.5,NaN,-0.0689194152791289,0,0.338917567229167,0.269998151950038,96,97
-21,NaN,-0.122771965552033,0,0.363905843239583,0.24113387768755,96,97
-20.5,NaN,-0.0802912744109575,0,0.33280272809375,0.252511453682793,96,97
