taps_from_fp,amplitude_norm_mean,amplitude_norm_sd,n_frames
-50,0.448668949406251,0.0936117791544792,96
-49.5,0.520974142177086,0.093026574576904,96
-49,0.495977003656248,0.094901331992605,96
-48.5,0.370477311281249,0.0949846608953305,96
-48,0.23689375046875,0.0705636914587229,96
-47.5,0.156505731416666,0.0460749781304082,96
-47,0.13056473475,0.0370788515193533,96
-46.5,0.130469844145833,0.0356787933045711,96
-46,0.142090601875,0.0523375707923666,96
-45.5,0.161684077354167,0.0695942265733992,96
-45,0.168754125854166,0.0710854653705736,96
-44.5,0.158380150822917,0.0671143523559887,96
-44,0.160415405802084,0.0739404988588101,96
-43.5,0.187301106375,0.0804430036904262,96
-43,0.21992882865625,0.0860868946521052,96
-42.5,0.25866247659375,0.0871557758463267,96
-42,0.343526053614585,0.0968256296571111,96
-41.5,0.476485306406252,0.0966862849377702,96
-41,0.56669923821875,0.0930102762962157,96
-40.5,0.575183271802085,0.0980302049656046,96
-40,0.548003366229167,0.0964484937422757,96
-39.5,0.5239196913125,0.096815562242106,96
-39,0.484288205302082,0.0980080334723933,96
-38.5,0.399134085624999,0.098711304153385,96
-38,0.292062524958332,0.0858301172301222,96
-37.5,0.216672788385414,0.0656404709176305,96
-37,0.215670414572917,0.0781354942571158,96
-36.5,0.236070445364585,0.0873170681790797,96
-36,0.205561189166665,0.0643817722269143,96
-35.5,0.166981978062498,0.0399742780141335,96
-35,0.190856922489585,0.063429211698957,96
-34.5,0.267039671114584,0.0859960020322597,96
-34,0.331594682697916,0.0938592850435473,96
-33.5,0.346346350031251,0.0909842676022241,96
-33,0.295756238083332,0.0787639459407783,96
-32.5,0.238713780645831,0.0805436525839682,96
-32,0.348936321635422,0.0795333016104636,96
-31.5,0.615218201083339,0.0893343286332575,96
-31,0.808169838770835,0.0930612017543513,96
-30.5,0.82211766669792,0.0969740076739874,96
-30,0.697411682166664,0.0936765590471691,96
-29.5,0.562578415229163,0.0905053892801659,96
-29,0.472566589760415,0.0984835094305063,96
-28.5,0.36563436748958,0.10916082995248,96
-28,0.368104354375001,0.113394688304674,96
-27.5,0.520096735427086,0.0993871560216024,96
-27,0.579556773822915,0.0953121017297021,96
-26.5,0.482628434510416,0.0926383901122926,96
-26,0.3670740630625,0.0807880588247971,96
-25.5,0.295973245427083,0.0707079522487983,96
-25,0.239539432572916,0.070575767840735,96
-24.5,0.200944074343746,0.0513937024746773,96
-24,0.247414431062501,0.0802030107221088,96
-23.5,0.341906492083336,0.102030705191297,96
-23,0.38471081534375,0.101626401953083,96
-22.5,0.368857545375001,0.0954420613868627,96
-22,0.336140143166668,0.0880544707468965,96
-21.5,0.338917567229167,0.0869637159040513,96
-21,0.363905843239583,0.0911643861746448,96
-20.5,0.33280272809375,0.0849978355853122,96
-20,0.258148919760416,0.0657636453020863,96
-19.5,0.220899900385415,0.0614125826859699,96
-19,0.243998810354167,0.077795179456391,96
-18.5,0.285124750083334,0.0831449527727135,96
-18,0.335243311572917,0.0863156284750399,96
-17.5,0.409822629947918,0.088315685873129,96
-17,0.441275727854166,0.0990129345295734,96
-16.5,0.385322699104166,0.0971708990993064,96
-16,0.280218102531249,0.0845772326335493,96
-15.5,0.180224848249999,0.0543629467136376,96
-15,0.140409040135418,0.0465282840056437,96
-14.5,0.14089998709375,0.0590535815013157,96
-14,0.13888577871875,0.0400333822791799,96
-13.5,0.143136174833333,0.0420073988985601,96
-13,0.156256936010416,0.0677829569869268,96
-12.5,0.16195455340625,0.0712561127367553,96
-12,0.154617285072917,0.0656244550211766,96
-11.5,0.141132374927084,0.0543394026713065,96
-11,0.138949859854167,0.0447168407465397,96
-10.5,0.160789595229167,0.0529144368047585,96
-10,0.220931819218753,0.0683018205000763,96
-9.5,0.335879591895835,0.0850554048088357,96
-9,0.469908817062501,0.0950950290820865,96
-8.5,0.566230763458335,0.0947852707060117,96
-8,0.552002753291665,0.104606323345346,96
-7.5,0.418567002291665,0.0991511724850398,96
-7,0.276011836666665,0.0716859637164065,96
-6.5,0.191982216124998,0.0493654737988073,96
-6,0.157890957572917,0.0577791618675993,96
-5.5,0.146589047572916,0.0387291920381954,96
-5,0.141900860604166,0.0353971709783749,96
-4.5,0.141194413125,0.0520910268298377,96
-4,0.143549191885417,0.0533920722907901,96
-3.5,0.144929399479167,0.0511869479312034,96
-3,0.170395097364584,0.0595863866731263,96
-2.5,0.242665714218751,0.0719478296620829,96
-2,0.373823433729169,0.088394181198416,96
-1.5,0.69005238190625,0.150376916701254,96
-1,2.01712154427087,0.382247209348049,96
-0.5,5.02037029363545,0.43878650413907,96
0,9.50698686725008,0.226779617840682,96
0.5,14.3124136211251,0.473931037349218,96
1,17.3713565200833,0.341270652744782,96
1.5,18.5697611294375,0.155077902895606,96
2,18.8348031183437,0.165657627849397,96
2.5,18.26042451175,0.285543976678918,96
3,16.2366959897916,0.519977934811344,96
3.5,13.4373624071458,1.08521585733931,96
4,13.1897684376563,0.817231425595973,96
4.5,15.2015988474792,0.797809663551536,96
5,14.3724097029791,0.918738140459634,96
5.5,9.78522259965618,1.41435983221735,96
6,7.82828475102086,2.22412539452786,96
6.5,10.9411476773646,1.34414838970931,96
7,13.1285901916081,0.899291118883096,96
7.5,11.1499810981497,0.759000328032067,96
8,7.64866784438928,1.40182937654625,96
8.5,6.02457807226428,1.46110141381925,96
9,7.02137612786851,0.976881237698263,96
9.5,7.99757922664664,0.758622857924729,96
10,6.77775711131325,0.731610679965363,96
10.5,4.34158454934448,1.02935450940686,96
11,2.58414923381327,1.22366377272752,96
11.5,1.71127027578201,1.30832304014975,96
12,1.15574446456327,1.35791203583913,96
12.5,0.83152300094812,1.39220644620469,96
13,1.16133397818717,1.30715688938911,96
13.5,2.05060847646786,1.1552595750923,96
14,2.73916385563395,1.03803428397108,96
14.5,3.00096648689381,0.978620313712195,96
15,2.90545829690365,0.957760189184765,96
15.5,2.59487846919475,0.967847480791632,96
16,2.18822863953794,0.992269048320528,96
16.5,1.68219275314154,1.03279238389807,96
17,1.15520555393264,1.07849711318419,96
17.5,0.740344903619577,1.11542447298931,96
18,0.654926247400279,1.0993929535401,96
18.5,0.829454130680964,1.0449062635481,96
19,1.03453741188873,0.987009331672039,96
19.5,1.2379815292215,0.930070265956273,96
20,1.41716193486677,0.87692501227574,96
20.5,1.56662986464746,0.828841862783545,96
21,1.79438842311565,0.772677184166964,96
21.5,2.21948791276092,0.692050427527542,96
22,3.15573426124996,0.579758426129099,96
22.5,4.69835313796814,0.47228695026099,96
23,6.62673673321368,0.583087930499133,96
23.5,8.6282222488798,0.837991374661996,96
24,9.8377130947542,1.00628620368555,96
24.5,9.83477849562865,1.02467986205302,96
25,8.32106598984678,0.809787136875283,96
25.5,5.57399300779413,0.508845000516078,96
26,3.09581783292901,0.438193846774047,96
26.5,1.76012810407426,0.554991280599768,96
27,1.61072987951124,0.459455307124758,96
27.5,1.8895593117711,0.39440295192588,96
28,2.01664752128095,0.380034574617936,96
28.5,2.29068038451996,0.351935217481946,96
29,2.88946667742566,0.308142975547878,96
29.5,3.5972556474876,0.311363173100242,96
30,3.9700859765391,0.330143002307509,96
30.5,3.84983046851772,0.320644391953693,96
31,3.13587869049629,0.324794632264048,96
31.5,2.22773280205822,0.500267927965489,96
32,2.49371641158896,0.398041181409142,96
32.5,3.86528042710923,0.367427113356479,96
33,4.6992454183378,0.415394416032484,96
33.5,4.42159145051434,0.400264880721293,96
34,3.15451428593041,0.280411622986496,96
34.5,1.75055081649232,0.692628126521744,96
35,2.25270300986685,0.451698561470179,96
35.5,4.4009023462517,0.473808326215585,96
36,5.41027007205317,0.661986165145136,96
36.5,4.42564576183387,0.451986550845444,96
37,3.08347804021872,0.625196982680884,96
37.5,2.86801674321813,0.565109629672829,96
38,3.4875603452176,0.464725466794558,96
38.5,3.51495500280039,0.432190559608488,96
39,2.95402025038314,0.675128500532388,96
39.5,3.3556336968513,0.665820606486001,96
40,5.28905931929871,0.560925809989793,96
40.5,7.25603816110026,0.859034612694089,96
41,6.94940792426626,0.813940573921037,96
41.5,4.4601808308282,0.512968340266678,96
42,2.67918450368185,0.932129657107452,96
42.5,2.97359470411877,0.580349908602371,96
43,3.82189582775988,0.39409047693477,96
43.5,3.82299500394684,0.376847170975728,96
44,2.81304082350873,0.267140168296738,96
44.5,1.76272550739356,0.603862350439514,96
45,2.37141215108058,0.313538365596074,96
45.5,4.44224877902794,0.417595750783449,96
46,6.33983320095444,0.724312983869433,96
46.5,7.39531868579764,0.920335269198053,96
47,7.00273979843243,0.87340721269557,96
47.5,5.23609605561938,0.593824820891577,96
48,3.3213147180084,0.360936644875299,96
48.5,2.06770845971616,0.292115273700926,96
49,1.60007948668437,0.230281389996287,96
49.5,1.295729581975,0.190662577668401,96
50,0.931379121794447,0.306885080247074,96
50.5,0.970999681957633,0.244396464638507,96
51,1.18781982536041,0.249848444099617,96
51.5,1.07917678873195,0.201298537815799,96
52,0.905264834593057,0.265945015766437,96
52.5,1.11880623913125,0.182840283514952,96
53,1.57333012497153,0.14038648305941,96
53.5,1.85797785860348,0.181182404637786,96
54,1.61566380499582,0.137147349509409,96
54.5,1.08960338491943,0.292046168466711,96
55,1.1235753329902,0.226111415304148,96
55.5,1.7045937449034,0.199324617571547,96
56,2.02777648271241,0.202406295611304,96
56.5,1.93455529807352,0.198183241928687,96
57,1.82045478292422,0.233417991361732,96
57.5,1.83564116636866,0.22714631867214,96
58,1.90764956750061,0.217838198816269,96
58.5,2.05889232633047,0.20934885514274,96
59,2.34754385173325,0.248617851239571,96
59.5,2.61395569850062,0.327769151269158,96
60,2.44378673637213,0.298892388398565,96
60.5,1.84400745835824,0.236762899659154,96
61,1.36580253659436,0.212809136577389,96
61.5,1.24567082229922,0.203248125010555,96
62,1.18150998887908,0.19444013769686,96
62.5,0.923324737302687,0.177651902205589,96
63,0.741318674287503,0.220895210240946,96
63.5,0.886096475450693,0.162672953195836,96
64,1.10381116936389,0.174784796246204,96
64.5,1.12702104426667,0.163173750404579,96
65,0.966815784523609,0.159632442433056,96
65.5,0.790032715040968,0.183423509476063,96
66,0.81845930248542,0.170066904335448,96
66.5,1.09934997464861,0.147169231487119,96
67,1.45704579878056,0.170510159313489,96
67.5,1.60192818932918,0.20764834772052,96
68,1.27833944187777,0.23090364326436,96
68.5,0.879322883290954,0.406932406721558,96
69,1.34009112697502,0.239449163669282,96
69.5,2.52261783539863,0.290164839704194,96
70,3.0913233230618,0.351328981557912,96
70.5,2.58704304305834,0.224764715145672,96
71,1.77878371413819,0.314375256009335,96
71.5,1.49063692796803,0.353446750484916,96
72,2.08618088947502,0.208503661751768,96
72.5,2.99097505116947,0.261422598969981,96
73,3.24892437333263,0.286304471760525,96
73.5,2.83877527065208,0.279300510283694,96
74,2.1900267267111,0.191900068222344,96
74.5,1.48191048940554,0.143205722932455,96
75,0.936450105016663,0.234463474474031,96
75.5,0.775028728825683,0.309058647176829,96
76,1.1720524693639,0.251943900325965,96
76.5,1.91442473757918,0.204470633742977,96
77,2.59366865308612,0.2006564667173,96
77.5,3.09577074221807,0.237798721951164,96
78,3.20546787230833,0.259524753653097,96
78.5,2.87926484817986,0.277387207271709,96
79,2.31316796791596,0.2731734520756,96
79.5,1.62664405018749,0.220688385358577,96
80,1.05279389309374,0.18588246549937,96
80.5,0.79429299087499,0.181644058562983,96
81,0.952095417760423,0.149748265199657,96
81.5,1.31719885828126,0.131193525471351,96
82,1.50451113171875,0.114834903322608,96
82.5,1.49143945435417,0.124276802531266,96
83,1.37545745141666,0.139125503882684,96
83.5,1.19035089417708,0.128272098884915,96
84,0.943601600729162,0.0972131131364992,96
84.5,0.62815389366666,0.15501854146664,96
85,0.571009847020838,0.272698208282578,96
85.5,0.994035151083335,0.237152050442516,96
86,1.69186085988543,0.183484259706423,96
