taps_from_fp,offset_m,amplitude_norm_diff,amplitude_norm_diff_pos,background_mean,phase2_mean,n_background,n_phase2
-50,NaN,-0.116843721614799,0,0.491319245625003,0.374475524010204,96,98
-49.5,NaN,-0.1795538284409,0,0.555893569604166,0.376339741163267,96,98
-49,NaN,-0.117499576858207,0,0.522875878052083,0.405376301193877,96,98
-48.5,NaN,0.0127519042627542,0.0127519042627542,0.384892679624998,0.397644583887753,96,98
-48,NaN,0.0938055569798075,0.0938055569798075,0.23628855948958,0.330094116469388,96,98
-47.5,NaN,0.0759667182844392,0.0759667182844392,0.151985169562499,0.227951887846939,96,98
-47,NaN,0.049144576261266,0.049144576261266,0.126049627197917,0.175194203459183,96,98
-46.5,NaN,0.0462573106460444,0.0462573106460444,0.135110046843751,0.181367357489795,96,98
-46,NaN,0.0328097741526356,0.0328097741526356,0.153853202520834,0.186662976673469,96,98
-45.5,NaN,-0.00250063699851141,0,0.176164731427083,0.173664094428572,96,98
-45,NaN,-0.034175098048257,0,0.190991976364584,0.156816878316327,96,98
-44.5,NaN,-0.0332306680331629,0,0.190047757125,0.156817089091837,96,98
-44,NaN,-0.0192446349400508,0,0.1934270445625,0.174182409622449,96,98
-43.5,NaN,-0.0147834684230446,0,0.214965403729167,0.200181935306123,96,98
-43,NaN,-0.00164160890795131,0,0.241144457489584,0.239502848581632,96,98
-42.5,NaN,0.0210555524727872,0.0210555524727872,0.282551071333335,0.303606623806122,96,98
-42,NaN,0.0418567498025079,0.0418567498025079,0.367690299177084,0.409547048979592,96,98
-41.5,NaN,0.0482932425025516,0.0482932425025516,0.492357490375,0.540650732877552,96,98
-41,NaN,0.0443478169530187,0.0443478169530187,0.584097925302085,0.628445742255103,96,98
-40.5,NaN,0.0437420630333764,0.0437420630333764,0.595679084364583,0.639421147397959,96,98
-40,NaN,0.025117476387755,0.025117476387755,0.577831647999999,0.602949124387754,96,98
-39.5,NaN,-0.00333530018622497,0,0.565911709125,0.562576408938775,96,98
-39,NaN,-0.0249137104389876,0,0.532980413510417,0.508066703071429,96,98
-38.5,NaN,-0.0222980624989351,0,0.435311013947915,0.41301295144898,96,98
-38,NaN,-0.0137211748350325,0,0.310391436416664,0.296670261581631,96,98
-37.5,NaN,-0.0378110286683684,0,0.24046118825,0.202650159581632,96,98
-37,NaN,-0.0726614083832903,0,0.23906183278125,0.16640042439796,96,98
-36.5,NaN,-0.0862933869413246,0,0.244410059624999,0.158116672683674,96,98
-36,NaN,-0.0622781539685375,0,0.206341731958333,0.144063577989795,96,98
-35.5,NaN,-0.0107827940982157,0,0.165223698812501,0.154440904714286,96,98
-35,NaN,0.0153568324776791,0.0153568324776791,0.18664870309375,0.202005535571429,96,98
-34.5,NaN,-0.0029513494553568,0,0.2629116303125,0.259960280857143,96,98
-34,NaN,-0.0261386249815058,0,0.329354134093751,0.303215509112245,96,98
-33.5,NaN,-0.0308374454109253,0,0.341828974635415,0.31099152922449,96,98
-33,NaN,-0.0124149436804856,0,0.292235732343749,0.279820788663263,96,98
-32.5,NaN,0.0218251531371129,0.0218251531371129,0.258667054281253,0.280492207418366,96,98
-32,NaN,0.0517223933152624,0.0517223933152624,0.368878091052086,0.420600484367348,96,98
-31.5,NaN,0.0179073253278051,0.0179073253278051,0.619879230437502,0.637786555765307,96,98
-31,NaN,-0.0680899828329087,0,0.827048092812503,0.758958109979594,96,98
-30.5,NaN,-0.11297989139094,0,0.839303227156247,0.726323335765307,96,98
-30,NaN,-0.0919975651460447,0,0.705611233156247,0.613613668010202,96,98
-29.5,NaN,-0.0466430263996617,0,0.584151179583334,0.537508153183672,96,98
-29,NaN,-0.052373337249516,0,0.514195721198497,0.461822383948981,96,98
-28.5,NaN,-0.0810976016628764,0,0.417003072397571,0.335905470734695,96,98
-28,NaN,-0.057859143574109,0,0.388715603492475,0.330856459918366,96,98
-27.5,NaN,-0.0397863570046876,0,0.4964106215353,0.456624264530612,96,98
-27,NaN,-0.0554984447562729,0,0.557934358807293,0.50243591405102,96,98
-26.5,NaN,-0.0353266831118068,0,0.489549067673031,0.454222384561224,96,98
-26,NaN,0.0309098083908633,0.0309098083908633,0.390732380986688,0.421642189377551,96,98
-25.5,NaN,0.0808811135521195,0.0808811135521195,0.319758378529513,0.400639492081633,96,98
-25,NaN,0.0595416675358699,0.0595416675358699,0.261083781770253,0.320625449306123,96,98
-24.5,NaN,0.00358002845520206,0.00358002845520206,0.223934413167247,0.227514441622449,96,98
-24,NaN,-0.0157655457508872,0,0.258695407210071,0.242929861459184,96,98
-23.5,NaN,-0.0183199431778495,0,0.34249717307581,0.32417722989796,96,98
-23,NaN,-0.0196917440106414,0,0.384608082826968,0.364916338816326,96,98
-22.5,NaN,0.0098176540638828,0.0098176540638828,0.35266146961979,0.362479123683672,96,98
-22,NaN,0.0338591341637021,0.0338591341637021,0.302701075173031,0.336560209336733,96,98
-21.5,NaN,0.0158867416825256,0.0158867416825256,0.317526867695025,0.33341360937755,96,98
-21,NaN,0.0147904021628755,0.0147904021628755,0.361781709102432,0.376572111265308,96,98
-20.5,NaN,0.0832325909557247,0.0832325909557247,0.325619965697338,0.408852556653062,96,98
-20,NaN,0.135832367172041,0.135832367172041,0.249701993708911,0.385534360880952,96,98
-19.5,NaN,0.0738804076530245,0.0738804076530245,0.246975917751737,0.320856325404762,96,98
-19,NaN,-0.00884324111046325,0,0.296766371773728,0.287923130663265,96,98
-18.5,NaN,-0.00125090342518325,0,0.337737009806135,0.336486106380952,96,98
-18,NaN,0.0544935153914768,0.0544935153914768,0.380116222901041,0.434609738292517,96,98
-17.5,NaN,0.0856648273110265,0.0856648273110265,0.441349755954282,0.527014583265308,96,98
-17,NaN,0.093430843148939,0.093430843148939,0.468761574507525,0.562192417656464,96,98
-16.5,NaN,0.0979031921856233,0.0979031921856233,0.400593219321179,0.498496411506802,96,98
-16,NaN,0.066252942559253,0.066252942559253,0.280271597124419,0.346524539683672,96,98
-15.5,NaN,0.0271828848185102,0.0271828848185102,0.181925770031828,0.209108654850338,96,98
-15,NaN,0.0352827284183316,0.0352827284183316,0.139093586751736,0.174376315170068,96,98
-14.5,NaN,0.0502871606635602,0.0502871606635602,0.135075934846644,0.185363095510205,96,98
-14,NaN,0.0298772857708225,0.0298772857708225,0.1326409400353,0.162518225806122,96,98
-13.5,NaN,-0.00235610089615221,0,0.137797347161458,0.135441246265306,96,98
-13,NaN,-0.017380428846715,0,0.15571025618345,0.138329827336735,96,98
-12.5,NaN,-0.0259786226680244,0,0.167356139372106,0.141377516704082,96,98
-12,NaN,-0.0252944382754755,0,0.162987204081598,0.137692765806122,96,98
-11.5,NaN,-0.0092402384613687,0,0.152593632634839,0.14335339417347,96,98
-11,NaN,0.0108200583203661,0.0108200583203661,0.151263222802083,0.162083281122449,96,98
-10.5,NaN,0.015555577081632,0.015555577081632,0.164644311,0.180199888081632,96,98
-10,NaN,-0.0337735070614379,0,0.213297159010416,0.179523651948979,96,98
-9.5,NaN,-0.114618806402212,0,0.328389137708335,0.213770331306123,96,98
-9,NaN,-0.124670805496174,0,0.465982640812502,0.341311835316328,96,98
-8.5,NaN,-0.0599485467687056,0,0.553075011166666,0.493126464397961,96,98
-8,NaN,-0.000582061263179501,0,0.537245919895833,0.536663858632654,96,98
-7.5,NaN,0.0425901898985979,0.0425901898985979,0.397182364968748,0.439772554867346,96,98
-7,NaN,0.0537819945586738,0.0537819945586738,0.245508438624998,0.299290433183672,96,98
-6.5,NaN,0.0249683828227033,0.0249683828227033,0.1876253401875,0.212593723010203,96,98
-6,NaN,-0.000987260055910349,0,0.175904499239583,0.174917239183673,96,98
-5.5,NaN,-0.00875390240943885,0,0.1539281670625,0.145174264653061,96,98
-5,NaN,-0.0137566749162416,0,0.139964293895833,0.126207618979592,96,98
-4.5,NaN,-0.0246451485495325,0,0.146080850427083,0.121435701877551,96,98
-4,NaN,-0.0292128283711737,0,0.1539683566875,0.124755528316326,96,98
-3.5,NaN,-0.0266323979638606,0,0.162895798729167,0.136263400765306,96,98
-3,NaN,-0.0185164304092259,0,0.193941933052084,0.175425502642858,96,98
-2.5,NaN,-0.00616632329017908,0,0.264590742718751,0.258424419428572,96,98
-2,NaN,0.00735172639370679,0.00735172639370679,0.380532154708334,0.387883881102041,96,98
-1.5,NaN,-0.00521942753848537,0,0.719167377385427,0.713947949846942,96,98
