sample,taps_from_fp,amplitude,amplitude_norm
700,-50.7969000000001,222.93,0.20175
701,-49.7969000000001,661.71,0.59883
702,-48.7969000000001,1080.1,0.97747
703,-47.7969000000001,463.49,0.41945
704,-46.7969000000001,493.05,0.4462
705,-45.7969000000001,484.34,0.43832
706,-44.7969000000001,582.53,0.52718
707,-43.7969000000001,449.95,0.40719
708,-42.7969000000001,186.55,0.16883
709,-41.7969000000001,255.03,0.2308
710,-40.7969000000001,960.23,0.86899
711,-39.7969000000001,989.53,0.89551
712,-38.7969000000001,391.41,0.35422
713,-37.7969000000001,545.31,0.49349
714,-36.7969000000001,702.2,0.63548
715,-35.7969000000001,791.07,0.7159
716,-34.7969000000001,614.36,0.55598
717,-33.7969000000001,377.64,0.34176
718,-32.7969000000001,232.21,0.21014
719,-31.7969000000001,447.31,0.4048
720,-30.7969000000001,790.49,0.71538
721,-29.7969000000001,1110.38,1.00487
722,-28.7969000000001,410.86,0.37182
723,-27.7969000000001,613.04,0.55479
724,-26.7969000000001,802.4,0.72615
725,-25.7969000000001,285.36,0.25825
726,-24.7969000000001,163.59,0.14805
727,-23.7969000000001,262.73,0.23777
728,-22.7969000000001,208.61,0.18878
729,-21.7969000000001,165.08,0.14939
730,-20.7969000000001,411.21,0.37213
731,-19.7969000000001,402.06,0.36385
732,-18.7969000000001,75.33,0.06817
733,-17.7969000000001,297.71,0.26942
734,-16.7969000000001,332.93,0.30129
735,-15.7969000000001,349.76,0.31652
736,-14.7969000000001,484.13,0.43812
737,-13.7969000000001,349.09,0.31592
738,-12.7969000000001,88.68,0.08026
739,-11.7969000000001,126.57,0.11454
740,-10.7969000000001,157.49,0.14253
741,-9.79690000000005,73.93,0.0669
742,-8.79690000000005,210.24,0.19026
743,-7.79690000000005,226.24,0.20474
744,-6.79690000000005,133.88,0.12116
745,-5.79690000000005,408.05,0.36928
746,-4.79690000000005,313.74,0.28393
747,-3.79690000000005,89.32,0.08083
748,-2.79690000000005,184.1,0.16661
749,-1.79690000000005,94.54,0.08556
750,-0.796900000000051,1883.2,1.70425
751,0.203099999999949,11812.77,10.69029
752,1.20309999999995,19090.47,17.27644
753,2.20309999999995,18346.69,16.60334
754,3.20309999999995,10673.21,9.65902
755,4.20309999999995,16931.99,15.32306
756,5.20309999999995,13831.91,12.51757
757,6.20309999999995,4070.58,3.68378
758,7.20309999999995,4212.41,3.81213
759,8.20309999999995,1862.62,1.68563
760,9.20309999999995,2932.43,2.65378
761,10.2030999999999,7911.06,7.15933
762,11.2030999999999,8188.17,7.41011
763,12.2030999999999,4314.25,3.9043
764,13.2030999999999,775.4,0.70172
765,14.2030999999999,7333.67,6.6368
766,15.2030999999999,11877.46,10.74883
767,16.2030999999999,1454.35,1.31615
768,17.2030999999999,10595.08,9.58831
769,18.2030999999999,8353.39,7.55963
770,19.2030999999999,9570.55,8.66113
771,20.2030999999999,9505.59,8.60234
