taps_from_fp,amplitude_norm_mean,amplitude_norm_sd,n_frames
-50,0.22377671188889,0.0675493847640387,297
-49.5,0.297369163006735,0.0909806508500386,297
-49,0.448586124191921,0.10263961169638,297
-48.5,0.635935227851854,0.123846955351152,297
-48,0.831792602272729,0.113475143052008,297
-47.5,0.982290910872054,0.0956182806378232,297
-47,1.03481982522559,0.0838307480283972,297
-46.5,1.03049981337037,0.0843886800904848,297
-46,0.994923995272727,0.0901674090819841,297
-45.5,0.966570237447811,0.0966372418608931,297
-45,0.950324955942761,0.0950234522006396,297
-44.5,0.898153401383838,0.101270239631469,297
-44,0.710619273434341,0.108171678261014,297
-43.5,0.446999618700335,0.103650782394587,297
-43,0.261015785484848,0.0721535313164717,297
-42.5,0.203943986154882,0.0738305233045195,297
-42,0.213829879047138,0.087764868550703,297
-41.5,0.191233884289562,0.0795206099621649,297
-41,0.164075809808081,0.0600607575882309,297
-40.5,0.183206367505051,0.0700324799692114,297
-40,0.249605162471381,0.0918652635547818,297
-39.5,0.302566371181819,0.105105316743587,297
-39,0.289458940434343,0.0988392787426397,297
-38.5,0.233037007643097,0.087899185784625,297
-38,0.160227342151515,0.0637505195225521,297
-37.5,0.10620605247138,0.0399120688300943,297
-37,0.0882727856329965,0.0249979512592646,297
-36.5,0.0869891372525254,0.0289810463585863,297
-36,0.0985464257205394,0.0375054092667218,297
-35.5,0.140621697616162,0.0644194102423545,297
-35,0.289617892727274,0.101275598624897,297
-34.5,0.520532111228958,0.134251511232678,297
-34,0.749428691548823,0.138270612849272,297
-33.5,0.870632393420876,0.125192753916755,297
-33,0.792800419542086,0.109222879816943,297
-32.5,0.613662088390571,0.119210406508971,297
-32,0.41340132211111,0.116608773898034,297
-31.5,0.33092425950505,0.123883298820283,297
-31,0.55628868094613,0.206435993353351,297
-30.5,0.885263812494952,0.306216919377703,297
-30,1.05646664645455,0.320109256145803,297
-29.5,1.10793182090236,0.290277745995947,297
-29,1.14234034275421,0.251497800312808,297
-28.5,1.14261468761953,0.263423380523285,297
-28,0.944354898845116,0.247563068973136,297
-27.5,0.619210953397305,0.19120849041668,297
-27,0.385619091397307,0.134992484145564,297
-26.5,0.327845904555555,0.11503903172361,297
-26,0.383256931289562,0.105974019062754,297
-25.5,0.398792681946128,0.114718379997706,297
-25,0.313439962434343,0.096825336129768,297
-24.5,0.223461882313131,0.0730526326419719,297
-24,0.233583063683503,0.0856925148272223,297
-23.5,0.278829724885522,0.133576911527233,297
-23,0.259989780164983,0.132029807720075,297
-22.5,0.211992503868686,0.105184498447125,297
-22,0.216161151855219,0.102762809830063,297
-21.5,0.250222287471381,0.135121614731818,297
-21,0.256931802690236,0.128307286976414,297
-20.5,0.236831793717172,0.108319386844662,297
-20,0.219119447599327,0.0971571591510821,297
-19.5,0.208984087888889,0.0962503660839573,297
-19,0.182128601649831,0.07904029646904,297
-18.5,0.152400840400673,0.061379668413144,297
-18,0.158040623915825,0.0656905981168084,297
-17.5,0.191857465582492,0.0869173287404467,297
-17,0.232221688205387,0.0982205895853231,297
-16.5,0.251621254414142,0.10114501847706,297
-16,0.247993092003367,0.0888072839522642,297
-15.5,0.257633306420876,0.086391039891714,297
-15,0.295399322020202,0.0902860682088701,297
-14.5,0.33405208322559,0.0954620783893714,297
-14,0.345135827117845,0.100111014853545,297
-13.5,0.335144491952862,0.113359461263837,297
-13,0.317136110087542,0.114961178251919,297
-12.5,0.303786166821549,0.111791222205892,297
-12,0.298395338700336,0.104853072297917,297
