sample,taps_from_fp,amplitude,amplitude_norm
701,-50.1719000000001,141.35,0.14663
702,-49.1719000000001,308.97,0.32051
703,-48.1719000000001,861.85,0.89404
704,-47.1719000000001,1040.43,1.07928
705,-46.1719000000001,881.04,0.91394
706,-45.1719000000001,849.49,0.88121
707,-44.1719000000001,754.22,0.78239
708,-43.1719000000001,139.2,0.1444
709,-42.1719000000001,326.26,0.33844
710,-41.1719000000001,187.17,0.19416
711,-40.1719000000001,123.31,0.12791
712,-39.1719000000001,256.28,0.26585
713,-38.1719000000001,187.92,0.19494
714,-37.1719000000001,95.9,0.09948
715,-36.1719000000001,60.08,0.06233
716,-35.1719000000001,157.16,0.16302
717,-34.1719000000001,823.06,0.8538
718,-33.1719000000001,988.24,1.02515
719,-32.1719000000001,450,0.46681
720,-31.1719000000001,591.42,0.61351
721,-30.1719000000001,1600.72,1.66049
722,-29.1719000000001,1584.02,1.64317
723,-28.1719000000001,1425.33,1.47855
724,-27.1719000000001,250.14,0.25948
725,-26.1719000000001,473.35,0.49103
726,-25.1719000000001,542.74,0.56301
727,-24.1719000000001,92.96,0.09643
728,-23.1719000000001,251.41,0.2608
729,-22.1719000000001,92.18,0.09562
730,-21.1719000000001,250.93,0.2603
731,-20.1719000000001,25.06,0.026
732,-19.1719000000001,136.31,0.1414
733,-18.1719000000001,83.1,0.0862
734,-17.1719000000001,189.62,0.1967
735,-16.1719000000001,288.59,0.29937
736,-15.1719000000001,221.29,0.22955
737,-14.1719000000001,328.4,0.34067
738,-13.1719000000001,321.29,0.33329
739,-12.1719000000001,340.38,0.35309
740,-11.1719000000001,360.73,0.37421
741,-10.1719000000001,269.98,0.28006
742,-9.17190000000005,152.41,0.1581
743,-8.17190000000005,147.65,0.15316
744,-7.17190000000005,357.5,0.37085
745,-6.17190000000005,191.65,0.19881
746,-5.17190000000005,119.6,0.12407
747,-4.17190000000005,61.29,0.06358
748,-3.17190000000005,52.4,0.05436
749,-2.17190000000005,248.36,0.25764
750,-1.17190000000005,837.2,0.86847
751,-0.171900000000051,6551.52,6.79618
752,0.828099999999949,15154.69,15.72063
753,1.82809999999995,16737.46,17.3625
754,2.82809999999995,14154.85,14.68345
755,3.82809999999995,14297.49,14.83143
756,4.82809999999995,12998.31,13.48372
757,5.82809999999995,3087.08,3.20237
758,6.82809999999995,10251.3,10.63413
759,7.82809999999995,891.79,0.9251
760,8.82809999999995,4648.8,4.82241
761,9.82809999999995,248.28,0.25755
762,10.8280999999999,3238.04,3.35896
763,11.8280999999999,959.63,0.99546
764,12.8280999999999,2484.39,2.57717
765,13.8280999999999,1923.11,1.99493
766,14.8280999999999,3787.06,3.92849
767,15.8280999999999,12504.95,12.97194
768,16.8280999999999,16139.63,16.74235
769,17.8280999999999,15242.03,15.81124
770,18.8280999999999,16581.03,17.20024
771,19.8280999999999,16270.54,16.87815
772,20.8280999999999,6506.04,6.74901
773,21.8280999999999,2721.22,2.82284
774,22.8280999999999,1602.6,1.66245
775,23.8280999999999,2775.68,2.87934
776,24.8280999999999,4520.76,4.68958
777,25.8280999999999,1943.27,2.01584
778,26.8280999999999,212.25,0.22018
779,27.8280999999999,439.74,0.45616
780,28.8280999999999,1533.07,1.59032
781,29.8280999999999,11405.6,11.83154
782,30.8280999999999,16124.16,16.72631
783,31.8280999999999,8059.8,8.36079
784,32.8280999999999,3872.21,4.01681
785,33.8280999999999,6475.39,6.71721
786,34.8280999999999,8450.35,8.76592
787,35.8280999999999,8507.43,8.82514
788,36.8280999999999,4853.49,5.03475
789,37.8280999999999,3357.24,3.48262
790,38.8280999999999,3264.62,3.38653
791,39.8280999999999,971.48,1.00776
792,40.8280999999999,715.34,0.74205
793,41.8280999999999,775.6,0.80457
794,42.8280999999999,1810.76,1.87838
795,43.8280999999999,2288.42,2.37388
796,44.8280999999999,1265.9,1.31318
797,45.8280999999999,1273.85,1.32142
798,46.8280999999999,2029.33,2.10512
799,47.8280999999999,832.9,0.86401
800,48.8280999999999,457.54,0.47463
801,49.8280999999999,638.38,0.66222
802,50.8280999999999,868.44,0.90087
803,51.8280999999999,417.91,0.43351
804,52.8280999999999,1093.46,1.13429
805,53.8280999999999,968.32,1.00448
806,54.8280999999999,582.6,0.60436
807,55.8280999999999,160.65,0.16665
808,56.8280999999999,1314.84,1.36394
809,57.8280999999999,1084.55,1.12505
810,58.8280999999999,346.35,0.35929
811,59.8280999999999,344.33,0.35719
812,60.8280999999999,295.85,0.3069
813,61.8280999999999,317.1,0.32894
814,62.8280999999999,372.14,0.38603
815,63.8280999999999,1260.7,1.30778
816,64.8280999999999,1100.28,1.14137
817,65.8280999999999,666.9,0.6918
818,66.8280999999999,458.02,0.47513
819,67.8280999999999,778.26,0.80732
820,68.8280999999999,783.46,0.81272
821,69.8280999999999,502.61,0.52138
822,70.8280999999999,383.6,0.39793
823,71.8280999999999,981.07,1.01771
824,72.8280999999999,1373.61,1.42491
825,73.8280999999999,351.82,0.36496
826,74.8280999999999,381.75,0.39601
827,75.8280999999999,788.63,0.81808
828,76.8280999999999,1208.88,1.25402
829,77.8280999999999,256.11,0.26568
830,78.8280999999999,950.98,0.9865
831,79.8280999999999,1395.84,1.44797
832,80.8280999999999,1239.54,1.28583
833,81.8280999999999,1496.08,1.55195
834,82.8280999999999,1105.97,1.14727
835,83.8280999999999,523.64,0.54319
836,84.8280999999999,779.18,0.80827
837,85.8280999999999,411.44,0.4268
838,86.8280999999999,75.45,0.07827
839,87.8280999999999,352.12,0.36526
840,88.8280999999999,1158.9,1.20218
841,89.8280999999999,818.28,0.84884
842,90.8280999999999,413.32,0.42875
843,91.8280999999999,330.34,0.34268
844,92.8280999999999,138.29,0.14346
845,93.8280999999999,1095.12,1.13601
846,94.8280999999999,1452.95,1.5072
847,95.8280999999999,727.61,0.75478
848,96.8280999999999,688.99,0.71472
849,97.8280999999999,1203.56,1.24851
850,98.8280999999999,1571.01,1.62968
