FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
1,3332775572,747.9062,747,948,-56.11,204,13,2652,750,17041,697,0.3721253,1,150,02_lde_aligned\frame_0001_aligned.csv
2,9722658286,752.8125,752,926,-56.25,184,13,2392,772,16397,702,0.4550206,1,150,02_lde_aligned\frame_0002_aligned.csv
3,16112371533,750.6719,750,981,-56.41,200,13,2600,770,17688,700,0.5407603,1,150,02_lde_aligned\frame_0003_aligned.csv
4,22502166182,748.4375,748,1006,-56.21,280,13,3640,750,17771,698,0.6516134,1,150,02_lde_aligned\frame_0004_aligned.csv
5,28891956722,753,753,926,-55.66,196,13,2548,772,16300,703,0.7469687,1,150,02_lde_aligned\frame_0005_aligned.csv
6,35281737037,750.1719,750,1012,-56.6,288,13,3744,752,17456,700,0.8451171,1,150,02_lde_aligned\frame_0006_aligned.csv
7,41671545446,747.1875,747,989,-56.41,200,13,2600,749,17770,697,0.9405522,1,150,02_lde_aligned\frame_0007_aligned.csv
8,48061330309,751.4219,751,992,-56.52,200,13,2600,753,17154,701,1.050549,1,150,02_lde_aligned\frame_0008_aligned.csv
9,54451113116,747.2812,747,994,-56.44,212,13,2756,766,17369,697,1.145976,1,150,02_lde_aligned\frame_0009_aligned.csv
10,60840906120,751.3437,751,950,-56.09,200,13,2600,753,17403,701,1.2404038,1,150,02_lde_aligned\frame_0010_aligned.csv
11,67230788740,747.6562,747,1037,-56.75,208,13,2704,767,17827,697,1.351098,1,150,02_lde_aligned\frame_0011_aligned.csv
12,73620501850,751.25,751,946,-56.44,192,13,2496,753,16892,701,1.4508551,1,150,02_lde_aligned\frame_0012_aligned.csv
13,80010296359,746.9531,746,1038,-56.19,224,13,2912,749,18145,696,1.5485409,1,150,02_lde_aligned\frame_0013_aligned.csv
14,86400086768,749.0937,749,938,-56.02,188,13,2444,768,16411,699,1.6440557,1,150,02_lde_aligned\frame_0014_aligned.csv
15,92789882797,752.4219,752,956,-56.31,192,13,2496,754,16542,702,1.7381139,1,150,02_lde_aligned\frame_0015_aligned.csv
16,99179656800,746.8437,746,925,-56.2,184,13,2392,766,16517,696,1.8494288,1,150,02_lde_aligned\frame_0016_aligned.csv
17,105569462526,750.3125,750,967,-55.68,208,13,2704,769,17059,700,1.9450559,1,150,02_lde_aligned\frame_0017_aligned.csv
18,111959243680,752.0937,752,964,-56.34,184,13,2392,754,17231,702,2.0440837,1,150,02_lde_aligned\frame_0018_aligned.csv
19,118349125706,746.625,746,1024,-56.63,212,13,2756,748,17169,696,2.1432856,1,150,02_lde_aligned\frame_0019_aligned.csv
20,124738843867,748.7656,748,990,-56.62,200,13,2600,768,17274,698,2.2381621,1,150,02_lde_aligned\frame_0020_aligned.csv
21,131128628583,751.3281,751,972,-56.7,276,13,3588,753,17412,701,2.3485924,1,150,02_lde_aligned\frame_0021_aligned.csv
22,137518411251,753.5156,753,1007,-56.59,204,13,2652,755,17454,703,2.438351,1,150,02_lde_aligned\frame_0022_aligned.csv
23,143908203123,747.5156,747,936,-56.39,184,13,2392,749,16542,697,2.5434574,1,150,02_lde_aligned\frame_0023_aligned.csv
24,150297996015,732.5781,732,967,-56.18,200,13,2600,752,17529,682,2.6381318,1,150,02_lde_aligned\frame_0024_aligned.csv
25,156687788381,751.1719,751,999,-56.66,196,13,2548,753,17820,701,2.7367269,1,150,02_lde_aligned\frame_0025_aligned.csv
26,163077670848,752.7187,752,1003,-56.76,200,13,2600,772,17935,702,2.8473016,1,150,02_lde_aligned\frame_0026_aligned.csv
27,169467385887,746.2031,746,994,-56.91,272,13,3536,765,17248,696,2.9425993,1,150,02_lde_aligned\frame_0027_aligned.csv
28,175857175692,748.1562,748,989,-56.14,212,13,2756,750,17886,698,3.0414076,1,150,02_lde_aligned\frame_0028_aligned.csv
29,182246956756,748.7812,748,1036,-56.79,208,13,2704,751,17513,698,3.1375186,1,150,02_lde_aligned\frame_0029_aligned.csv
30,188636838692,750.5312,750,941,-56.02,192,13,2496,752,16757,700,3.2482883,1,150,02_lde_aligned\frame_0030_aligned.csv
31,195026556767,751.0781,751,972,-56.7,200,13,2600,770,17245,701,3.3474671,1,150,02_lde_aligned\frame_0031_aligned.csv
32,201416341392,751.7187,751,1017,-56.66,204,13,2652,771,17858,701,3.4428711,1,150,02_lde_aligned\frame_0032_aligned.csv
33,207806123974,752.5625,752,962,-56.67,188,13,2444,772,17137,702,3.5385349,1,150,02_lde_aligned\frame_0033_aligned.csv
34,214195916775,752.8281,752,978,-56.76,192,13,2496,772,17534,702,3.6371943,1,150,02_lde_aligned\frame_0034_aligned.csv
35,220585799165,745.5469,745,1020,-56.76,200,13,2600,747,17904,695,3.7482182,1,150,02_lde_aligned\frame_0035_aligned.csv
36,226975512051,745.6406,745,1004,-56.5,204,13,2652,765,17878,695,3.8437025,1,150,02_lde_aligned\frame_0036_aligned.csv
37,233365306347,753.5156,753,1001,-56.69,200,13,2600,784,16949,703,3.9398361,1,150,02_lde_aligned\frame_0037_aligned.csv
38,239755096536,752.5937,752,932,-56.44,180,13,2340,772,16433,702,4.0385091,1,150,02_lde_aligned\frame_0038_aligned.csv
39,246144892341,751.9219,751,982,-56.24,204,13,2652,771,16936,701,4.1498405,1,150,02_lde_aligned\frame_0039_aligned.csv
40,252534666118,751.5625,751,969,-56.2,184,13,2392,771,17218,701,4.2448095,1,150,02_lde_aligned\frame_0040_aligned.csv
41,258924458317,750.1719,750,978,-56.28,208,13,2704,752,17710,700,4.3389715,1,150,02_lde_aligned\frame_0041_aligned.csv
42,265314263790,749.1875,749,990,-56.19,200,13,2600,751,17595,699,4.4493482,1,150,02_lde_aligned\frame_0042_aligned.csv
43,271704058006,748.3125,748,1000,-56.45,212,13,2756,767,17112,698,4.5484171,1,150,02_lde_aligned\frame_0043_aligned.csv
44,278093848083,745.5156,745,1012,-56.37,200,13,2600,765,17938,695,4.6460745,1,150,02_lde_aligned\frame_0044_aligned.csv
45,284483644285,751.1719,751,964,-56.17,196,13,2548,770,16885,701,4.7404569,1,150,02_lde_aligned\frame_0045_aligned.csv
46,290873428717,748.7969,748,927,-55.86,196,13,2548,768,16729,698,4.8499715,1,150,02_lde_aligned\frame_0046_aligned.csv
47,297263223853,746.2969,746,940,-56.53,248,13,3224,748,16856,696,4.9439524,1,150,02_lde_aligned\frame_0047_aligned.csv
