sample,taps_from_fp,amplitude,amplitude_norm
702,-50.7030999999999,447,0.47705
703,-49.7030999999999,148.41,0.15839
704,-48.7030999999999,546.77,0.58354
705,-47.7030999999999,878.26,0.93731
706,-46.7030999999999,946.18,1.00979
707,-45.7030999999999,798.16,0.85183
708,-44.7030999999999,857.53,0.91518
709,-43.7030999999999,505.06,0.53902
710,-42.7030999999999,183.36,0.19569
711,-41.7030999999999,421.17,0.44949
712,-40.7030999999999,187.77,0.20039
713,-39.7030999999999,337.43,0.36012
714,-38.7030999999999,222.58,0.23754
715,-37.7030999999999,94.92,0.1013
716,-36.7030999999999,57.14,0.06098
717,-35.7030999999999,81.61,0.0871
718,-34.7030999999999,160.7,0.17151
719,-33.7030999999999,173.66,0.18533
720,-32.7030999999999,234.01,0.24974
721,-31.7030999999999,322.69,0.34439
722,-30.7030999999999,358.21,0.38229
723,-29.7030999999999,320.73,0.3423
724,-28.7030999999999,280.28,0.29913
725,-27.7030999999999,180.14,0.19225
726,-26.7030999999999,65,0.06937
727,-25.7030999999999,370.57,0.39548
728,-24.7030999999999,403.52,0.43065
729,-23.7030999999999,212.33,0.2266
730,-22.7030999999999,110.64,0.11808
731,-21.7030999999999,195.67,0.20883
732,-20.7030999999999,352.95,0.37668
733,-19.7030999999999,143.54,0.1532
734,-18.7030999999999,134.24,0.14326
735,-17.7030999999999,124.68,0.13306
736,-16.7030999999999,188.73,0.20142
737,-15.7030999999999,260.8,0.27834
738,-14.7030999999999,65.3,0.06969
739,-13.7030999999999,180.89,0.19305
740,-12.7030999999999,417.82,0.44592
741,-11.7030999999999,400.37,0.42729
742,-10.7030999999999,93.01,0.09926
743,-9.70309999999995,105.42,0.11251
744,-8.70309999999995,155.87,0.16635
745,-7.70309999999995,100,0.10672
746,-6.70309999999995,66.85,0.07135
747,-5.70309999999995,83.49,0.0891
748,-4.70309999999995,170.24,0.18168
749,-3.70309999999995,218.56,0.23326
750,-2.70309999999995,144.45,0.15416
751,-1.70309999999995,248.02,0.26469
752,-0.703099999999949,3011.2,3.21366
753,0.296900000000051,12293.56,13.12013
754,1.29690000000005,17035.25,18.18063
755,2.29690000000005,16567.36,17.68128
756,3.29690000000005,14832.83,15.83013
757,4.29690000000005,16138.92,17.22403
758,5.29690000000005,5485.46,5.85428
759,6.29690000000005,10973.63,11.71145
760,7.29690000000005,5240.79,5.59316
761,8.29690000000005,5744.8,6.13106
762,9.29690000000005,1849.85,1.97423
763,10.2969000000001,7961.14,8.49642
764,11.2969000000001,5994.62,6.39768
765,12.2969000000001,3794.23,4.04934
766,13.2969000000001,6447.65,6.88117
767,14.2969000000001,1046.28,1.11663
768,15.2969000000001,8890.79,9.48857
769,16.2969000000001,15389.89,16.42464
770,17.2969000000001,15526.52,16.57046
771,18.2969000000001,12705.63,13.55991
772,19.2969000000001,16373.67,17.47457
773,20.2969000000001,12249.56,13.07317
774,21.2969000000001,1930.35,2.06014
775,22.2969000000001,5687.16,6.06954
776,23.2969000000001,1122.99,1.1985
777,24.2969000000001,4244.02,4.52937
778,25.2969000000001,3533.69,3.77128
779,26.2969000000001,1201.43,1.28221
780,27.2969000000001,1225.82,1.30824
781,28.2969000000001,3171.33,3.38456
782,29.2969000000001,2556.46,2.72834
783,30.2969000000001,1251.74,1.3359
784,31.2969000000001,3154.62,3.36673
785,32.2969000000001,2368.17,2.52739
786,33.2969000000001,849.6,0.90673
787,34.2969000000001,541.65,0.57807
788,35.2969000000001,338.82,0.3616
789,36.2969000000001,251.55,0.26846
790,37.2969000000001,903.97,0.96474
791,38.2969000000001,1429.62,1.52574
792,39.2969000000001,2235.91,2.38624
793,40.2969000000001,2263.14,2.4153
794,41.2969000000001,1047.7,1.11814
795,42.2969000000001,570.2,0.60854
796,43.2969000000001,2021.3,2.1572
797,44.2969000000001,2470.19,2.63627
798,45.2969000000001,2575.53,2.7487
799,46.2969000000001,1134.57,1.21085
800,47.2969000000001,499.89,0.5335
801,48.2969000000001,618.81,0.66042
802,49.2969000000001,1352.6,1.44355
803,50.2969000000001,1468.05,1.56676
804,51.2969000000001,920.97,0.98289
805,52.2969000000001,1538.27,1.6417
806,53.2969000000001,1630.93,1.74059
807,54.2969000000001,1489.09,1.58921
808,55.2969000000001,758.54,0.80954
809,56.2969000000001,128.14,0.13676
810,57.2969000000001,463.26,0.49441
811,58.2969000000001,108.41,0.1157
812,59.2969000000001,460.14,0.49107
813,60.2969000000001,816.01,0.87088
814,61.2969000000001,683.48,0.72943
815,62.2969000000001,470.34,0.50196
816,63.2969000000001,206.81,0.22072
817,64.2969000000001,542.48,0.57895
818,65.2969000000001,163.48,0.17447
819,66.2969000000001,532.17,0.56795
820,67.2969000000001,875.38,0.93424
821,68.2969000000001,811.2,0.86574
822,69.2969000000001,673.39,0.71866
823,70.2969000000001,557.92,0.59543
824,71.2969000000001,522.92,0.55808
825,72.2969000000001,742.78,0.79272
826,73.2969000000001,426.06,0.4547
827,74.2969000000001,557.9,0.59542
828,75.2969000000001,469.42,0.50098
829,76.2969000000001,375.28,0.40051
830,77.2969000000001,655.17,0.69922
831,78.2969000000001,449.14,0.47934
832,79.2969000000001,811.81,0.86639
833,80.2969000000001,1094.56,1.16815
834,81.2969000000001,1139.37,1.21598
835,82.2969000000001,970.48,1.03574
836,83.2969000000001,783.37,0.83604
837,84.2969000000001,426.75,0.45544
838,85.2969000000001,416.78,0.44481
839,86.2969000000001,862.27,0.92024
840,87.2969000000001,606.97,0.64778
841,88.2969000000001,585.57,0.62494
842,89.2969000000001,330.13,0.35233
843,90.2969000000001,236.01,0.25188
844,91.2969000000001,249.61,0.26639
845,92.2969000000001,255.36,0.27253
846,93.2969000000001,503.92,0.53781
847,94.2969000000001,477.6,0.50972
848,95.2969000000001,480.98,0.51332
849,96.2969000000001,112.49,0.12005
850,97.2969000000001,701.01,0.74814
851,98.2969000000001,821.42,0.87665
