FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
1,4838815932,750.4062,750,978,-57.11,80,13,1040,753,17660,700,0.4375464,1,150,02_lde_aligned\frame_0001_aligned.csv
2,11228601142,752.4375,752,895,-56.54,60,13,780,754,16724,702,0.5310135,1,150,02_lde_aligned\frame_0002_aligned.csv
3,17618385872,747.4687,747,889,-56.69,76,13,988,749,16983,697,0.6296247,1,150,02_lde_aligned\frame_0003_aligned.csv
4,24008170587,749.0156,749,906,-56.57,76,13,988,751,17212,699,0.7250545,1,150,02_lde_aligned\frame_0004_aligned.csv
5,30397955320,751.4687,751,957,-57.29,68,13,884,754,17286,701,0.839382,1,150,02_lde_aligned\frame_0005_aligned.csv
6,36787740583,746.3281,746,905,-56.55,68,13,884,748,17100,696,0.9357821,1,150,02_lde_aligned\frame_0006_aligned.csv
7,43177525342,749.5625,749,887,-56.48,80,13,1040,751,16520,699,1.0299648,1,150,02_lde_aligned\frame_0007_aligned.csv
8,49567310141,753.0469,753,929,-57.01,64,13,832,772,16676,703,1.125152,1,150,02_lde_aligned\frame_0008_aligned.csv
9,55957094972,748.2812,748,969,-57.58,60,13,780,767,17292,698,1.2219111,1,150,02_lde_aligned\frame_0009_aligned.csv
10,62346879811,753.2656,753,974,-56.78,80,13,1040,756,17121,703,1.3364547,1,150,02_lde_aligned\frame_0010_aligned.csv
11,68736664684,749.1562,749,967,-57.11,76,13,988,751,17870,699,1.4335451,1,150,02_lde_aligned\frame_0011_aligned.csv
12,75126450072,746.3437,746,935,-57.14,68,13,884,748,17154,696,1.5284397,1,150,02_lde_aligned\frame_0012_aligned.csv
13,81516234956,750.9062,750,915,-56.75,68,13,884,753,16871,700,1.6236488,1,150,02_lde_aligned\frame_0013_aligned.csv
14,87906019832,747.4687,747,960,-56.84,76,13,988,749,18095,697,1.7344529,1,150,02_lde_aligned\frame_0014_aligned.csv
15,94295804707,751.6406,751,944,-56.67,88,13,1144,753,17750,701,1.8345709,1,150,02_lde_aligned\frame_0015_aligned.csv
16,100685589571,748.5156,748,953,-57.45,72,13,936,750,17155,698,1.9321878,1,150,02_lde_aligned\frame_0016_aligned.csv
17,107075374418,753.25,753,904,-56.68,64,13,832,755,17274,703,2.0260699,1,150,02_lde_aligned\frame_0017_aligned.csv
