taps_from_fp,amplitude_norm_diff,background_mean,phase2_mean,n_background,n_phase2
-50,0.0467527969512488,0.221643584718752,0.268396381670001,96,100
-49.5,0.0701686632937489,0.210825751156251,0.28099441445,96,100
-49,0.102664974632078,0.384100204447918,0.486765179079997,96,100
-48.5,0.118285890622912,0.624778453427086,0.743064344049997,96,100
-48,0.0934969451208311,0.804618669479168,0.898115614599999,96,100
-47.5,0.0483830113691661,0.924847599770834,0.973230611140001,96,100
-47,0.0294545322279189,0.937043085302082,0.966497617530001,96,100
-46.5,0.0208836303287516,0.90843086978125,0.929314500110001,96,100
-46,0.00955140380000097,0.8889409905,0.898492394300001,96,100
-45.5,-0.000726240428332359,0.890784867458332,0.89005862703,96,100
-45,-0.00732626277791659,0.917582039447916,0.91025577667,96,100
-44.5,-0.0146644626766662,0.926567771666667,0.911903308990001,96,100
-44,0.00104392348708737,0.787786441572914,0.788830365060001,96,100
-43.5,0.00406926777125327,0.567021693968748,0.571090961740001,96,100
-43,-0.0165817014483344,0.379252145458334,0.36267044401,96,100
-42.5,-0.00761672674583574,0.283110896395834,0.275494169649998,96,100
-42,0.0145733362337498,0.29767894015625,0.31225227639,96,100
-41.5,0.0179382775337508,0.29408423915625,0.312022516690001,96,100
-41,0.0124840574866701,0.214514797583332,0.226998855070002,96,100
-40.5,0.00833659587958765,0.140029262010415,0.148365857890002,96,100
-40,-0.0147054156687492,0.15854404096875,0.143838625300001,96,100
-39.5,-0.0412198547870834,0.203855086927083,0.16263523214,96,100
-39,-0.0519363366716669,0.207007415541667,0.15507107887,96,100
-38.5,-0.0555907941691677,0.185933603479167,0.13034280931,96,100
-38,-0.0421356747795842,0.152414974239584,0.110279299459999,96,100
-37.5,-0.017991993802501,0.1245543988125,0.106562405009999,96,100
-37,-0.00400462881333502,0.140680755083333,0.136676126269998,96,100
-36.5,0.00628056669166568,0.177743016458334,0.18402358315,96,100
-36,0.00418358690166518,0.231787663208334,0.23597125011,96,100
-35.5,-0.0124771250462508,0.284263157406251,0.27178603236,96,100
-35,-0.0355205469037484,0.28343650234375,0.247915955440001,96,100
-34.5,-0.0591510227933323,0.255034605833333,0.195883583040001,96,100
-34,-0.055912568202082,0.212534996052082,0.15662242785,96,100
-33.5,-0.0366251442429151,0.179462465572916,0.14283732133,96,100
-33,-0.0272816863541675,0.197632923104168,0.17035123675,96,100
-32.5,-0.0256181097745843,0.240981381614584,0.21536327184,96,100
-32,-0.0352049470879173,0.299671611197917,0.26446666411,96,100
-31.5,-0.04385981381875,0.34241941671875,0.2985596029,96,100
-31,-0.0318748525949991,0.319108647374999,0.28723379478,96,100
-30.5,-0.0154626216424994,0.2813260050625,0.26586338342,96,100
-30,-0.0146843834141669,0.282040226354167,0.26735584294,96,100
-29.5,-0.0196723859141671,0.304826532604167,0.28515414669,96,100
-29,-0.0345660841541679,0.359058214104167,0.324492129949999,96,100
-28.5,-0.0521243340516679,0.406588001791667,0.354463667739999,96,100
