taps_from_fp,offset_m,amplitude_norm_diff,amplitude_norm_diff_pos,background_mean,phase2_mean,n_background,n_phase2
-50,NaN,0.0146758281958789,0.0146758281958789,0.233709936804122,0.248385765000001,97,99
-49.5,NaN,0.00527691390835688,0.00527691390835688,0.279712733536084,0.284989647444441,97,99
-49,NaN,0.0156808026132463,0.0156808026132463,0.501738765144332,0.517419567757578,97,99
-48.5,NaN,0.029373262529732,0.029373262529732,0.752922352278353,0.782295614808085,97,99
-48,NaN,0.0196187852982386,0.0196187852982386,0.923042441237116,0.942661226535355,97,99
-47.5,NaN,0.00450985615026744,0.00450985615026744,1.03189276606186,1.03640262221212,97,99
-47,NaN,-0.00999599203009538,0,1.04112317998969,1.0311271879596,97,99
-46.5,NaN,-0.0144856922682491,0,1.00941006827835,0.994924376010101,97,99
-46,NaN,-0.013638301822346,0,0.967834620206185,0.954196318383839,97,99
-45.5,NaN,-0.0196954468849329,0,0.950499923804124,0.930804476919191,97,99
-45,NaN,-0.0240379809070094,0,0.980524948896908,0.956486967989899,97,99
-44.5,NaN,-0.0227034264346525,0,0.994266585515463,0.971563159080811,97,99
-44,NaN,-0.0151583024795385,0,0.865148485237112,0.849990182757573,97,99
-43.5,NaN,-0.00202958293241484,0,0.647125740154637,0.645096157222222,97,99
-43,NaN,0.0001715672524219,0.0001715672524219,0.427410683505153,0.427582250757575,97,99
-42.5,NaN,-0.0129040862469085,0,0.30805675172165,0.295152665474742,97,99
-42,NaN,-0.0206040459228383,0,0.335321628680413,0.314717582757575,97,99
-41.5,NaN,-0.0164104233692569,0,0.335832571278349,0.319422147909092,97,99
-41,NaN,-0.013400229674059,0,0.240612852865978,0.227212623191919,97,99
-40.5,NaN,-0.0182123325043234,0,0.164488397463918,0.146276064959594,97,99
-40,NaN,-0.0418108584417369,0,0.19440107486598,0.152590216424243,97,99
-39.5,NaN,-0.0696273040119745,0,0.242033761092783,0.172406457080809,97,99
-39,NaN,-0.0698838517937103,0,0.230837279288659,0.160953427494949,97,99
-38.5,NaN,-0.0541269673833174,0,0.191063443474226,0.136936476090909,97,99
-38,NaN,-0.02953365756347,0,0.146456471391753,0.116922813828283,97,99
-37.5,NaN,-0.00732103086035744,0,0.112807982587629,0.105486951727272,97,99
-37,NaN,0.00150252381005928,0.00150252381005928,0.123696003402062,0.125198527212121,97,99
-36.5,NaN,0.00108930154930681,0.00108930154930681,0.162209380309279,0.163298681858586,97,99
-36,NaN,-0.00150621354628752,0,0.223566982041238,0.22206076849495,97,99
-35.5,NaN,-0.00121829034332865,0,0.275395088494845,0.274176798151517,97,99
-35,NaN,0.00291252273779008,0.00291252273779008,0.264676108979381,0.267588631717171,97,99
-34.5,NaN,0.00529223729365916,0.00529223729365916,0.224557876463917,0.229850113757576,97,99
-34,NaN,-0.00794685771737927,0,0.185863476010308,0.177916618292929,97,99
-33.5,NaN,-0.0201212788624405,0,0.164099623690721,0.143978344828281,97,99
-33,NaN,-0.020014986310007,0,0.185231325845361,0.165216339535354,97,99
-32.5,NaN,-0.013136073588671,0,0.226045458639176,0.212909385050505,97,99
-32,NaN,0.00561105857992228,0.00561105857992228,0.273192311793815,0.278803370373737,97,99
-31.5,NaN,0.0234036006537562,0.0234036006537562,0.310991190639175,0.334394791292931,97,99
-31,NaN,0.0228975197379991,0.0228975197379991,0.314121763969071,0.337019283707071,97,99
-30.5,NaN,0.00913701849963466,0.00913701849963466,0.308715012268041,0.317852030767676,97,99
-30,NaN,-0.0170246507552856,0,0.328515756886599,0.311491106131313,97,99
-29.5,NaN,-0.0432775547511204,0,0.365818095680413,0.322540540929293,97,99
-29,NaN,-0.0536663006591683,0,0.413093239628866,0.359426938969698,97,99
-28.5,NaN,-0.0526635813087555,0,0.438890428783505,0.386226847474749,97,99
-28,NaN,-0.0295483641610966,0,0.377009468474226,0.34746110431313,97,99
-27.5,NaN,-0.00232240242538784,0,0.2801409485567,0.277818546131312,97,99
-27,NaN,0.00262592478840057,0.00262592478840057,0.209520075474226,0.212146000262626,97,99
-26.5,NaN,0.00571048918150274,0.00571048918150274,0.187905479515464,0.193615968696967,97,99
-26,NaN,0.0180626719548061,0.0180626719548061,0.259813551237114,0.27787622319192,97,99
-25.5,NaN,0.0299635560614414,0.0299635560614414,0.343958502958763,0.373922059020204,97,99
-25,NaN,0.040302371108819,0.040302371108819,0.349565758113402,0.389868129222221,97,99
-24.5,NaN,0.0432418608267207,0.0432418608267207,0.31793451357732,0.36117637440404,97,99
-24,NaN,0.0238657313379154,0.0238657313379154,0.302173464773196,0.326039196111112,97,99
-23.5,NaN,-0.000724305545766357,0,0.296534810515464,0.295810504969698,97,99
-23,NaN,-0.00466726239154486,0,0.242112935381443,0.237445672989898,97,99
-22.5,NaN,0.00132645698240005,0.00132645698240005,0.166726730371133,0.168053187353533,97,99
-22,NaN,-0.00210904840581044,0,0.139912966587629,0.137803918181818,97,99
-21.5,NaN,-0.00999967691086132,0,0.144263688587629,0.134264011676767,97,99
-21,NaN,-0.0120315207750699,0,0.152884068865979,0.140852548090909,97,99
-20.5,NaN,-0.00741752328324471,0,0.156132776020618,0.148715252737374,97,99
-20,NaN,0.0126236873433304,0.0126236873433304,0.166244540505154,0.178868227848485,97,99
-19.5,NaN,0.0348529009986469,0.0348529009986469,0.18087439656701,0.215727297565657,97,99
-19,NaN,0.0301787054613132,0.0301787054613132,0.175482569164949,0.205661274626262,97,99
-18.5,NaN,0.0102054526639583,0.0102054526639583,0.159223761134021,0.169429213797979,97,99
-18,NaN,-0.000868162302924885,0,0.160532346494845,0.15966418419192,97,99
-17.5,NaN,-0.00352187927803893,0,0.186151335762887,0.182629456484848,97,99
-17,NaN,-0.00399999321868275,0,0.247864266824744,0.243864273606061,97,99
-16.5,NaN,-0.0052946375426427,0,0.308001623360826,0.302706985818183,97,99
-16,NaN,-0.0095763081735909,0,0.333308126092784,0.323731817919193,97,99
-15.5,NaN,-0.0118201363080268,0,0.340121387247422,0.328301250939395,97,99
