FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,STD_NOISE,NTM,NOISE_THRESH,PEAK_IDX,PEAK_AMPL,START,elapsed_s,tag_anchor_dist_m,n_samples,aligned_csv
1,3477350277,748.2969,748,965,-56.22,132,13,1716,750,16806,698,0.4152788,1,150,02_lde_aligned\frame_0001_aligned.csv
2,9867147114,747.5,747,963,-55.57,128,13,1664,778,17590,697,0.512204,1,150,02_lde_aligned\frame_0002_aligned.csv
3,16257006972,747.6562,747,991,-56.19,124,13,1612,778,17382,697,0.6154752,1,150,02_lde_aligned\frame_0003_aligned.csv
4,22646698382,748.4375,748,964,-56.18,124,13,1612,779,17087,698,0.7071637,1,150,02_lde_aligned\frame_0004_aligned.csv
5,29036495783,748.5781,748,987,-56.35,144,13,1872,750,16938,698,0.8104447,1,150,02_lde_aligned\frame_0005_aligned.csv
6,35426355116,749.0312,749,966,-56.13,124,13,1612,780,16205,699,0.9143258,1,150,02_lde_aligned\frame_0006_aligned.csv
7,41816047027,748.6406,748,990,-55.67,140,13,1820,750,17421,698,1.0079829,1,150,02_lde_aligned\frame_0007_aligned.csv
8,48205844386,748.5,748,958,-55.69,128,13,1664,779,17535,698,1.1197372,1,150,02_lde_aligned\frame_0008_aligned.csv
9,54595703710,748.3125,748,943,-55.33,136,13,1768,779,17188,698,1.2068054,1,150,02_lde_aligned\frame_0009_aligned.csv
10,60985395586,748.375,748,967,-55.87,128,13,1664,779,17694,698,1.3053995,1,150,02_lde_aligned\frame_0010_aligned.csv
11,67375192428,748.0312,748,964,-56.07,128,13,1664,779,16909,698,1.4195739,1,150,02_lde_aligned\frame_0011_aligned.csv
12,73765052258,747.625,747,979,-56.46,140,13,1820,749,16387,697,1.5197355,1,150,02_lde_aligned\frame_0012_aligned.csv
13,80154743609,746.7344,746,979,-55.42,140,13,1820,777,17231,696,1.6132856,1,150,02_lde_aligned\frame_0013_aligned.csv
14,86544540945,746.3594,746,929,-55.78,132,13,1716,777,16550,696,1.7084487,1,150,02_lde_aligned\frame_0014_aligned.csv
15,92934400247,745.8281,745,975,-55.9,140,13,1820,747,16925,695,1.8197847,1,150,02_lde_aligned\frame_0015_aligned.csv
16,99324092105,745.3594,745,974,-56.15,136,13,1768,747,17071,695,1.9170986,1,150,02_lde_aligned\frame_0016_aligned.csv
17,105713889449,752.6094,752,981,-56.08,140,13,1820,754,17068,702,2.0161014,1,150,02_lde_aligned\frame_0017_aligned.csv
18,112103748729,751.6094,751,989,-56.05,140,13,1820,782,17428,701,2.1129817,1,150,02_lde_aligned\frame_0018_aligned.csv
19,118493440586,751.375,751,974,-56.3,140,13,1820,782,17130,701,2.2072059,1,150,02_lde_aligned\frame_0019_aligned.csv
20,124883237925,750.6719,750,954,-55.51,132,13,1716,781,17120,700,2.3189214,1,150,02_lde_aligned\frame_0020_aligned.csv
21,131273097208,750.0937,750,961,-55.6,128,13,1664,781,16488,700,2.4128085,1,150,02_lde_aligned\frame_0021_aligned.csv
22,137662789066,749.25,749,967,-55.52,136,13,1768,780,17686,699,2.5102091,1,150,02_lde_aligned\frame_0022_aligned.csv
23,144052585896,748.4687,748,974,-55.79,132,13,1716,779,17415,698,2.6195682,1,150,02_lde_aligned\frame_0023_aligned.csv
24,150442445693,748.2969,748,963,-56.36,140,13,1820,750,16578,698,2.7178051,1,150,02_lde_aligned\frame_0024_aligned.csv
25,156832137042,747.5,747,979,-56.41,136,13,1768,749,16658,697,2.8120335,1,150,02_lde_aligned\frame_0025_aligned.csv
26,163221934373,746.5469,746,973,-55.55,140,13,1820,777,17287,696,2.9069114,1,150,02_lde_aligned\frame_0026_aligned.csv
27,169611793658,745.625,745,948,-55.57,136,13,1768,776,16816,695,3.0189298,1,150,02_lde_aligned\frame_0027_aligned.csv
28,176001485511,745.2031,745,957,-55.78,140,13,1820,776,17184,695,3.1190852,1,150,02_lde_aligned\frame_0028_aligned.csv
29,182391282845,752.5469,752,968,-55.5,140,13,1820,783,17312,702,3.2172444,1,150,02_lde_aligned\frame_0029_aligned.csv
30,188781142127,751.9531,751,976,-55.96,136,13,1768,783,17148,701,3.3130525,1,150,02_lde_aligned\frame_0030_aligned.csv
31,195170833991,751.3281,751,982,-56.46,144,13,1872,753,16564,701,3.4151036,1,150,02_lde_aligned\frame_0031_aligned.csv
32,201560630812,750.4062,750,984,-55.79,144,13,1872,752,17442,700,3.5089904,1,150,02_lde_aligned\frame_0032_aligned.csv
33,207950490614,749.8125,749,972,-56.16,144,13,1872,751,16671,699,3.6069647,1,150,02_lde_aligned\frame_0033_aligned.csv
34,214340181954,748.875,748,984,-55.77,140,13,1820,750,17168,698,3.7204965,1,150,02_lde_aligned\frame_0034_aligned.csv
35,220729979287,748.5781,748,981,-56.56,144,13,1872,750,16586,698,3.8192465,1,150,02_lde_aligned\frame_0035_aligned.csv
36,227119838559,747.4531,747,994,-56.55,140,13,1820,778,16968,697,3.9151452,1,150,02_lde_aligned\frame_0036_aligned.csv
37,233509530421,746.6719,746,937,-55.55,132,13,1716,777,16863,696,4.0102735,1,150,02_lde_aligned\frame_0037_aligned.csv
38,239899327744,746.3437,746,932,-55.82,132,13,1716,777,16575,696,4.1064925,1,150,02_lde_aligned\frame_0038_aligned.csv
39,246289187033,745.3594,745,987,-56.38,144,13,1872,776,17197,695,4.2195325,1,150,02_lde_aligned\frame_0039_aligned.csv
40,252678878897,744.7344,744,971,-55.75,136,13,1768,746,17002,694,4.317129,1,150,02_lde_aligned\frame_0040_aligned.csv
41,259068675702,752.1875,752,966,-56.24,124,13,1612,783,17232,702,4.4125195,1,150,02_lde_aligned\frame_0041_aligned.csv
42,265458535504,751.4687,751,971,-55.7,136,13,1768,753,17265,701,4.5102626,1,150,02_lde_aligned\frame_0042_aligned.csv
43,271848226850,750.5,750,990,-56.45,140,13,1820,781,17197,700,4.6207756,1,150,02_lde_aligned\frame_0043_aligned.csv
44,278238024169,750.1094,750,946,-55.73,128,13,1664,781,16614,700,4.7184734,1,150,02_lde_aligned\frame_0044_aligned.csv
45,284627883467,749.1406,749,937,-55.51,136,13,1768,780,16988,699,4.8137997,1,150,02_lde_aligned\frame_0045_aligned.csv
46,291017575321,748.6094,748,978,-56.49,144,13,1872,750,16740,698,4.9150514,1,150,02_lde_aligned\frame_0046_aligned.csv
47,297407372654,747.5625,747,964,-55.5,144,13,1872,778,17248,697,5.0062274,1,150,02_lde_aligned\frame_0047_aligned.csv
48,303797231924,747.1562,747,974,-56.28,136,13,1768,778,17174,697,5.1211923,1,150,02_lde_aligned\frame_0048_aligned.csv
49,310186923788,746.5312,746,968,-56.53,128,13,1664,748,16910,696,5.2181732,1,150,02_lde_aligned\frame_0049_aligned.csv
50,316576720603,745.6406,745,966,-55.63,124,13,1612,776,17639,695,5.3138231,1,150,02_lde_aligned\frame_0050_aligned.csv
51,322966580411,744.6406,744,935,-55.69,124,13,1612,775,17075,694,5.4085364,1,150,02_lde_aligned\frame_0051_aligned.csv
52,329356271754,752.25,752,933,-55.38,144,13,1872,783,16670,702,5.5186049,1,150,02_lde_aligned\frame_0052_aligned.csv
53,335746069085,751.5469,751,977,-55.7,144,13,1872,753,17230,701,5.6180634,1,150,02_lde_aligned\frame_0053_aligned.csv
54,342135928371,750.6406,750,992,-56.15,148,13,1924,752,17277,700,5.7072135,1,150,02_lde_aligned\frame_0054_aligned.csv
55,348525620221,750.2969,750,955,-55.68,136,13,1768,781,17316,700,5.8137512,1,150,02_lde_aligned\frame_0055_aligned.csv
56,354915417562,749.625,749,968,-55.91,144,13,1872,751,17037,699,5.9086257,1,150,02_lde_aligned\frame_0056_aligned.csv
57,361305276844,748.6562,748,983,-56.56,144,13,1872,750,16425,698,6.0194463,1,150,02_lde_aligned\frame_0057_aligned.csv
58,367694968696,747.8437,747,970,-56.17,128,13,1664,749,16773,697,6.1156698,1,150,02_lde_aligned\frame_0058_aligned.csv
59,374084765514,747.25,747,945,-55.38,140,13,1820,778,17174,697,6.2149305,1,150,02_lde_aligned\frame_0059_aligned.csv
60,380474625305,746.4844,746,967,-55.93,132,13,1716,777,17632,696,6.3111793,1,150,02_lde_aligned\frame_0060_aligned.csv
61,386864316664,745.7187,745,981,-55.97,140,13,1820,747,17075,695,6.4058436,1,150,02_lde_aligned\frame_0061_aligned.csv
62,393254113992,745.4687,745,969,-56.13,148,13,1924,747,17041,695,6.5170019,1,150,02_lde_aligned\frame_0062_aligned.csv
63,399643973270,752.3125,752,985,-55.9,144,13,1872,783,17783,702,6.6106578,1,150,02_lde_aligned\frame_0063_aligned.csv
64,406033665135,751.5781,751,970,-56.15,132,13,1716,782,17009,701,6.7053299,1,150,02_lde_aligned\frame_0064_aligned.csv
65,412423462470,751.3125,751,953,-55.75,136,13,1768,753,16598,701,6.8192012,1,150,02_lde_aligned\frame_0065_aligned.csv
66,418813321754,750.625,750,976,-56.19,128,13,1664,752,16640,700,6.9156104,1,150,02_lde_aligned\frame_0066_aligned.csv
