sample,real,imag,magnitude
0,0,0,0
1,-69,-1,69.01
2,-1,-1,1.41
3,-1,-1,1.41
4,25,0,25
5,0,0,0
6,0,0,0
7,0,7967,7967
8,7967,7967,11267.04
9,7967,7967,11267.04
10,31,-24159,24159.02
11,-24159,-24159,34165.98
12,-24159,-24159,34165.98
13,-24159,263,24160.43
14,257,257,363.45
15,257,257,363.45
16,257,257,363.45
17,16191,372,16195.27
18,1,0,1
19,0,0,0
20,0,0,0
21,0,8224,8224
22,8224,8224,11630.49
23,8224,8224,11630.49
24,32,-25444,25444.02
25,-25444,-25444,35983.25
26,-25444,-25444,35983.25
27,-25444,327,25446.1
28,257,257,363.45
29,257,257,363.45
30,257,250,358.54
31,0,0,0
32,0,0,0
33,0,256,256
34,30583,30583,43250.89
35,30583,30583,43250.89
36,30583,119,30583.23
37,-19533,-19533,27623.83
38,-19533,-19533,27623.83
39,-19533,-19533,27623.83
40,87,0,87
41,0,0,0
42,0,0,0
43,-25958,-25958,36710.16
44,-25958,-25958,36710.16
45,154,-13365,13365.89
46,-13365,-13365,18900.96
47,-13365,-13365,18900.96
48,-13365,207,13366.6
49,0,0,0
50,0,0,0
51,0,71,71
52,0,0,0
53,0,0,0
54,0,0,0
55,30583,30583,43250.89
56,30583,30583,43250.89
57,30583,119,30583.23
58,13621,13621,19263
59,13621,13621,19263
60,13621,13621,19263
61,41,0,41
62,0,0,0
63,0,0,0
64,3341,3341,4724.89
65,31,0,31
66,0,0,0
67,0,0,0
68,44,0,44
69,0,0,0
70,0,0,0
71,0,-21589,21589
72,-21589,-21589,30531.46
73,-21589,-21589,30531.46
74,171,22102,22102.66
75,22102,22102,31256.95
76,22102,22102,31256.95
77,22102,225,22103.14
78,0,0,0
79,0,0,0
80,0,115,115
81,0,0,0
82,0,0,0
83,0,768,768
84,22102,22102,31256.95
85,22102,22102,31256.95
86,22102,854,22118.49
87,-25701,-25701,36346.7
88,-25701,-25701,36346.7
89,-25701,-25701,36346.7
90,68,0,68
91,0,0,0
92,0,0,0
93,76,0,76
94,0,0,0
95,0,0,0
96,0,-28014,28014
97,-28014,-28014,39617.78
98,-28014,-28014,39617.78
99,146,6682,6683.59
100,6682,6682,9449.78
101,6682,6682,9449.78
102,6682,257,6686.94
103,257,257,363.45
104,257,257,363.45
105,257,76,268
106,0,0,0
107,0,0,0
108,0,0,0
109,24929,24929,35254.93
110,24929,24929,35254.93
111,24929,353,24931.5
112,25443,25443,35981.84
113,25443,25443,35981.84
114,25443,25443,35981.84
115,-251,-1,251
116,-1,-1,1.41
117,-1,-1,1.41
118,-155,-1,155
119,-1,-1,1.41
120,-1,-1,1.41
121,255,13107,13109.48
122,13107,13107,18536.1
123,13107,13107,18536.1
124,51,-10795,10795.12
125,-10795,-10795,15266.44
126,-10795,-10795,15266.44
127,-10795,358,10800.93
128,0,256,256
129,25700,25700,36345.29
130,25700,25700,36345.29
131,25700,100,25700.19
132,-25958,-25958,36710.16
133,-25958,-25958,36710.16
134,-25958,-25958,36710.16
135,129,0,129
136,0,0,0
137,0,0,0
138,99,0,99
139,0,0,0
140,0,0,0
141,0,13107,13107
142,13107,13107,18536.1
143,13107,13107,18536.1
144,51,3341,3341.39
145,3341,3341,4724.89
146,3341,3341,4724.89
147,3341,-469,3373.76
148,-258,-258,364.87
149,-258,-258,364.87
150,-258,-463,530.03
151,-258,-258,364.87
152,-258,-258,364.87
153,-258,-2,258.01
154,16705,16705,23624.44
155,16705,16705,23624.44
156,16705,65,16705.13
157,17219,17219,24351.34
158,17219,17219,24351.34
159,17219,17219,24351.34
160,99,0,99
161,0,0,0
162,0,0,0
163,-120,-1,120
164,-1,-1,1.41
165,-1,-1,1.41
166,255,-4370,4377.43
167,-4370,-4370,6180.11
168,-4370,-4370,6180.11
169,238,-19533,19534.45
170,-19533,-19533,27623.83
171,-19533,-19533,27623.83
172,-19533,217,19534.21
173,0,0,0
174,0,0,0
175,0,226,226
176,0,0,0
177,0,0,0
178,0,256,256
179,14392,14392,20353.36
180,14392,14392,20353.36
181,14392,1080,14432.47
182,20046,20046,28349.32
183,20046,20046,28349.32
184,20046,20046,28349.32
185,65,0,65
186,0,0,0
187,0,0,0
188,-17220,-17220,24352.76
189,-17220,-17220,24352.76
190,-17220,310,17222.79
191,257,257,363.45
192,0,-772,772
193,-772,-772,1091.77
194,-772,-772,1091.77
195,-772,199,797.24
196,0,0,0
197,0,0,0
198,0,-42,42
199,-1,-1,1.41
