sample,real,imag,amplitude,amplitude_norm
732,271,-2,271.01,0.28378
733,167,205,264.41,0.27687
734,125,242,272.38,0.28521
735,-5,182,182.07,0.19065
736,11,180,180.34,0.18883
737,35,386,387.58,0.40585
738,75,438,444.37,0.46531
739,156,274,315.3,0.33015
740,201,35,204.02,0.21364
741,254,-5,254.05,0.26602
742,377,-32,378.36,0.39618
743,379,11,379.16,0.39703
744,362,52,365.72,0.38295
745,239,60,246.42,0.25803
746,144,4,144.06,0.15084
747,112,47,121.46,0.12719
748,2,-12,12.17,0.01274
749,95,-122,154.63,0.16191
750,135,-47,142.95,0.14968
751,135,237,272.75,0.2856
752,1113,2291,2547.05,2.66707
753,8639,9116,12559.21,13.15101
754,13475,11871,17958.18,18.80438
755,12370,13522,18326.52,19.19007
756,7966,16411,18242.21,19.10179
757,-2137,14970,15121.76,15.83431
758,-9066,-7409,11708.36,12.26006
759,606,-15172,15184.1,15.89958
760,5699,-4367,7179.78,7.5181
761,1097,5387,5497.56,5.75661
762,-1142,3351,3540.25,3.70707
763,-265,308,406.31,0.42546
764,-1745,2237,2837.11,2.9708
765,-4203,2866,5087.16,5.32687
766,-1968,-193,1977.44,2.07062
767,1651,-2394,2908.1,3.04513
768,920,-244,951.81,0.99666
769,-6233,2064,6565.85,6.87524
770,-11012,-402,11019.33,11.53857
771,-4824,-3115,5742.32,6.0129
772,936,-2079,2279.99,2.38742
773,436,-1178,1256.1,1.31528
774,-2278,-1422,2685.4,2.81194
775,-2563,-912,2720.43,2.84861
776,-450,-69,455.26,0.47671
777,982,-190,1000.21,1.04734
778,882,-881,1246.63,1.30537
779,-750,-1467,1647.6,1.72524
780,-2098,-1451,2550.88,2.67108
781,-1618,-946,1874.26,1.96257
782,-614,-848,1046.95,1.09628
783,-379,-605,713.91,0.74755
784,-119,733,742.6,0.77759
785,150,1046,1056.7,1.10649
786,-340,-147,370.42,0.38787
787,-1081,-858,1380.12,1.44515
788,-657,-875,1094.2,1.14576
789,1012,-370,1077.52,1.12829
790,1389,-95,1392.24,1.45785
791,-927,-746,1189.89,1.24596
792,-3361,-2893,4434.61,4.64357
793,-3378,-5073,6094.77,6.38196
794,-2308,-4804,5329.66,5.5808
795,-2391,-2961,3805.84,3.98517
796,-2118,-1319,2495.13,2.6127
797,-562,-608,827.95,0.86697
798,1413,-535,1510.89,1.58209
799,1889,-417,1934.48,2.02563
800,727,63,729.72,0.76411
801,-627,-143,643.1,0.6734
802,-223,-989,1013.83,1.0616
803,746,-1677,1835.44,1.92193
804,886,-2028,2213.09,2.31737
805,441,-2207,2250.63,2.35668
806,170,-2921,2925.94,3.06381
807,194,-3873,3877.86,4.06058
