sample,real,imag,magnitude_sq
0,15677,15677,491536658
1,15677,15677,491536658
2,15677,-172,245797913
3,-1,-1,2
4,-1,-1,2
5,-1,255,65026
6,2570,2570,13209800
7,2570,2570,13209800
8,2570,266,6675656
9,257,257,132098
10,257,257,132098
11,257,257,132098
12,257,257,132098
13,257,257,132098
14,257,257,132098
15,278,257,143333
16,257,257,132098
17,257,257,132098
18,278,257,143333
19,257,257,132098
20,257,257,132098
21,1,-32640,1065369601
22,-32640,-32640,2130739200
23,-32640,-32640,2130739200
24,128,-32640,1065385984
25,-32640,-32640,2130739200
26,-32640,-32640,2130739200
27,-32640,301,1065460201
28,257,257,132098
29,257,257,132098
30,257,301,156650
31,257,257,132098
32,257,257,132098
33,257,1,66050
34,32639,127,1065320450
35,-11309,-11309,255786962
36,-11309,-11309,255786962
37,-11309,211,127938002
38,-11309,-11309,255786962
39,-11309,-11309,255786962
40,-11309,-11309,255786962
41,203,0,41209
42,0,0,0
43,0,0,0
44,203,0,41209
45,0,0,0
46,0,0,0
47,0,7196,51782416
48,7196,7196,103564832
49,7196,7196,103564832
50,28,7196,51783200
51,7196,7196,103564832
52,7196,7196,103564832
53,7196,144,51803152
54,0,0,0
55,0,0,0
56,0,144,20736
57,0,0,0
58,0,0,0
59,0,0,0
60,-28785,-28785,1657152450
61,-28785,-28785,1657152450
62,-28785,143,828596674
63,-28785,-28785,1657152450
64,4112,4112,33817088
65,16,30583,935320145
66,30583,30583,1870639778
67,30583,30583,1870639778
68,119,30583,935334050
69,30583,30583,1870639778
70,30583,30583,1870639778
71,30583,378,935462773
72,257,257,132098
73,257,257,132098
74,257,378,208933
75,257,257,132098
76,257,257,132098
77,257,1,66050
78,-32383,-32383,2097317378
79,-32383,-32383,2097317378
80,-32383,129,1048675330
81,-32383,-32383,2097317378
82,-32383,-32383,2097317378
83,-32383,-32383,2097317378
84,1065,1028,2191009
85,1028,1028,2113568
86,1028,1028,2113568
87,1065,1028,2191009
88,1028,1028,2113568
89,1028,1028,2113568
90,4,23130,534996916
91,23130,23130,1069993800
92,23130,23130,1069993800
93,90,23130,535005000
94,23130,23130,1069993800
95,23130,23130,1069993800
96,23130,346,535116616
97,257,257,132098
98,257,257,132098
99,257,453,271258
100,257,257,132098
101,257,257,132098
102,257,257,132098
103,-22360,-22360,999939200
104,-22360,-22360,999939200
105,-22360,-88,499977344
106,-22360,-22360,999939200
107,-22360,-22360,999939200
108,-22360,-22360,999939200
109,168,0,28224
110,0,0,0
111,0,0,0
112,137,0,18769
113,0,0,0
114,0,0,0
115,0,505,255025
116,257,257,132098
117,257,257,132098
118,1,-1543,2380850
119,-1543,-1543,4761698
120,-1543,-1543,4761698
121,-1543,249,2442850
122,20046,20046,803684232
123,20046,20046,803684232
124,20046,129,401858757
125,0,0,0
126,0,0,0
127,0,0,0
128,23387,23387,1093903538
129,23387,23387,1093903538
130,23387,23387,1093903538
131,41,0,1681
132,0,0,0
133,0,0,0
134,10537,10537,222056738
135,10537,10537,222056738
136,10537,10537,222056738
137,41,24158,583610645
138,24158,24158,1167217928
139,24158,24158,1167217928
140,77,0,5929
141,0,0,0
142,0,0,0
143,0,192,36864
144,0,0,0
145,0,0,0
146,768,-16192,262770688
147,-16192,-16192,524361728
148,-16192,-16192,524361728
149,-16192,-64,262184960
150,-21075,-21075,888311250
151,-21075,-21075,888311250
152,-21075,401,444316426
153,257,257,132098
154,257,257,132098
155,257,257,132098
156,240,0,57600
157,0,0,0
158,0,-512,262144
159,-3856,-3856,29737472
160,-3856,-3856,29737472
161,-3856,-3856,29737472
162,496,20303,412457825
163,20303,20303,824423618
164,20303,20303,824423618
165,491,257,307130
166,257,257,132098
167,257,257,132098
168,257,357,193498
169,257,257,132098
170,257,257,132098
171,1,25957,673765850
172,25957,25957,1347531698
173,25957,25957,1347531698
174,25957,101,673776050
175,-5912,-5912,69903488
176,-5912,-5912,69903488
177,-5912,505,35206769
178,257,257,132098
179,257,257,132098
180,257,1725,3041674
181,1542,1542,4755528
182,1542,-115,2390989
183,-1,-1,2
184,-1,-1,2
185,255,-29299,858496426
186,-29299,-29299,1716862802
187,-29299,-29299,1716862802
188,-29299,909,859257682
189,-5912,-5912,69903488
190,-5912,-5912,69903488
191,-5912,529,35231585
192,-5912,-5912,69903488
193,-24,4369,19088737
194,4369,4369,38176322
195,4369,4369,38176322
196,4369,-239,19145282
197,26471,26471,1401427682
198,26471,26471,1401427682
199,26471,337,700827410
