FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv
1,8125280888,752.0156,752,1209,-63.19,732,0.7,200,01_raw_frames\frame_0001.csv,02_lde_aligned\frame_0001_aligned.csv
2,14515074029,740.9687,740,1248,-63.2,720,0.7,200,01_raw_frames\frame_0002.csv,02_lde_aligned\frame_0002_aligned.csv
3,20904867134,747.1094,747,1182,-63.22,727,0.7,200,01_raw_frames\frame_0003.csv,02_lde_aligned\frame_0003_aligned.csv
4,27294660183,751.125,751,1181,-63.49,731,0.7,200,01_raw_frames\frame_0004.csv,02_lde_aligned\frame_0004_aligned.csv
5,33684453243,747.1875,747,1086,-63.11,727,0.7,200,01_raw_frames\frame_0005.csv,02_lde_aligned\frame_0005_aligned.csv
6,40074245732,751.4531,751,1101,-63.04,731,0.7,200,01_raw_frames\frame_0006.csv,02_lde_aligned\frame_0006_aligned.csv
7,46464038735,746.75,746,1108,-63.75,726,0.7,200,01_raw_frames\frame_0007.csv,02_lde_aligned\frame_0007_aligned.csv
8,52853831720,749.9687,749,1173,-62.73,729,0.7,200,01_raw_frames\frame_0008.csv,02_lde_aligned\frame_0008_aligned.csv
9,59243624646,753.1875,753,1144,-62.81,733,0.7,200,01_raw_frames\frame_0009.csv,02_lde_aligned\frame_0009_aligned.csv
10,65633417106,748.0469,748,1089,-63.03,728,0.7,200,01_raw_frames\frame_0010.csv,02_lde_aligned\frame_0010_aligned.csv
11,72023210029,751.1875,751,1389,-67.38,731,0.7,200,01_raw_frames\frame_0011.csv,02_lde_aligned\frame_0011_aligned.csv
12,78413002902,752.2031,752,1522,-71.88,732,0.7,200,01_raw_frames\frame_0012.csv,02_lde_aligned\frame_0012_aligned.csv
13,84802795808,747.0156,747,1212,-63.62,727,0.7,200,01_raw_frames\frame_0013.csv,02_lde_aligned\frame_0013_aligned.csv
14,91192588669,748.0469,748,1184,-62.8,728,0.7,200,01_raw_frames\frame_0014.csv,02_lde_aligned\frame_0014_aligned.csv
15,97582381003,749.6875,749,1116,-63.52,729,0.7,200,01_raw_frames\frame_0015.csv,02_lde_aligned\frame_0015_aligned.csv
16,103972173847,749.8281,749,1145,-62.87,729,0.7,200,01_raw_frames\frame_0016.csv,02_lde_aligned\frame_0016_aligned.csv
17,110361966652,750.5781,750,1110,-63.32,730,0.7,200,01_raw_frames\frame_0017.csv,02_lde_aligned\frame_0017_aligned.csv
