sample,taps_from_fp,excess_path_m,reflector_off_m,amplitude,amplitude_norm
698,-50.3437,-15.117206236,NaN,160.02,0.18803
699,-49.3437,-14.816926236,NaN,68.88,0.08094
700,-48.3437,-14.516646236,NaN,108.6,0.12761
701,-47.3437,-14.216366236,NaN,145.84,0.17137
702,-46.3437,-13.916086236,NaN,164.27,0.19303
703,-45.3437,-13.615806236,NaN,263.37,0.30949
704,-44.3437,-13.315526236,NaN,115.8,0.13608
705,-43.3437,-13.015246236,NaN,165.48,0.19446
706,-42.3437,-12.714966236,NaN,219.62,0.25807
707,-41.3437,-12.414686236,NaN,141.01,0.1657
708,-40.3437,-12.114406236,NaN,114.44,0.13447
709,-39.3437,-11.814126236,NaN,130.27,0.15308
710,-38.3437,-11.513846236,NaN,129.4,0.15206
711,-37.3437,-11.213566236,NaN,148.93,0.17501
712,-36.3437,-10.913286236,NaN,96.8,0.11375
713,-35.3437,-10.613006236,NaN,96.21,0.11305
714,-34.3437,-10.312726236,NaN,208.09,0.24452
715,-33.3437,-10.012446236,NaN,248.86,0.29244
716,-32.3437,-9.712166236,NaN,108.46,0.12745
717,-31.3437,-9.411886236,NaN,242.64,0.28512
718,-30.3437,-9.111606236,NaN,426.2,0.50083
719,-29.3437,-8.811326236,NaN,438.18,0.5149
720,-28.3437,-8.511046236,NaN,313.73,0.36866
721,-27.3437,-8.210766236,NaN,258.38,0.30362
722,-26.3437,-7.910486236,NaN,472.61,0.55536
723,-25.3437,-7.610206236,NaN,117.52,0.13809
724,-24.3437,-7.309926236,NaN,174.63,0.20521
725,-23.3437,-7.009646236,NaN,105.95,0.1245
726,-22.3437,-6.709366236,NaN,262.12,0.30802
727,-21.3437,-6.409086236,NaN,191.97,0.22558
728,-20.3437,-6.108806236,NaN,243.48,0.28611
729,-19.3437,-5.808526236,NaN,170.47,0.20032
730,-18.3437,-5.508246236,NaN,113.22,0.13304
731,-17.3437,-5.207966236,NaN,112.45,0.13213
732,-16.3437,-4.907686236,NaN,52.15,0.06129
733,-15.3437,-4.607406236,NaN,56.82,0.06677
734,-14.3437,-4.307126236,NaN,53.14,0.06245
735,-13.3437,-4.006846236,NaN,69.2,0.08132
736,-12.3437,-3.706566236,NaN,86.77,0.10196
737,-11.3437,-3.406286236,NaN,107.07,0.12582
738,-10.3437,-3.106006236,NaN,93.48,0.10984
739,-9.34370000000001,-2.805726236,NaN,132.31,0.15548
740,-8.34370000000001,-2.505446236,NaN,192.34,0.22601
741,-7.34370000000001,-2.205166236,NaN,164.3,0.19307
742,-6.34370000000001,-1.904886236,NaN,69.34,0.08148
743,-5.34370000000001,-1.604606236,NaN,82.66,0.09714
744,-4.34370000000001,-1.304326236,NaN,146.99,0.17272
745,-3.34370000000001,-1.004046236,NaN,82.2,0.09659
746,-2.34370000000001,-0.703766236000004,NaN,53.76,0.06317
747,-1.34370000000001,-0.403486236000004,NaN,297.32,0.34938
748,-0.343700000000013,-0.103206236000004,NaN,4798.39,5.63853
749,0.656299999999987,0.197073763999996,0.280509063158894,14687.92,17.2596
750,1.65629999999999,0.497353763999996,0.485709799202404,16646.4,19.56098
751,2.65629999999999,0.797633763999996,0.661986950602653,16743.82,19.67547
752,3.65629999999999,1.097913764,0.828023837637032,15987.77,18.78704
753,4.65629999999999,1.398193764,0.988991540824348,4797.61,5.63762
754,5.65629999999999,1.698473764,1.1470261981093,15435.75,18.13836
755,6.65629999999999,1.998753764,1.30319529222448,8200.5,9.63631
756,7.65629999999999,2.299033764,1.45809837782058,14332.54,16.842
757,8.65629999999999,2.599313764,1.6121004399013,1692.14,1.98841
758,9.65629999999999,2.899593764,1.7654372876024,12879.56,15.13462
759,10.6563,3.199873764,1.91826844935319,8404.21,9.87568
760,11.6563,3.500153764,2.07070589662338,4229.29,4.96978
761,12.6563,3.800433764,2.22283063143322,5857.94,6.8836
762,13.6563,4.100713764,2.3747027521281,1261.83,1.48277
763,14.6563,4.400993764,2.52636781666718,2820.31,3.31411
764,15.6563,4.701273764,2.67786100617987,2313.76,2.71887
765,16.6563,5.001553764,2.8292099305187,672.19,0.78988
766,17.6563,5.301833764,2.98043656746333,2378.53,2.79498
767,18.6563,5.602113764,3.13155863326867,3656.63,4.29686
768,19.6563,5.902393764,3.28259057052909,2852.81,3.3523
769,20.6563,6.202673764,3.43354427276735,2839.11,3.3362
770,21.6563,6.502953764,3.58442962430293,3686.64,4.33212
771,22.6563,6.803233764,3.73525490821007,3289.16,3.86506
772,23.6563,7.103513764,3.88602711856651,3251.32,3.82059
773,24.6563,7.403793764,4.03675220224889,2781.48,3.26848
774,25.6563,7.704073764,4.18743524817856,2862.32,3.36348
775,26.6563,8.004353764,4.33808063689637,3104.03,3.64751
776,27.6563,8.304633764,4.48869215985483,2289.46,2.69031
777,28.6563,8.604913764,4.63927311535645,666.63,0.78335
