sample,real,imag,amplitude,amplitude_norm
702,-6,192,192.09,0.16475
703,-7,188,188.13,0.16135
704,119,103,157.38,0.13498
705,104,84,133.69,0.11465
706,100,110,148.66,0.1275
707,34,105,110.37,0.09465
708,37,118,123.66,0.10606
709,144,24,145.99,0.1252
710,205,21,206.07,0.17673
711,255,110,277.71,0.23818
712,300,57,305.37,0.26189
713,156,84,177.18,0.15195
714,21,156,157.41,0.135
715,104,211,235.24,0.20175
716,52,174,181.6,0.15575
717,91,136,163.64,0.14034
718,142,93,169.74,0.14558
719,267,76,277.61,0.23808
720,369,-24,369.78,0.31714
721,228,-159,277.97,0.23839
722,7,-178,178.14,0.15278
723,-212,-82,227.31,0.19495
724,-212,-29,213.97,0.18351
725,-47,221,225.94,0.19378
726,207,458,502.61,0.43105
727,212,566,604.4,0.51835
728,82,332,341.98,0.29329
729,358,-44,360.69,0.30934
730,332,-230,403.89,0.34639
731,216,-284,356.81,0.30601
732,-74,-234,245.42,0.21048
733,-159,-47,165.8,0.1422
734,199,87,217.19,0.18627
735,253,88,267.87,0.22973
736,128,114,171.41,0.147
737,-28,40,48.83,0.04187
738,76,65,100,0.08577
739,90,86,124.48,0.10676
740,114,150,188.4,0.16158
741,138,112,177.73,0.15243
742,233,91,250.14,0.21453
743,60,182,191.64,0.16435
744,55,290,295.17,0.25315
745,354,316,474.52,0.40697
746,484,147,505.83,0.43382
747,424,5,424.03,0.36366
748,219,29,220.91,0.18946
749,122,-1,122,0.10463
750,246,88,261.27,0.22407
751,1614,606,1724.02,1.47857
752,5396,1885,5715.77,4.90203
753,10385,1694,10522.26,9.02423
754,11928,-3172,12342.56,10.58539
755,8080,-9284,12307.68,10.55547
756,1229,-9901,9976.99,8.55659
757,-5321,-3822,6551.39,5.61869
758,-10449,775,10477.7,8.98602
759,-11201,1538,11306.1,9.69648
760,-2901,2979,4158.15,3.56617
761,9454,7228,11900.51,10.20627
762,16404,5882,17426.68,14.94569
763,16370,-2910,16626.63,14.25955
764,10977,-10378,15106.2,12.95558
765,4065,-8489,9412.08,8.07211
766,-717,-1515,1676.1,1.43748
767,-1904,1053,2175.78,1.86602
768,-1093,-277,1127.55,0.96703
769,-445,-2054,2101.65,1.80245
770,-368,-2136,2167.47,1.85889
771,-260,-1155,1183.9,1.01535
772,62,-559,562.43,0.48236
773,534,-383,657.15,0.56359
774,514,-199,551.18,0.47271
775,-1008,474,1113.89,0.9553
776,-3379,2233,4050.18,3.47356
777,-4464,5459,7051.81,6.04786
778,-2453,9130,9453.79,8.10788
779,1152,10363,10426.83,8.9424
780,2398,7159,7549.95,6.47508
781,732,1781,1925.56,1.65142
782,-334,-1776,1807.13,1.54986
783,568,-3143,3193.91,2.7392
784,1657,-2882,3324.39,2.85111
785,1393,-3656,3912.39,3.35539
786,240,-5246,5251.49,4.50385
787,-1105,-4862,4985.99,4.27615
788,-2551,-2803,3790.04,3.25046
789,-3147,-992,3299.65,2.82989
790,-2031,5,2031.01,1.74186
791,-1440,875,1685,1.44511
792,-2854,1750,3347.81,2.87119
793,-3904,1553,4201.55,3.60339
794,-2621,340,2642.96,2.26669
795,-1133,-343,1183.78,1.01525
796,-383,574,690.05,0.59181
797,-1164,1550,1938.4,1.66244
798,-2450,1160,2710.74,2.32482
799,-2633,459,2672.71,2.2922
800,-1144,357,1198.41,1.0278
801,539,650,844.41,0.72419
802,1505,2,1505,1.29074
803,1857,-1110,2163.46,1.85545
804,1061,-1059,1499.07,1.28565
805,-602,-11,602.1,0.51638
806,-2602,963,2774.49,2.37949
807,-3953,1610,4268.29,3.66063
808,-4017,2090,4528.18,3.88351
809,-3010,2102,3671.31,3.14863
810,-835,1510,1725.49,1.47984
811,1150,673,1332.45,1.14275
812,1733,313,1761.04,1.51032
813,859,440,965.13,0.82773
814,-703,888,1132.59,0.97134
815,-2053,1793,2725.74,2.33768
816,-2461,2305,3371.88,2.89183
817,-1105,2203,2464.6,2.11372
818,432,1164,1241.58,1.06482
819,1179,-250,1205.21,1.03363
820,1059,-436,1145.24,0.9822
821,261,722,767.73,0.65843
822,-478,1623,1691.93,1.45105
823,-511,1400,1490.34,1.27817
824,115,611,621.73,0.53321
825,372,496,620,0.53173
826,-69,531,535.46,0.45923
827,-759,563,945.01,0.81047
828,-2048,192,2056.98,1.76413
829,-3113,455,3146.08,2.69818
830,-2958,1022,3129.58,2.68403
831,-2312,1703,2871.51,2.4627
832,-1390,1382,1960.11,1.68105
833,-657,403,770.75,0.66102
834,-39,-213,216.54,0.18571
835,367,133,390.36,0.33478
836,396,493,632.35,0.54232
837,502,70,506.86,0.4347
838,744,-516,905.42,0.77652
839,825,-810,1156.17,0.99157
840,-178,-430,465.39,0.39913
841,-2088,-351,2117.3,1.81586
842,-3511,-656,3571.76,3.06326
843,-2793,-593,2855.26,2.44876
844,-331,370,496.45,0.42577
845,1433,1094,1802.87,1.5462
846,1637,1040,1939.42,1.66331
847,1027,212,1048.65,0.89936
848,674,-530,857.42,0.73536
849,599,-642,878.05,0.75304
850,176,-639,662.79,0.56843
851,-82,-921,924.64,0.793
