sample,taps_from_fp,excess_path_m,reflector_off_m,real,imag,amplitude,amplitude_norm
697,-50.6094000000001,-15.196990632,NaN,225,126,257.88,0.18199
698,-49.6094000000001,-14.896710632,NaN,64,335,341.06,0.24069
699,-48.6094000000001,-14.596430632,NaN,129,337,360.85,0.25466
700,-47.6094000000001,-14.296150632,NaN,93,131,160.65,0.11338
701,-46.6094000000001,-13.995870632,NaN,-3,91,91.05,0.06426
702,-45.6094000000001,-13.695590632,NaN,79,141,161.62,0.11406
703,-44.6094000000001,-13.395310632,NaN,84,161,181.6,0.12816
704,-43.6094000000001,-13.095030632,NaN,146,89,170.99,0.12067
705,-42.6094000000001,-12.794750632,NaN,238,24,239.21,0.16881
706,-41.6094000000001,-12.494470632,NaN,294,15,294.38,0.20775
707,-40.6094000000001,-12.194190632,NaN,246,-118,272.84,0.19255
708,-39.6094000000001,-11.893910632,NaN,203,-60,211.68,0.14939
709,-38.6094000000001,-11.593630632,NaN,99,107,145.77,0.10287
710,-37.6094000000001,-11.293350632,NaN,31,209,211.29,0.14911
711,-36.6094000000001,-10.993070632,NaN,-18,236,236.69,0.16703
712,-35.6094000000001,-10.692790632,NaN,-85,217,233.05,0.16447
713,-34.6094000000001,-10.392510632,NaN,-19,82,84.17,0.0594
714,-33.6094000000001,-10.092230632,NaN,228,85,243.33,0.17172
715,-32.6094000000001,-9.79195063200001,NaN,229,122,259.47,0.18311
716,-31.6094000000001,-9.49167063200001,NaN,86,-106,136.5,0.09633
717,-30.6094000000001,-9.19139063200002,NaN,-240,-155,285.7,0.20162
718,-29.6094000000001,-8.89111063200001,NaN,-329,110,346.9,0.24481
719,-28.6094000000001,-8.59083063200002,NaN,-206,159,260.22,0.18364
720,-27.6094000000001,-8.29055063200001,NaN,7,308,308.08,0.21742
721,-26.6094000000001,-7.99027063200001,NaN,254,348,430.84,0.30405
722,-25.6094000000001,-7.68999063200001,NaN,123,458,474.23,0.33467
723,-24.6094000000001,-7.38971063200001,NaN,-99,406,417.9,0.29492
724,-23.6094000000001,-7.08943063200002,NaN,120,-120,169.71,0.11976
725,-22.6094000000001,-6.78915063200002,NaN,322,-189,373.37,0.26349
726,-21.6094000000001,-6.48887063200002,NaN,212,-275,347.23,0.24505
727,-20.6094000000001,-6.18859063200001,NaN,-1,-226,226,0.15949
728,-19.6094000000001,-5.88831063200001,NaN,-103,-4,103.08,0.07274
729,-18.6094000000001,-5.58803063200001,NaN,67,169,181.8,0.1283
730,-17.6094000000001,-5.28775063200001,NaN,319,82,329.37,0.23244
731,-16.6094000000001,-4.98747063200002,NaN,256,179,312.37,0.22045
732,-15.6094000000001,-4.68719063200002,NaN,161,231,281.57,0.19871
733,-14.6094000000001,-4.38691063200002,NaN,-43,199,203.59,0.14368
734,-13.6094000000001,-4.08663063200002,NaN,-48,178,184.36,0.1301
735,-12.6094000000001,-3.78635063200002,NaN,-9,86,86.47,0.06102
736,-11.6094000000001,-3.48607063200002,NaN,25,53,58.6,0.04136
737,-10.6094000000001,-3.18579063200001,NaN,158,30,160.82,0.1135
738,-9.60940000000005,-2.88551063200002,NaN,237,179,297,0.2096
739,-8.60940000000005,-2.58523063200002,NaN,158,378,409.69,0.28913
740,-7.60940000000005,-2.28495063200002,NaN,360,410,545.62,0.38505
741,-6.60940000000005,-1.98467063200002,NaN,390,285,483.04,0.34089
742,-5.60940000000005,-1.68439063200002,NaN,380,150,408.53,0.28831
743,-4.60940000000005,-1.38411063200002,NaN,320,108,337.73,0.23834
744,-3.60940000000005,-1.08383063200002,NaN,136,22,137.77,0.09723
745,-2.60940000000005,-0.783550632000015,NaN,363,8,363.09,0.25624
746,-1.60940000000005,-0.483270632000015,NaN,1188,-103,1192.46,0.84154
747,-0.609400000000051,-0.182990632000015,NaN,4655,-237,4661.03,3.28936
748,0.390599999999949,0.117289367999985,0.21092766001986,11199,-1296,11273.74,7.95606
749,1.39059999999995,0.417569367999985,0.435591922644316,14268,-6053,15498.86,10.9378
750,2.39059999999995,0.717849367999985,0.61650158765772,9763,-12675,15999.12,11.29084
751,3.39059999999995,1.01812936799998,0.784533065776075,849,-14280,14305.22,10.09542
752,4.39059999999995,1.31840936799998,0.946569645724774,-7472,-7122,10322.48,7.28474
753,5.39059999999995,1.61868936799998,1.10525114626452,-13327,44,13327.07,9.40513
754,6.39059999999995,1.91896936799998,1.26184394345361,-16413,-1128,16451.71,11.61024
755,7.39059999999995,2.21924936799998,1.41704065507736,-11681,-5619,12962.21,9.14764
756,8.39059999999995,2.51952936799998,1.57125501999313,1150,-3090,3297.06,2.32679
757,9.39059999999995,2.81980936799998,1.72475056073773,12362,584,12375.79,8.7338
758,10.3905999999999,3.12008936799998,1.8777035694903,15688,-4439,16303.93,11.50595
759,11.3905999999999,3.42036936799998,2.03023666900885,11237,-13408,17494.13,12.34589
760,12.3905999999999,3.72064936799998,2.18243790488977,4720,-13835,14617.99,10.31615
761,13.3905999999999,4.02092936799998,2.33437219063524,-555,-4375,4410.06,3.11225
762,14.3905999999999,4.32120936799998,2.48608846972965,-2766,1865,3336.01,2.35428
763,15.3905999999999,4.62148936799998,2.63762436170017,-2425,1426,2813.2,1.98532
764,16.3905999999999,4.92176936799998,2.78900926974898,-1752,-1669,2419.72,1.70764
765,17.3905999999999,5.22204936799998,2.94026651500459,-2307,-3163,3914.95,2.76284
766,18.3905999999999,5.52232936799998,3.0914148364412,-2546,-2310,3437.76,2.42609
