FRAME,RX_TS,FP_INDEX,FP_INT,RXPACC,RXPWR,START,tag_anchor_dist_m,n_samples,raw_csv,aligned_csv,elapsed_s
1,4217805576,746.3125,746,1439,-70.2,696,0.7,150,01_raw_frames\frame_0001.csv,02_lde_aligned\frame_0001_aligned.csv,0
2,10607605875,750.2344,750,1295,-66.24,700,0.7,150,01_raw_frames\frame_0002.csv,02_lde_aligned\frame_0002_aligned.csv,0.100000630680965
3,16997405396,744.3437,744,1525,-73.1,694,0.7,150,01_raw_frames\frame_0003.csv,02_lde_aligned\frame_0003_aligned.csv,0.200001249186198
4,23387205494,746.6406,746,1296,-69.65,696,0.7,150,01_raw_frames\frame_0004.csv,02_lde_aligned\frame_0004_aligned.csv,0.300001876721504
5,29777005526,749.2031,749,1606,-71.67,699,0.7,150,01_raw_frames\frame_0005.csv,02_lde_aligned\frame_0005_aligned.csv,0.400002503223908
6,36166805052,749.7344,749,1355,-69.67,699,0.7,150,01_raw_frames\frame_0006.csv,02_lde_aligned\frame_0006_aligned.csv,0.500003121807392
7,42556605072,751.8906,751,1414,-72.93,701,0.7,150,01_raw_frames\frame_0007.csv,02_lde_aligned\frame_0007_aligned.csv,0.600003748121995
8,48946405003,751.8437,751,1219,-69.53,701,0.7,150,01_raw_frames\frame_0008.csv,02_lde_aligned\frame_0008_aligned.csv,0.700004373043745
9,55336204403,750.0937,750,1086,-65.17,700,0.7,150,01_raw_frames\frame_0009.csv,02_lde_aligned\frame_0009_aligned.csv,0.800004989655324
10,61726004250,749.6875,749,1294,-68.9,699,0.7,150,01_raw_frames\frame_0010.csv,02_lde_aligned\frame_0010_aligned.csv,0.90000561326247
11,68115804146,749.1562,749,1382,-67.97,699,0.7,150,01_raw_frames\frame_0011.csv,02_lde_aligned\frame_0011_aligned.csv,1.00000623763647
12,74505603408,746.1562,746,1265,-64.44,696,0.7,150,01_raw_frames\frame_0012.csv,02_lde_aligned\frame_0012_aligned.csv,1.10000685208834
13,80895403129,743.2812,743,1604,-72.85,693,0.7,150,01_raw_frames\frame_0013.csv,02_lde_aligned\frame_0013_aligned.csv,1.20000747372358
14,87285202893,748.7344,748,1309,-73.32,698,0.7,150,01_raw_frames\frame_0014.csv,02_lde_aligned\frame_0014_aligned.csv,1.30000809603178
15,93675002094,745.25,745,1416,-73.21,695,0.7,150,01_raw_frames\frame_0015.csv,02_lde_aligned\frame_0015_aligned.csv,1.400008709529
16,100064801793,749.6406,749,1166,-68.05,699,0.7,150,01_raw_frames\frame_0016.csv,02_lde_aligned\frame_0016_aligned.csv,1.50000933081994
17,106454600954,745.75,745,1528,-71.5,695,0.7,150,01_raw_frames\frame_0017.csv,02_lde_aligned\frame_0017_aligned.csv,1.60000994369116
18,112844400569,748.9531,748,1478,-74.05,698,0.7,150,01_raw_frames\frame_0018.csv,02_lde_aligned\frame_0018_aligned.csv,1.70001056366749
19,119234200146,750.8906,750,1736,-75.34,700,0.7,150,01_raw_frames\frame_0019.csv,02_lde_aligned\frame_0019_aligned.csv,1.80001118304913
20,125623999242,746.0312,746,1432,-75.55,696,0.7,150,01_raw_frames\frame_0020.csv,02_lde_aligned\frame_0020_aligned.csv,1.9000117949031
21,132013798720,748,748,1463,-72.24,698,0.7,150,01_raw_frames\frame_0021.csv,02_lde_aligned\frame_0021_aligned.csv,2.00001241273538
22,138403597742,748.6875,748,1559,-74.61,698,0.7,150,01_raw_frames\frame_0022.csv,02_lde_aligned\frame_0022_aligned.csv,2.10001302343124
23,144793397260,749.375,749,1497,-73.86,699,0.7,150,01_raw_frames\frame_0023.csv,02_lde_aligned\frame_0023_aligned.csv,2.20001364188952
24,151183196680,748.4531,748,1913,-74.39,698,0.7,150,01_raw_frames\frame_0024.csv,02_lde_aligned\frame_0024_aligned.csv,2.3000142588141
25,157572995523,748.4844,748,1898,-73.93,698,0.7,150,01_raw_frames\frame_0025.csv,02_lde_aligned\frame_0025_aligned.csv,2.40001486670861
26,163962794879,748.8906,748,1467,-69.05,698,0.7,150,01_raw_frames\frame_0026.csv,02_lde_aligned\frame_0026_aligned.csv,2.50001548263159
27,170352593655,747.0937,747,1977,-78.07,697,0.7,150,01_raw_frames\frame_0027.csv,02_lde_aligned\frame_0027_aligned.csv,2.60001608947754
28,176742393015,752.1406,752,1774,-73.32,702,0.7,150,01_raw_frames\frame_0028.csv,02_lde_aligned\frame_0028_aligned.csv,2.70001670546312
29,183132192311,748.9375,748,2013,-77.43,698,0.7,150,01_raw_frames\frame_0029.csv,02_lde_aligned\frame_0029_aligned.csv,2.80001732044709
30,189521990989,747.0781,747,1846,-72.23,697,0.7,150,01_raw_frames\frame_0030.csv,02_lde_aligned\frame_0030_aligned.csv,2.90001792575934
31,195911790164,750.9219,750,1553,-71.75,700,0.7,150,01_raw_frames\frame_0031.csv,02_lde_aligned\frame_0031_aligned.csv,3.00001853884966
32,202301588800,746.4531,746,1862,-74.28,696,0.7,150,01_raw_frames\frame_0032.csv,02_lde_aligned\frame_0032_aligned.csv,3.10001914350461
33,208691387927,750.2969,750,1225,-66.09,700,0.7,150,01_raw_frames\frame_0033.csv,02_lde_aligned\frame_0033_aligned.csv,3.20001975584373
34,215081186808,766.9219,766,1891,-84.18,716,0.7,150,01_raw_frames\frame_0034.csv,02_lde_aligned\frame_0034_aligned.csv,3.30002036433293
35,221470985493,747.5156,747,1765,-73.96,697,0.7,150,01_raw_frames\frame_0035.csv,02_lde_aligned\frame_0035_aligned.csv,3.40002096975473
36,227860784586,749.2031,749,1352,-69.84,699,0.7,150,01_raw_frames\frame_0036.csv,02_lde_aligned\frame_0036_aligned.csv,3.50002158156175
37,234250583012,749.3125,749,1478,-72.41,699,0.7,150,01_raw_frames\frame_0037.csv,02_lde_aligned\frame_0037_aligned.csv,3.60002218293019
38,240640381985,749.2031,749,1564,-70.15,699,0.7,150,01_raw_frames\frame_0038.csv,02_lde_aligned\frame_0038_aligned.csv,3.7000227928592
39,247030180786,749.4062,749,1655,-78.49,699,0.7,150,01_raw_frames\frame_0039.csv,02_lde_aligned\frame_0039_aligned.csv,3.8000234000964
40,253419979182,748.9062,748,1550,-70.06,698,0.7,150,01_raw_frames\frame_0040.csv,02_lde_aligned\frame_0040_aligned.csv,3.90002400099534
41,259809777990,747.5625,747,2014,-91.39,697,0.7,150,01_raw_frames\frame_0041.csv,02_lde_aligned\frame_0041_aligned.csv,4.0000246083421
42,266199576268,753.0469,753,1527,-71.57,703,0.7,150,01_raw_frames\frame_0042.csv,02_lde_aligned\frame_0042_aligned.csv,4.10002520739433
43,272589375028,749.9062,749,1463,-71.26,699,0.7,150,01_raw_frames\frame_0043.csv,02_lde_aligned\frame_0043_aligned.csv,4.20002581398988
44,278979173669,747.8594,747,1551,-76.35,697,0.7,150,01_raw_frames\frame_0044.csv,02_lde_aligned\frame_0044_aligned.csv,4.30002641872308
45,285368971900,744.5625,744,1533,-72.36,694,0.7,150,01_raw_frames\frame_0045.csv,02_lde_aligned\frame_0045_aligned.csv,4.40002701703976
46,291758770538,747.5,747,1615,-74.82,697,0.7,150,01_raw_frames\frame_0046.csv,02_lde_aligned\frame_0046_aligned.csv,4.50002762172601
47,298148569172,743.0937,743,1667,-73.13,693,0.7,150,01_raw_frames\frame_0047.csv,02_lde_aligned\frame_0047_aligned.csv,4.60002822634966
48,304538367251,746.1562,746,1554,-71.63,696,0.7,150,01_raw_frames\frame_0048.csv,02_lde_aligned\frame_0048_aligned.csv,4.70002882228754
49,310928165830,749.4062,749,1360,-66.06,699,0.7,150,01_raw_frames\frame_0049.csv,02_lde_aligned\frame_0049_aligned.csv,4.80002942605043
50,317317964296,750.2812,750,1632,-73.43,700,0.7,150,01_raw_frames\frame_0050.csv,02_lde_aligned\frame_0050_aligned.csv,4.90003002804487
